Year,Type of natural disaster,Value
2015,,386.81
2016,,195.38
2017,,582.42
2018,,167.50
2019,,101.87
2020,,1855.03
2015,Meteorological - Flood,44.76
2015,Meteorological - Storm,342.06
2016,Meteorological - Flood,34.79
2016,Meteorological - Storm,95.04
2016,Meteorological - Winter storm,65.55
2017,Meteorological - Flood,469.57
2017,Meteorological - Storm,54.19
2017,Meteorological - Wildfire,58.66
2018,Meteorological - Flood,26.57
2018,Meteorological - Heat event,21.05
2018,Meteorological - Storm,15.55
2018,Meteorological - Wildfire,74.80
2018,Meteorological - Winter storm,29.52
2019,Meteorological - Flood,82.12
2019,Meteorological - Storm,19.74
2020,Meteorological - Storm,1855.03
