"Year","Series","Household income quintile","Household income decile","Geography","GeoCode","Value"
"2010-2015","Household expenditure per capita","All quintiles",,"Canada",,1.307
"2010-2015","Household expenditure per capita","Lowest quintile",,"Canada",,1.846
"2010-2015","Household expenditure per capita","Second quintile",,"Canada",,1.434
"2010-2015","Household expenditure per capita","All quintiles",,"Newfoundland and Labrador",10,3.696
"2010-2015","Household expenditure per capita","Lowest quintile",,"Newfoundland and Labrador",10,2.873
"2010-2015","Household expenditure per capita","Second quintile",,"Newfoundland and Labrador",10,2.754
"2010-2015","Household expenditure per capita","All quintiles",,"Prince Edward Island",11,1.686
"2010-2015","Household expenditure per capita","Lowest quintile",,"Prince Edward Island",11,0.403
"2010-2015","Household expenditure per capita","Second quintile",,"Prince Edward Island",11,1.013
"2010-2015","Household expenditure per capita","All quintiles",,"Nova Scotia",12,2.608
"2010-2015","Household expenditure per capita","Lowest quintile",,"Nova Scotia",12,2.301
"2010-2015","Household expenditure per capita","Second quintile",,"Nova Scotia",12,1.55
"2010-2015","Household expenditure per capita","All quintiles",,"New Brunswick",13,1.378
"2010-2015","Household expenditure per capita","Lowest quintile",,"New Brunswick",13,1.621
"2010-2015","Household expenditure per capita","Second quintile",,"New Brunswick",13,0.495
"2010-2015","Household expenditure per capita","All quintiles",,"Quebec",24,0.386
"2010-2015","Household expenditure per capita","Lowest quintile",,"Quebec",24,0.765
"2010-2015","Household expenditure per capita","Second quintile",,"Quebec",24,-0.186
"2010-2015","Household expenditure per capita","All quintiles",,"Ontario",35,1.424
"2010-2015","Household expenditure per capita","Lowest quintile",,"Ontario",35,4.778
"2010-2015","Household expenditure per capita","Second quintile",,"Ontario",35,2.092
"2010-2015","Household expenditure per capita","All quintiles",,"Manitoba",46,1.134
"2010-2015","Household expenditure per capita","Lowest quintile",,"Manitoba",46,-0.647
"2010-2015","Household expenditure per capita","Second quintile",,"Manitoba",46,2.809
"2010-2015","Household expenditure per capita","All quintiles",,"Saskatchewan",47,3.134
"2010-2015","Household expenditure per capita","Lowest quintile",,"Saskatchewan",47,3.609
"2010-2015","Household expenditure per capita","Second quintile",,"Saskatchewan",47,1.88
"2010-2015","Household expenditure per capita","All quintiles",,"Alberta",48,1.706
"2010-2015","Household expenditure per capita","Lowest quintile",,"Alberta",48,1.609
"2010-2015","Household expenditure per capita","Second quintile",,"Alberta",48,0.986
"2010-2015","Household expenditure per capita","All quintiles",,"British Columbia",59,0.757
"2010-2015","Household expenditure per capita","Lowest quintile",,"British Columbia",59,0.601
"2010-2015","Household expenditure per capita","Second quintile",,"British Columbia",59,-0.102
"2011-2016","Household expenditure per capita","All quintiles",,"Canada",,1.376
"2011-2016","Household expenditure per capita","Lowest quintile",,"Canada",,1.246
"2011-2016","Household expenditure per capita","Second quintile",,"Canada",,0.483
"2011-2016","Household expenditure per capita","All quintiles",,"Newfoundland and Labrador",10,2.744
"2011-2016","Household expenditure per capita","Lowest quintile",,"Newfoundland and Labrador",10,4.043
"2011-2016","Household expenditure per capita","Second quintile",,"Newfoundland and Labrador",10,1.415
"2011-2016","Household expenditure per capita","All quintiles",,"Prince Edward Island",11,1.556
"2011-2016","Household expenditure per capita","Lowest quintile",,"Prince Edward Island",11,-1.539
"2011-2016","Household expenditure per capita","Second quintile",,"Prince Edward Island",11,4.658
"2011-2016","Household expenditure per capita","All quintiles",,"Nova Scotia",12,1.672
"2011-2016","Household expenditure per capita","Lowest quintile",,"Nova Scotia",12,3.022
"2011-2016","Household expenditure per capita","Second quintile",,"Nova Scotia",12,2.392
"2011-2016","Household expenditure per capita","All quintiles",,"New Brunswick",13,0.791
"2011-2016","Household expenditure per capita","Lowest quintile",,"New Brunswick",13,-0.55
"2011-2016","Household expenditure per capita","Second quintile",,"New Brunswick",13,0.837
"2011-2016","Household expenditure per capita","All quintiles",,"Quebec",24,0.76
"2011-2016","Household expenditure per capita","Lowest quintile",,"Quebec",24,-0.175
