Year,Geography,Persons in low income,GeoCode,Value
2015,,,NA,14.3
2016,,,NA,13
2017,,,NA,12.6
2018,,,NA,12.4
2019,,,NA,12.1
2020,,,NA,9.3
2015,Canada,Persons under 18 years,NA,15.3
2015,Canada,Persons 18 to 64 years,NA,13.9
2015,Canada,Persons 65 years and over,NA,14.6
2015,Canada,Males,NA,13.7
2015,Canada,"Males, under 18 years",NA,15.2
2015,Canada,"Males, 18 to 64 years",NA,13.6
2015,Canada,"Males, 65 years and over",NA,12.2
2015,Canada,Females,NA,14.8
2015,Canada,"Females, under 18 years",NA,15.5
2015,Canada,"Females, 18 to 64 years",NA,14.1
2015,Canada,"Females, 65 years and over",NA,16.6
2015,Atlantic provinces,All persons,NA,16.9
2015,Atlantic provinces,Persons under 18 years,NA,17.8
2015,Atlantic provinces,Persons 18 to 64 years,NA,15
2015,Atlantic provinces,Persons 65 years and over,NA,22.3
2015,Atlantic provinces,Males,NA,15.7
2015,Atlantic provinces,"Males, under 18 years",NA,17.1
2015,Atlantic provinces,"Males, 18 to 64 years",NA,14.5
2015,Atlantic provinces,"Males, 65 years and over",NA,18.3
2015,Atlantic provinces,Females,NA,18
2015,Atlantic provinces,"Females, under 18 years",NA,18.5
2015,Atlantic provinces,"Females, 18 to 64 years",NA,15.5
2015,Atlantic provinces,"Females, 65 years and over",NA,25.8
2015,Newfoundland and Labrador,All persons,10,15.9
2015,Newfoundland and Labrador,Persons under 18 years,NA,16.5
2015,Newfoundland and Labrador,Persons 18 to 64 years,NA,12.3
2015,Newfoundland and Labrador,Persons 65 years and over,NA,27.8
2015,Newfoundland and Labrador,Males,NA,13.6
2015,Newfoundland and Labrador,"Males, under 18 years",NA,15.6
2015,Newfoundland and Labrador,"Males, 18 to 64 years",NA,10.5
2015,Newfoundland and Labrador,"Males, 65 years and over",NA,23.1
2015,Newfoundland and Labrador,Females,NA,18.1
2015,Newfoundland and Labrador,"Females, under 18 years",NA,17.6
2015,Newfoundland and Labrador,"Females, 18 to 64 years",NA,14.1
2015,Newfoundland and Labrador,"Females, 65 years and over",NA,32
2015,Prince Edward Island,All persons,11,16.8
2015,Prince Edward Island,Persons under 18 years,NA,18
2015,Prince Edward Island,Persons 18 to 64 years,NA,15.1
2015,Prince Edward Island,Persons 65 years and over,NA,21.3
2015,Prince Edward Island,Males,NA,15.2
2015,Prince Edward Island,"Males, under 18 years",NA,16
2015,Prince Edward Island,"Males, 18 to 64 years",NA,15.4
2015,Prince Edward Island,"Males, 65 years and over",NA,13.9
2015,Prince Edward Island,Females,NA,18.3
2015,Prince Edward Island,"Females, under 18 years",NA,19.9
2015,Prince Edward Island,"Females, 18 to 64 years",NA,14.9
2015,Prince Edward Island,"Females, 65 years and over",NA,27.7
2015,Nova Scotia,All persons,12,17.3
2015,Nova Scotia,Persons under 18 years,NA,18.1
2015,Nova Scotia,Persons 18 to 64 years,NA,16
2015,Nova Scotia,Persons 65 years and over,NA,20.8
2015,Nova Scotia,Males,NA,16.2
2015,Nova Scotia,"Males, under 18 years",NA,16.4
2015,Nova Scotia,"Males, 18 to 64 years",NA,15.8
2015,Nova Scotia,"Males, 65 years and over",NA,17.1
2015,Nova Scotia,Females,NA,18.4
2015,Nova Scotia,"Females, under 18 years",NA,20
2015,Nova Scotia,"Females, 18 to 64 years",NA,16.3
2015,Nova Scotia,"Females, 65 years and over",NA,24
2015,New Brunswick,All persons,13,17.1
2015,New Brunswick,Persons under 18 years,NA,18.2
2015,New Brunswick,Persons 18 to 64 years,NA,15.7
2015,New Brunswick,Persons 65 years and over,NA,20.5
2015,New Brunswick,Males,NA,16.7
2015,New Brunswick,"Males, under 18 years",NA,19.3
2015,New Brunswick,"Males, 18 to 64 years",NA,15.8
2015,New Brunswick,"Males, 65 years and over",NA,17.2
2015,New Brunswick,Females,NA,17.5
2015,New Brunswick,"Females, under 18 years",NA,16.9
2015,New Brunswick,"Females, 18 to 64 years",NA,15.7
2015,New Brunswick,"Females, 65 years and over",NA,23.4
2015,Quebec,All persons,24,16.1
2015,Quebec,Persons under 18 years,NA,16
2015,Quebec,Persons 18 to 64 years,NA,15.5
2015,Quebec,Persons 65 years and over,NA,18.5
2015,Quebec,Males,NA,15.3
2015,Quebec,"Males, under 18 years",NA,15.4
2015,Quebec,"Males, 18 to 64 years",NA,15.1
2015,Quebec,"Males, 65 years and over",NA,15.8
2015,Quebec,Females,NA,16.9
2015,Quebec,"Females, under 18 years",NA,16.5
2015,Quebec,"Females, 18 to 64 years",NA,15.9
2015,Quebec,"Females, 65 years and over",NA,20.8
2015,Ontario,All persons,35,14.2
2015,Ontario,Persons under 18 years,NA,15.6
2015,Ontario,Persons 18 to 64 years,NA,14.1
2015,Ontario,Persons 65 years and over,NA,12.7
2015,Ontario,Males,NA,13.7
2015,Ontario,"Males, under 18 years",NA,16.5
2015,Ontario,"Males, 18 to 64 years",NA,13.7
2015,Ontario,"Males, 65 years and over",NA,10.2
2015,Ontario,Females,NA,14.6
2015,Ontario,"Females, under 18 years",NA,14.6
2015,Ontario,"Females, 18 to 64 years",NA,14.5
2015,Ontario,"Females, 65 years and over",NA,14.8
2015,Prairie provinces,All persons,NA,9.5
2015,Prairie provinces,Persons under 18 years,NA,14.1
2015,Prairie provinces,Persons 18 to 64 years,NA,8.3
2015,Prairie provinces,Persons 65 years and over,NA,8
2015,Prairie provinces,Males,NA,9.1
2015,Prairie provinces,"Males, under 18 years",NA,13.4
2015,Prairie provinces,"Males, 18 to 64 years",NA,8.1
2015,Prairie provinces,"Males, 65 years and over",NA,6.3
2015,Prairie provinces,Females,NA,9.9
2015,Prairie provinces,"Females, under 18 years",NA,15
2015,Prairie provinces,"Females, 18 to 64 years",NA,8.4
2015,Prairie provinces,"Females, 65 years and over",NA,9.4
2015,Manitoba,All persons,46,16
2015,Manitoba,Persons under 18 years,NA,23.1
2015,Manitoba,Persons 18 to 64 years,NA,14.1
2015,Manitoba,Persons 65 years and over,NA,13.4
2015,Manitoba,Males,NA,16.4
2015,Manitoba,"Males, under 18 years",NA,26.9
2015,Manitoba,"Males, 18 to 64 years",NA,14.3
2015,Manitoba,"Males, 65 years and over",NA,8.9
2015,Manitoba,Females,NA,15.6
2015,Manitoba,"Females, under 18 years",NA,19.3
2015,Manitoba,"Females, 18 to 64 years",NA,13.9
2015,Manitoba,"Females, 65 years and over",NA,17.2
2015,Saskatchewan,All persons,47,12.4
2015,Saskatchewan,Persons under 18 years,NA,17.8
2015,Saskatchewan,Persons 18 to 64 years,NA,10.4
2015,Saskatchewan,Persons 65 years and over,NA,12.6
2015,Saskatchewan,Males,NA,10.9
2015,Saskatchewan,"Males, under 18 years",NA,16.9
2015,Saskatchewan,"Males, 18 to 64 years",NA,8.9
2015,Saskatchewan,"Males, 65 years and over",NA,10.3
2015,Saskatchewan,Females,NA,13.9
2015,Saskatchewan,"Females, under 18 years",NA,18.6
2015,Saskatchewan,"Females, 18 to 64 years",NA,12
2015,Saskatchewan,"Females, 65 years and over",NA,14.6
2015,Alberta,All persons,48,6.9
2015,Alberta,Persons under 18 years,NA,10.5
2015,Alberta,Persons 18 to 64 years,NA,6.1
2015,Alberta,Persons 65 years and over,NA,4.3
2015,Alberta,Males,NA,6.5
2015,Alberta,"Males, under 18 years",NA,8.6
2015,Alberta,"Males, 18 to 64 years",NA,6.2
2015,Alberta,"Males, 65 years and over",NA,4
2015,Alberta,Females,NA,7.2
2015,Alberta,"Females, under 18 years",NA,12.6
2015,Alberta,"Females, 18 to 64 years",NA,5.9
2015,Alberta,"Females, 65 years and over",NA,4.6
2015,British Columbia,All persons,59,16.6
2015,British Columbia,Persons under 18 years,NA,14.1
2015,British Columbia,Persons 18 to 64 years,NA,17.7
2015,British Columbia,Persons 65 years and over,NA,15
2015,British Columbia,Males,NA,16.4
2015,British Columbia,"Males, under 18 years",NA,12.6
2015,British Columbia,"Males, 18 to 64 years",NA,18.2
2015,British Columbia,"Males, 65 years and over",NA,13.5
2015,British Columbia,Females,NA,16.8
2015,British Columbia,"Females, under 18 years",NA,15.7
2015,British Columbia,"Females, 18 to 64 years",NA,17.3
2015,British Columbia,"Females, 65 years and over",NA,16.4
2015,"Québec, Quebec",All persons,NA,10.2
2015,"Québec, Quebec",Persons under 18 years,NA,NA
2015,"Québec, Quebec",Persons 18 to 64 years,NA,9.2
2015,"Québec, Quebec",Persons 65 years and over,NA,17.8
2015,"Québec, Quebec",Males,NA,10.6
2015,"Québec, Quebec","Males, under 18 years",NA,NA
2015,"Québec, Quebec","Males, 18 to 64 years",NA,10
2015,"Québec, Quebec","Males, 65 years and over",NA,15.6
2015,"Québec, Quebec",Females,NA,9.8
2015,"Québec, Quebec","Females, under 18 years",NA,NA
2015,"Québec, Quebec","Females, 18 to 64 years",NA,8.5
2015,"Québec, Quebec","Females, 65 years and over",NA,19.5
2015,"Montréal, Quebec",All persons,NA,18.6
2015,"Montréal, Quebec",Persons under 18 years,NA,21.1
2015,"Montréal, Quebec",Persons 18 to 64 years,NA,18.6
2015,"Montréal, Quebec",Persons 65 years and over,NA,15.9
2015,"Montréal, Quebec",Males,NA,17.9
2015,"Montréal, Quebec","Males, under 18 years",NA,20.6
2015,"Montréal, Quebec","Males, 18 to 64 years",NA,17.9
2015,"Montréal, Quebec","Males, 65 years and over",NA,14.3
2015,"Montréal, Quebec",Females,NA,19.3
2015,"Montréal, Quebec","Females, under 18 years",NA,21.4
2015,"Montréal, Quebec","Females, 18 to 64 years",NA,19.2
2015,"Montréal, Quebec","Females, 65 years and over",NA,17.3
2015,"Ottawa-Gatineau, Ontario/Quebec",All persons,NA,10.7
2015,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,NA,10.5
2015,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,NA,11.3
2015,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,NA,8.3
2015,"Ottawa-Gatineau, Ontario/Quebec",Males,NA,9.8
2015,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",NA,NA
2015,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",NA,10.5
2015,"Ottawa-Gatineau, Ontario/Quebec","Males, 65 years and over",NA,NA
2015,"Ottawa-Gatineau, Ontario/Quebec",Females,NA,11.6
2015,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",NA,NA
2015,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",NA,12
2015,"Ottawa-Gatineau, Ontario/Quebec","Females, 65 years and over",NA,8.8
2015,"Toronto, Ontario",All persons,NA,16.3
2015,"Toronto, Ontario",Persons under 18 years,NA,18.5
2015,"Toronto, Ontario",Persons 18 to 64 years,NA,15.6
2015,"Toronto, Ontario",Persons 65 years and over,NA,16
2015,"Toronto, Ontario",Males,NA,15.9
2015,"Toronto, Ontario","Males, under 18 years",NA,20.1
2015,"Toronto, Ontario","Males, 18 to 64 years",NA,15
2015,"Toronto, Ontario","Males, 65 years and over",NA,13.1
2015,"Toronto, Ontario",Females,NA,16.6
2015,"Toronto, Ontario","Females, under 18 years",NA,16.9
2015,"Toronto, Ontario","Females, 18 to 64 years",NA,16.1
2015,"Toronto, Ontario","Females, 65 years and over",NA,18.4
2015,"Winnipeg, Manitoba",All persons,NA,16.4
2015,"Winnipeg, Manitoba",Persons under 18 years,NA,23.9
2015,"Winnipeg, Manitoba",Persons 18 to 64 years,NA,15.2
2015,"Winnipeg, Manitoba",Persons 65 years and over,NA,10.9
2015,"Winnipeg, Manitoba",Males,NA,16.3
2015,"Winnipeg, Manitoba","Males, under 18 years",NA,28.4
2015,"Winnipeg, Manitoba","Males, 18 to 64 years",NA,14.6
2015,"Winnipeg, Manitoba","Males, 65 years and over",NA,4.9
2015,"Winnipeg, Manitoba",Females,NA,16.6
2015,"Winnipeg, Manitoba","Females, under 18 years",NA,19.6
2015,"Winnipeg, Manitoba","Females, 18 to 64 years",NA,15.7
2015,"Winnipeg, Manitoba","Females, 65 years and over",NA,15.7
2015,"Calgary, Alberta",All persons,NA,7.5
2015,"Calgary, Alberta",Persons under 18 years,NA,NA
2015,"Calgary, Alberta",Persons 18 to 64 years,NA,6.4
2015,"Calgary, Alberta",Persons 65 years and over,NA,5.6
2015,"Calgary, Alberta",Males,NA,7.3
2015,"Calgary, Alberta","Males, under 18 years",NA,NA
2015,"Calgary, Alberta","Males, 18 to 64 years",NA,6.9
2015,"Calgary, Alberta","Males, 65 years and over",NA,NA
2015,"Calgary, Alberta",Females,NA,7.7
2015,"Calgary, Alberta","Females, under 18 years",NA,NA
2015,"Calgary, Alberta","Females, 18 to 64 years",NA,5.8
2015,"Calgary, Alberta","Females, 65 years and over",NA,NA
2015,"Edmonton, Alberta",All persons,NA,6.7
2015,"Edmonton, Alberta",Persons under 18 years,NA,11.1
2015,"Edmonton, Alberta",Persons 18 to 64 years,NA,6
2015,"Edmonton, Alberta",Persons 65 years and over,NA,NA
2015,"Edmonton, Alberta",Males,NA,6.5
2015,"Edmonton, Alberta","Males, under 18 years",NA,NA
2015,"Edmonton, Alberta","Males, 18 to 64 years",NA,6.5
2015,"Edmonton, Alberta","Males, 65 years and over",NA,NA
2015,"Edmonton, Alberta",Females,NA,6.9
2015,"Edmonton, Alberta","Females, under 18 years",NA,NA
2015,"Edmonton, Alberta","Females, 18 to 64 years",NA,5.5
2015,"Edmonton, Alberta","Females, 65 years and over",NA,NA
2015,"Vancouver, British Columbia",All persons,NA,17
2015,"Vancouver, British Columbia",Persons under 18 years,NA,15.3
2015,"Vancouver, British Columbia",Persons 18 to 64 years,NA,17.6
2015,"Vancouver, British Columbia",Persons 65 years and over,NA,16.7
2015,"Vancouver, British Columbia",Males,NA,17.1
2015,"Vancouver, British Columbia","Males, under 18 years",NA,14.9
2015,"Vancouver, British Columbia","Males, 18 to 64 years",NA,17.8
2015,"Vancouver, British Columbia","Males, 65 years and over",NA,16.8
2015,"Vancouver, British Columbia",Females,NA,17
2015,"Vancouver, British Columbia","Females, under 18 years",NA,15.7
2015,"Vancouver, British Columbia","Females, 18 to 64 years",NA,17.5
2015,"Vancouver, British Columbia","Females, 65 years and over",NA,16.6
2016,Canada,Persons under 18 years,NA,13.8
2016,Canada,Persons 18 to 64 years,NA,12.3
2016,Canada,Persons 65 years and over,NA,14.6
2016,Canada,Males,NA,12.2
2016,Canada,"Males, under 18 years",NA,13.5
2016,Canada,"Males, 18 to 64 years",NA,11.7
2016,Canada,"Males, 65 years and over",NA,12.3
2016,Canada,Females,NA,13.8
2016,Canada,"Females, under 18 years",NA,14.2
2016,Canada,"Females, 18 to 64 years",NA,13
2016,Canada,"Females, 65 years and over",NA,16.6
2016,Atlantic provinces,All persons,NA,15.7
2016,Atlantic provinces,Persons under 18 years,NA,18.1
