Year,Geography,Level of government,Type of heritage,Value
2015,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,0.0000500
2015,Canada,Consolidated Canadian general government,Cultural services,0.0001500
2015,Canada,Consolidated Canadian general government,Broadcasting and publishing services,0.0001000
2015,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",0.0000600
2015,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000400
2015,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.0001000
2015,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000400
2015,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000500
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000200
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,0.0000900
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000000
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000400
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000100
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,0.0000900
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000000
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000100
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000300
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,0.0001200
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000000
2015,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000600
2015,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000300
2015,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,0.0000800
2015,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000000
2015,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000100
2015,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000100
2015,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.0001300
2015,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000100
2015,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000900
2015,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000500
2015,Ontario,Consolidated provincial-territorial and local governments,Cultural services,0.0000900
2015,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000500
2015,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000100
2015,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000300
2015,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.0001100
2015,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000200
2015,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000100
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000200
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.0001000
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000000
2015,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000700
2015,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0001100
2015,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.0001000
2015,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000100
2015,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000800
2015,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0000100
2015,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,0.0000700
2015,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0001300
2015,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0001000
2015,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0014100
2015,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.0003700
2015,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000000
2015,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0000500
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0003200
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.0002300
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000200
2015,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0002700
2015,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0001600
2015,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.0005800
2015,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0000000
