Year,Sex,data.Unwanted or inapproriate behaviour,Value
2018,Women,data.Sexual assault,2.9
2018,Men,data.Sexual assault,1
2018,Women,data.Physical assault,2
2018,Men,data.Physical assault,3.6
2018,Women,data.Unwanted or inappropriate behaviour in public,31.8
2018,Men,data.Unwanted or inappropriate behaviour in public,13.4
2018,Women,data.Unwanted or inappropriate behaviour online,18.4
2018,Men,data.Unwanted or inappropriate behaviour online,13.6
2018,Women,data.Unwanted or inappropriate behaviour in the workplace,28.8
2018,Men,data.Unwanted or inappropriate behaviour in the workplace,16.8
