"Year","Geography","Type of materials diverted","Sources of materials prepared for recycling","GeoCode","Value"
"2018","","","",,224.964704409885
"2020","","","",,229.628339568722
"2022","","","",,221.645128185958
"2023","","","",,213.552103858145
"2024","","","",,208.272562607894
"2018","Canada","All materials diverted","Residential sources of diverted materials",,
"2018","Canada","All materials diverted","Non-residential sources of diverted materials",,
"2018","Canada","All paper fibres","All sources of diverted materials",,80.1046432650296
"2018","Canada","All paper fibres","Residential sources of diverted materials",,32.2895711174446
"2018","Canada","All paper fibres","Non-residential sources of diverted materials",,47.8150721475849
"2018","Canada","Glass","All sources of diverted materials",,11.1389483667461
"2018","Canada","Glass","Residential sources of diverted materials",,7.59536283111364
"2018","Canada","Glass","Non-residential sources of diverted materials",,3.5435855356325
"2018","Canada","Ferrous metals","All sources of diverted materials",,8.94943491989506
"2018","Canada","Ferrous metals","Residential sources of diverted materials",,2.66970610655519
"2018","Canada","Ferrous metals","Non-residential sources of diverted materials",,6.27970183925495
"2018","Canada","Copper and aluminum","All sources of diverted materials",,2.33236820057498
"2018","Canada","Copper and aluminum","Residential sources of diverted materials",,1.29259814925409
"2018","Canada","Copper and aluminum","Non-residential sources of diverted materials",,1.03977005132089
"2018","Canada","Mixed metals","All sources of diverted materials",,3.37688569084138
"2018","Canada","Mixed metals","Residential sources of diverted materials",,1.83599108992027
"2018","Canada","Mixed metals","Non-residential sources of diverted materials",,1.54089460092111
"2018","Canada","White goods","All sources of diverted materials",,1.8768298544856
"2018","Canada","White goods","Residential sources of diverted materials",,1.19826977429704
"2018","Canada","White goods","Non-residential sources of diverted materials",,0.67856008018856
"2018","Canada","Electronics","All sources of diverted materials",,2.83956191928167
"2018","Canada","Electronics","Residential sources of diverted materials",,
"2018","Canada","Electronics","Non-residential sources of diverted materials",,
"2018","Canada","Plastics","All sources of diverted materials",,8.86341456309265
"2018","Canada","Plastics","Residential sources of diverted materials",,6.22499839504195
"2018","Canada","Plastics","Non-residential sources of diverted materials",,2.63841616805071
"2018","Canada","Gable top and aseptic containers","All sources of diverted materials",,0.557608283417789
"2018","Canada","Gable top and aseptic containers","Residential sources of diverted materials",,0.48140649352541
"2018","Canada","Gable top and aseptic containers","Non-residential sources of diverted materials",,0.0762017898923788
"2018","Canada","Textiles","All sources of diverted materials",,0.332455596610113
"2018","Canada","Textiles","Residential sources of diverted materials",,0.285790429702568
"2018","Canada","Textiles","Non-residential sources of diverted materials",,0.0466651669075452
"2018","Canada","Tires","All sources of diverted materials",,13.1607639276641
"2018","Canada","Tires","Residential sources of diverted materials",,
"2018","Canada","Tires","Non-residential sources of diverted materials",,
"2018","Canada","Construction, renovation and demolition","All sources of diverted materials",,14.6860675075028
"2018","Canada","Construction, renovation and demolition","Residential sources of diverted materials",,3.17285371252423
"2018","Canada","Construction, renovation and demolition","Non-residential sources of diverted materials",,11.5132137949786
"2018","Canada","All organic materials","All sources of diverted materials",,75.020136154391
"2018","Canada","All organic materials","Residential sources of diverted materials",,59.3637568642303
"2018","Canada","All organic materials","Non-residential sources of diverted materials",,15.6563792901608
"2018","Canada","Food waste and source separated organics","All sources of diverted materials",,
"2018","Canada","Food waste and source separated organics","Residential sources of diverted materials",,
"2018","Canada","Food waste and source separated organics","Non-residential sources of diverted materials",,
"2018","Canada","Leaf and yard waste","All sources of diverted materials",,
"2018","Canada","Leaf and yard waste","Residential sources of diverted materials",,
"2018","Canada","Leaf and yard waste","Non-residential sources of diverted materials",,
"2018","Canada","Other organic materials","All sources of diverted materials",,
"2018","Canada","Other organic materials","Residential sources of diverted materials",,
"2018","Canada","Other organic materials","Non-residential sources of diverted materials",,
"2018","Canada","Other materials","All sources of diverted materials",,1.72561313443722
"2018","Canada","Other materials","Residential sources of diverted materials",,1.25389033739725
"2018","Canada","Other materials","Non-residential sources of diverted materials",,0.471722797039972
"2018","Newfoundland and Labrador","All materials diverted","All sources of diverted materials",10,78.9909954920685
"2018","Newfoundland and Labrador","All materials diverted","Residential sources of diverted materials",10,
"2018","Newfoundland and Labrador","All materials diverted","Non-residential sources of diverted materials",10,
"2018","Newfoundland and Labrador","All paper fibres","All sources of diverted materials",10,54.2749648941526
"2018","Newfoundland and Labrador","All paper fibres","Residential sources of diverted materials",10,25.455997517042
"2018","Newfoundland and Labrador","All paper fibres","Non-residential sources of diverted materials",10,28.8189673771106
"2018","Newfoundland and Labrador","Glass","All sources of diverted materials",10,
"2018","Newfoundland and Labrador","Glass","Residential sources of diverted materials",10,
"2018","Newfoundland and Labrador","Glass","Non-residential sources of diverted materials",10,
"2018","Newfoundland and Labrador","Ferrous metals","All sources of diverted materials",10,1.01059420668355
"2018","Newfoundland and Labrador","Ferrous metals","Residential sources of diverted materials",10,
"2018","Newfoundland and Labrador","Ferrous metals","Non-residential sources of diverted materials",10,
"2018","Newfoundland and Labrador","Copper and aluminum","All sources of diverted materials",10,0.200604842525199
"2018","Newfoundland and Labrador","Copper and aluminum","Residential sources of diverted materials",10,
"2018","Newfoundland and Labrador","Copper and aluminum","Non-residential sources of diverted materials",10,
"2018","Newfoundland and Labrador","Mixed metals","All sources of diverted materials",10,
"2018","Newfoundland and Labrador","Mixed metals","Residential sources of diverted materials",10,
"2018","Newfoundland and Labrador","Mixed metals","Non-residential sources of diverted materials",10,
