Year,Series,Type of natural disaster,Value
2015,,,1995.2
2016,,,4845.27
2017,,,920.81
2018,,,5815.99
2019,,,34.55
2020,,,1330.34
2015,Number,Meteorological - Flood,3200
2015,Number,Meteorological - Storm,556061
2015,Number,Meteorological - Tornado,150006
2015,Number,Meteorological - Wildfire,576
2015,Number,Meteorological - Winter storm,2500
2016,Number,Meteorological - Flood,34333
2016,Number,Meteorological - Storm,1233151
2016,Number,Meteorological - Tornado,2070
2016,Number,Meteorological - Wildfire,77547
2016,Number,Meteorological - Winter storm,402501
2017,Number,Meteorological - Flood,23041
2017,Number,Meteorological - Storm,4470
2017,Number,Meteorological - Wildfire,309000
2017,Number,Meteorological - Winter storm,0
2018,Number,Meteorological - Flood,61233
2018,Number,Meteorological - Heat event,117000
2018,Number,Meteorological - Storm,1872001
2018,Number,Meteorological - Tornado,300
2018,Number,Meteorological - Wildfire,105166
2018,Number,Meteorological - Winter storm,0
2019,Number,Meteorological - Flood,1790
2019,Number,Meteorological - Hurricane,5000
2019,Number,Meteorological - Storm,2
2019,Number,Meteorological - Wildfire,200
2019,Number,Meteorological - Winter storm,6000
2020,Number,Meteorological - Flood,1
2020,Number,Meteorological - Storm,493604
2020,Number,Meteorological - Wildfire,12021
2020,Number,Meteorological - Winter storm,0
2015,"Rate per 100,000 population",Meteorological - Flood,8.96
2015,"Rate per 100,000 population",Meteorological - Storm,1557.47
2015,"Rate per 100,000 population",Meteorological - Tornado,420.15
2015,"Rate per 100,000 population",Meteorological - Wildfire,1.61
2015,"Rate per 100,000 population",Meteorological - Winter storm,7
2016,"Rate per 100,000 population",Meteorological - Flood,95.08
2016,"Rate per 100,000 population",Meteorological - Storm,3415.03
2016,"Rate per 100,000 population",Meteorological - Tornado,5.73
2016,"Rate per 100,000 population",Meteorological - Wildfire,214.76
2016,"Rate per 100,000 population",Meteorological - Winter storm,1114.67
2017,"Rate per 100,000 population",Meteorological - Flood,63.05
2017,"Rate per 100,000 population",Meteorological - Storm,12.23
2017,"Rate per 100,000 population",Meteorological - Wildfire,845.53
2017,"Rate per 100,000 population",Meteorological - Winter storm,0
2018,"Rate per 100,000 population",Meteorological - Flood,165.2
2018,"Rate per 100,000 population",Meteorological - Heat event,315.66
2018,"Rate per 100,000 population",Meteorological - Storm,5050.58
2018,"Rate per 100,000 population",Meteorological - Tornado,0.81
2018,"Rate per 100,000 population",Meteorological - Wildfire,283.73
2018,"Rate per 100,000 population",Meteorological - Winter storm,0
2019,"Rate per 100,000 population",Meteorological - Flood,4.76
2019,"Rate per 100,000 population",Meteorological - Hurricane,13.3
2019,"Rate per 100,000 population",Meteorological - Storm,0.01
2019,"Rate per 100,000 population",Meteorological - Wildfire,0.53
2019,"Rate per 100,000 population",Meteorological - Winter storm,15.96
2020,"Rate per 100,000 population",Meteorological - Flood,0
2020,"Rate per 100,000 population",Meteorological - Storm,1298.71
2020,"Rate per 100,000 population",Meteorological - Wildfire,31.63
2020,"Rate per 100,000 population",Meteorological - Winter storm,0
