Year,Series,Geography,Public sector components,GeoCode,Value
2015,,,,,1.88E+09
2016,,,,,1.63E+09
2017,,,,,1.85E+09
2018,,,,,1.70E+09
2019,,,,,2.20E+09
2020,,,,,1.90E+09
2021,,,,,1.99E+09
2015,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1.45E+09
2015,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,9.00E+06
2015,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2.00E+06
2015,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,2.70E+07
2015,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,2.20E+07
2015,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,5.30E+07
2015,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,7.38E+08
2015,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,3.30E+07
2015,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,1.90E+07
2015,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,4.36E+08
2015,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,3.30E+07
2015,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,5.30E+07
2015,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,1.40E+07
2015,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,6.00E+06
2016,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1.33E+09
2016,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,8.00E+06
2016,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2.00E+06
2016,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,2.20E+07
2016,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,1.10E+07
2016,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,5.20E+07
2016,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,7.58E+08
2016,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,3.50E+07
2016,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,1.70E+07
2016,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,3.28E+08
2016,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,3.30E+07
2016,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,4.20E+07
2016,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,1.30E+07
2016,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,6.00E+06
2017,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1.51E+09
2017,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,7.00E+06
2017,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2.00E+06
2017,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,2.10E+07
2017,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,1.80E+07
2017,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,1.40E+08
2017,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Consolidated provincial-territorial and local governments,35,8.62E+08
2017,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Consolidated provincial-territorial and local governments,46,3.40E+07
2017,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Consolidated provincial-territorial and local governments,47,2.00E+07
2017,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Consolidated provincial-territorial and local governments,48,2.97E+08
2017,Official development assistance on conservation and sustainable use of biodiversity,British Columbia,Consolidated provincial-territorial and local governments,59,5.20E+07
2017,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Consolidated provincial-territorial and local governments,60,3.40E+07
2017,Official development assistance on conservation and sustainable use of biodiversity,Northwest Territories,Consolidated provincial-territorial and local governments,61,1.30E+07
2017,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Consolidated provincial-territorial and local governments,62,6.00E+06
2018,Official development assistance on conservation and sustainable use of biodiversity,Canada,Consolidated provincial-territorial and local governments,,1.36E+09
2018,Official development assistance on conservation and sustainable use of biodiversity,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,10,6.00E+06
2018,Official development assistance on conservation and sustainable use of biodiversity,Prince Edward Island,Consolidated provincial-territorial and local governments,11,2.00E+06
2018,Official development assistance on conservation and sustainable use of biodiversity,Nova Scotia,Consolidated provincial-territorial and local governments,12,3.60E+07
2018,Official development assistance on conservation and sustainable use of biodiversity,New Brunswick,Consolidated provincial-territorial and local governments,13,1.90E+07
2018,Official development assistance on conservation and sustainable use of biodiversity,Quebec,Consolidated provincial-territorial and local governments,24,5.50E+07
