"Year","Units","Value"
2015,"US dollar, Millions, 2024 constant prices",0.571817
2016,"US dollar, Millions, 2024 constant prices",1.839163
2017,"US dollar, Millions, 2024 constant prices",0.03152
2018,"US dollar, Millions, 2024 constant prices",0.652937
2019,"US dollar, Millions, 2024 constant prices",1.97085
2020,"US dollar, Millions, 2024 constant prices",4.033104
2021,"US dollar, Millions, 2024 constant prices",5.912476
2022,"US dollar, Millions, 2024 constant prices",6.069935
2023,"US dollar, Millions, 2024 constant prices",35.392284
2024,"US dollar, Millions, 2024 constant prices",42.116327
