"Year","Series","Type of victimization",Type of violence,"Value"
1999,"Physical violence","_Physical assault",,37
1999,"Physical violence","Robbery",,46
1999,"Sexual violence","Sexual assault",,
2004,"Physical violence","_Physical assault",,39
2004,"Physical violence","Robbery",,46
2004,"Sexual violence","Sexual assault",,8
2009,"Physical violence","_Physical assault",,34
2009,"Physical violence","Robbery",,43
2009,"Sexual violence","Sexual assault",,
2014,"Physical violence","_Physical assault",,38
2014,"Physical violence","Robbery",,45
2014,"Sexual violence","Sexual assault",,5
2019,"Physical violence","_Physical assault",,36
2019,"Physical violence","Robbery",,47
2019,"Sexual violence","Sexual assault",,6
2019,,,Physical violence,
2019,,,Sexual violence,
