Year,Size,Characteristics,Value
2001,Small-scale food producers,Total,"-5,671"
2006,Small-scale food producers,Total,"-5,571"
2011,Small-scale food producers,Total,"-5,220"
2016,Small-scale food producers,Total,"-3,030"
2021,Small-scale food producers,Total,"-5,138"
2001,Small-scale food producers,Male,"-6,022"
2006,Small-scale food producers,Male,"-5,952"
2011,Small-scale food producers,Male,"-5,575"
2016,Small-scale food producers,Male,"-3,060"
2021,Small-scale food producers,Male,"-5,523"
2001,Small-scale food producers,Female,"-4,824"
2006,Small-scale food producers,Female,"-4,718"
2011,Small-scale food producers,Female,"-4,433"
2016,Small-scale food producers,Female,"-2,971"
2021,Small-scale food producers,Female,"-4,406"
2001,Small-scale food producers,Under 35 years,"-6,125"
2006,Small-scale food producers,Under 35 years,"-5,720"
2011,Small-scale food producers,Under 35 years,"-5,263"
2016,Small-scale food producers,Under 35 years,"-3,128"
2021,Small-scale food producers,Under 35 years,"-5,460"
2001,Small-scale food producers,35 to 54 years,"-6,300"
2006,Small-scale food producers,35 to 54 years,"-6,173"
2011,Small-scale food producers,35 to 54 years,"-6,086"
2016,Small-scale food producers,35 to 54 years,"-3,358"
2021,Small-scale food producers,35 to 54 years,"-6,397"
2001,Small-scale food producers,55 years and over,"-4,798"
2006,Small-scale food producers,55 years and over,"-4,960"
2011,Small-scale food producers,55 years and over,"-4,617"
2016,Small-scale food producers,55 years and over,"-2,840"
2021,Small-scale food producers,55 years and over,"-4,586"
2001,Medium-Large scale food producers,Total,"32,717"
2006,Medium-Large scale food producers,Total,"39,161"
2011,Medium-Large scale food producers,Total,"66,051"
2016,Medium-Large scale food producers,Total,"93,995"
2021,Medium-Large scale food producers,Total,"122,075"
2001,Medium-Large scale food producers,Male,"37,249"
2006,Medium-Large scale food producers,Male,"44,557"
2011,Medium-Large scale food producers,Male,"76,164"
2016,Medium-Large scale food producers,Male,"108,019"
2021,Medium-Large scale food producers,Male,"139,323"
2001,Medium-Large scale food producers,Female,"18,739"
2006,Medium-Large scale food producers,Female,"23,682"
2011,Medium-Large scale food producers,Female,"35,968"
2016,Medium-Large scale food producers,Female,"53,796"
2021,Medium-Large scale food producers,Female,"76,733"
2001,Medium-Large scale food producers,Under 35 years,"26,068"
2006,Medium-Large scale food producers,Under 35 years,"33,589"
2011,Medium-Large scale food producers,Under 35 years,"59,650"
2016,Medium-Large scale food producers,Under 35 years,"78,230"
2021,Medium-Large scale food producers,Under 35 years,"93,309"
2001,Medium-Large scale food producers,35 to 54 years,"36,671"
2006,Medium-Large scale food producers,35 to 54 years,"43,947"
2011,Medium-Large scale food producers,35 to 54 years,"73,600"
2016,Medium-Large scale food producers,35 to 54 years,"101,835"
2021,Medium-Large scale food producers,35 to 54 years,"138,315"
2001,Medium-Large scale food producers,55 years and over,"28,241"
2006,Medium-Large scale food producers,55 years and over,"33,788"
2011,Medium-Large scale food producers,55 years and over,"59,374"
2016,Medium-Large scale food producers,55 years and over,"91,115"
2021,Medium-Large scale food producers,55 years and over,"117,204"
2001,,,"18,056"
2006,,,"22,019"
2011,,,"38,751"
2016,,,"56,466"
2021,,,"69,694"
2001,Total,Male,"21,396"
2006,Total,Male,"26,031"
2011,Total,Male,"46,442"
2016,Total,Male,"67,737"
2021,Total,Male,"83,177"
2001,Total,Female,"8,715"
2006,Total,Female,"11,585"
2011,Total,Female,"18,417"
2016,Total,Female,"28,429"
2021,Total,Female,"38,832"
2001,Total,Under 35 years,"15,383"
2006,Total,Under 35 years,"20,917"
2011,Total,Under 35 years,"40,784"
2016,Total,Under 35 years,"51,416"
2021,Total,Under 35 years,"60,115"
2001,Total,35 to 54 years,"21,600"
2006,Total,35 to 54 years,"26,522"
2011,Total,35 to 54 years,"46,740"
2016,Total,35 to 54 years,"65,629"
2021,Total,35 to 54 years,"87,649"
2001,Total,55 years and over,"13,491"
2006,Total,55 years and over,"16,707"
2011,Total,55 years and over,"31,206"
2016,Total,55 years and over,"51,204"
2021,Total,55 years and over,"61,896"
