"Year","Units","Measure","Value"
2015,"US dollar, Millions, 2024 constant prices","Official Development Assistance",199.167569
2016,"US dollar, Millions, 2024 constant prices","Official Development Assistance",211.52513
2017,"US dollar, Millions, 2024 constant prices","Official Development Assistance",174.589756
2018,"US dollar, Millions, 2024 constant prices","Official Development Assistance",228.236425
2019,"US dollar, Millions, 2024 constant prices","Official Development Assistance",162.117336
2020,"US dollar, Millions, 2024 constant prices","Official Development Assistance",228.3389
2021,"US dollar, Millions, 2024 constant prices","Official Development Assistance",255.044093
2022,"US dollar, Millions, 2024 constant prices","Official Development Assistance",248.96879
2023,"US dollar, Millions, 2024 constant prices","Official Development Assistance",154.282978
2024,"US dollar, Millions, 2024 constant prices","Official Development Assistance",164.300088
2020,"US dollar, Millions, 2024 constant prices","Other Official Flows (non Export Credit)",23.780101
2022,"US dollar, Millions, 2024 constant prices","Other Official Flows (non Export Credit)",2.687703
2024,"US dollar, Millions, 2024 constant prices","Other Official Flows (non Export Credit)",2.241932
2015,"US dollar, Millions, 2024 constant prices",,199.167569
2016,"US dollar, Millions, 2024 constant prices",,211.52513
2017,"US dollar, Millions, 2024 constant prices",,174.589756
2018,"US dollar, Millions, 2024 constant prices",,228.236425
2019,"US dollar, Millions, 2024 constant prices",,162.117336
2020,"US dollar, Millions, 2024 constant prices",,252.119001
2021,"US dollar, Millions, 2024 constant prices",,255.044093
2022,"US dollar, Millions, 2024 constant prices",,251.656493
2023,"US dollar, Millions, 2024 constant prices",,154.282978
2024,"US dollar, Millions, 2024 constant prices",,166.54202
