"Year","Geography","GeoCode","Value"
"2015","",,97.8
"2015","",,97.9
"2015","",,90.8
"2016","",,97.8
"2016","",,97.8
"2016","",,90.9
"2017","",,97.9
"2017","",,97.9
"2017","",,91.8
"2018","",,97.9
"2018","",,98
"2018","",,91.4
"2019","",,98
"2019","",,98.1
"2019","",,94
"2020","",,97.7
"2020","",,97.7
"2020","",,92.8
"2021","",,97.6
"2021","",,97.6
"2021","",,92.9
"2022","",,97.7
"2022","",,97.8
"2022","",,91.6
"2015","Newfoundland and Labrador",10,99.6
"2015","Newfoundland and Labrador",10,99.7
"2015","Newfoundland and Labrador",10,93.3
"2015","Prince Edward Island",11,99.3
"2015","Prince Edward Island",11,99.3
"2015","Prince Edward Island",11,100
"2015","Nova Scotia",12,99.2
"2015","Nova Scotia",12,99.2
"2015","Nova Scotia",12,93.8
"2015","New Brunswick",13,99.2
"2015","New Brunswick",13,99.2
"2015","New Brunswick",13,100
"2015","Quebec",24,99.2
"2015","Quebec",24,99.2
"2015","Quebec",24,99.2
"2015","Ontario",35,97.2
"2015","Ontario",35,97.4
"2015","Ontario",35,81.9
"2015","Manitoba",46,99
"2015","Manitoba",46,99
"2015","Manitoba",46,96.5
"2015","Saskatchewan",47,98.5
"2015","Saskatchewan",47,98.5
"2015","Saskatchewan",47,97.4
"2015","Alberta",48,97.5
"2015","Alberta",48,97.5
"2015","Alberta",48,99
"2015","British Columbia",59,96.3
"2015","British Columbia",59,96.3
"2015","British Columbia",59,99.2
"2015","Yukon",60,97.9
"2015","Yukon",60,97.9
"2015","Yukon",60,100
"2015","Northwest Territories",61,97.7
"2015","Northwest Territories",61,97.7
"2015","Northwest Territories",61,100
"2015","Nunavut",62,94.1
"2015","Nunavut",62,94.2
"2015","Nunavut",62,83.3
"2016","Newfoundland and Labrador",10,99.8
"2016","Newfoundland and Labrador",10,99.9
"2016","Newfoundland and Labrador",10,85.2
"2016","Prince Edward Island",11,100
"2016","Prince Edward Island",11,100
"2016","Prince Edward Island",11,100
"2016","Nova Scotia",12,99.2
"2016","Nova Scotia",12,99.2
"2016","Nova Scotia",12,94.5
"2016","New Brunswick",13,99.4
"2016","New Brunswick",13,99.4
"2016","New Brunswick",13,98
"2016","Quebec",24,99.2
"2016","Quebec",24,99.2
"2016","Quebec",24,99.4
"2016","Ontario",35,97.2
"2016","Ontario",35,97.4
"2016","Ontario",35,82.3
"2016","Manitoba",46,98.7
"2016","Manitoba",46,98.8
"2016","Manitoba",46,94.7
"2016","Saskatchewan",47,98.5
"2016","Saskatchewan",47,98.5
"2016","Saskatchewan",47,95
"2016","Alberta",48,97.2
"2016","Alberta",48,97.2
"2016","Alberta",48,97.9
"2016","British Columbia",59,96.3
"2016","British Columbia",59,96.2
"2016","British Columbia",59,97.2
"2016","Yukon",60,98
"2016","Yukon",60,98.2
"2016","Yukon",60,90.9
"2016","Northwest Territories",61,97.2
"2016","Northwest Territories",61,97.2
"2016","Northwest Territories",61,100
