Year,Geography,Value
2015,Canada,5.295001633453119
2015,Newfoundland and Labrador,4.908522980812138
2015,Prince Edward Island,3.0326004548900682
2015,Nova Scotia,4.461056185194116
2015,New Brunswick,4.820003012501883
2015,Quebec,5.624033369264658
2015,Ontario,5.028791602626304
2015,Manitoba,7.470962470086967
2015,Saskatchewan,6.583193494255841
2015,Alberta,5.551345540419083
2015,British Columbia,3.9656609810504495
2015,Yukon,9.615384615384617
2015,Northwest Territories,5.319148936170213
2015,Nunavut,27.459954233409608
2015,Unknown province or territory of residence,NA
2016,Canada,5.289307930049685
2016,Newfoundland and Labrador,4.701141705842848
2016,Prince Edward Island,7.278020378457059
2016,Nova Scotia,5.695977216091136
2016,New Brunswick,5.687771291722797
2016,Quebec,5.003245029205263
2016,Ontario,5.319711115025542
2016,Manitoba,6.609955167260605
2016,Saskatchewan,7.12604186549596
2016,Alberta,5.259662160949253
2016,British Columbia,4.097277293153582
2016,Yukon,7.194244604316547
2016,Northwest Territories,7.0821529745042495
2016,Nunavut,39.56043956043956
2016,Unknown province or territory of residence,NA
2017,Canada,5.157682643656553
2017,Newfoundland and Labrador,4.87685930260912
2017,Prince Edward Island,3.051106025934401
2017,Nova Scotia,4.426366790285919
2017,New Brunswick,3.2095369096744615
2017,Quebec,4.440831381875099
2017,Ontario,5.303232513381004
2017,Manitoba,8.17142857142857
2017,Saskatchewan,7.368960656157888
2017,Alberta,5.713112152499019
2017,British Columbia,3.752261407544726
2017,Northwest Territories,4.207573632538569
2017,Nunavut,22.779043280182233
2017,Unknown province or territory of residence,NA
2018,Canada,5.357777190185065
2018,Newfoundland and Labrador,5.718547986076579
2018,Prince Edward Island,5.455962587685113
2018,Nova Scotia,4.23043424163245
2018,New Brunswick,3.755868544600939
2018,Quebec,4.562165572636713
2018,Ontario,5.207820175376863
2018,Manitoba,7.525655644241733
2018,Saskatchewan,6.750178490296618
2018,Alberta,6.343141001146351
2018,British Columbia,4.618832029999543
2018,Northwest Territories,8.16326530612245
2018,Nunavut,63.41463414634146
2018,Unknown province or territory of residence,NA
2019,Canada,5.066179826563213
2019,Newfoundland and Labrador,5.04380143350146
2019,Prince Edward Island,3.8402457757296466
2019,Nova Scotia,5.99608418991679
2019,New Brunswick,4.590786765869875
2019,Quebec,4.662736760726711
2019,Ontario,5.094311704233986
2019,Manitoba,6.637554585152838
2019,Saskatchewan,7.160881129373252
2019,Alberta,5.185256844345554
2019,British Columbia,3.915283342873497
2019,Northwest Territories,1.594896331738437
2019,Nunavut,44.73684210526316
2019,Unknown province or territory of residence,NA
