"Year","Sex","Units","Value"
"2015","","Mortality rate per 1,000 live births",3.5
"2016","","Mortality rate per 1,000 live births",3.4
"2017","","Mortality rate per 1,000 live births",3.5
"2018","","Mortality rate per 1,000 live births",3.6
"2019","","Mortality rate per 1,000 live births",3.4
"2020","","Mortality rate per 1,000 live births",3.5
"2021","","Mortality rate per 1,000 live births",3.4
"2022","","Mortality rate per 1,000 live births",3.6
"2023","","Mortality rate per 1,000 live births",3.5
"2024","","Mortality rate per 1,000 live births",3.3
"2015","","Number of deaths",1353
"2016","","Number of deaths",1297
"2017","","Number of deaths",1326
"2018","","Number of deaths",1333
"2019","","Number of deaths",1257
"2020","","Number of deaths",1267
"2021","","Number of deaths",1258
"2022","","Number of deaths",1278
"2023","","Number of deaths",1220
"2024","","Number of deaths",1210
"2015","Males","Mortality rate per 1,000 live births",3.7
"2015","Females","Mortality rate per 1,000 live births",3.4
"2016","Males","Mortality rate per 1,000 live births",3.4
"2016","Females","Mortality rate per 1,000 live births",3.3
"2017","Males","Mortality rate per 1,000 live births",3.7
"2017","Females","Mortality rate per 1,000 live births",3.3
"2018","Males","Mortality rate per 1,000 live births",3.8
"2018","Females","Mortality rate per 1,000 live births",3.3
"2019","Males","Mortality rate per 1,000 live births",3.8
"2019","Females","Mortality rate per 1,000 live births",2.9
"2020","Males","Mortality rate per 1,000 live births",3.8
"2020","Females","Mortality rate per 1,000 live births",3.1
"2021","Males","Mortality rate per 1,000 live births",3.7
"2021","Females","Mortality rate per 1,000 live births",3
"2022","Males","Mortality rate per 1,000 live births",3.8
"2022","Females","Mortality rate per 1,000 live births",3.4
"2023","Males","Mortality rate per 1,000 live births",3.8
"2023","Females","Mortality rate per 1,000 live births",3.2
"2024","Males","Mortality rate per 1,000 live births",3.6
"2024","Females","Mortality rate per 1,000 live births",3
"2015","Males","Number of deaths",722
"2015","Females","Number of deaths",631
"2016","Males","Number of deaths",672
"2016","Females","Number of deaths",625
"2017","Males","Number of deaths",724
"2017","Females","Number of deaths",602
"2018","Males","Number of deaths",732
"2018","Females","Number of deaths",601
"2019","Males","Number of deaths",727
"2019","Females","Number of deaths",530
"2020","Males","Number of deaths",715
"2020","Females","Number of deaths",552
"2021","Males","Number of deaths",705
"2021","Females","Number of deaths",553
"2022","Males","Number of deaths",700
"2022","Females","Number of deaths",578
"2023","Males","Number of deaths",677
"2023","Females","Number of deaths",543
"2024","Males","Number of deaths",677
"2024","Females","Number of deaths",533
