Year,Geography,Age,Sex,Cause of death,Value
2015,,,,,6.4
2016,,,,,5.9
2017,,,,,5.4
2018,,,,,5
2019,,,,,4.8
2015,Canada,All ages,Both sexes,Transport accidents,6.4
2015,Canada,All ages,Both sexes,Motor vehicle accidents,5.8
2015,Canada,All ages,Both sexes,Other land transport accidents,0.2
2015,Canada,All ages,Males,Transport accidents,9.5
2015,Canada,All ages,Males,Motor vehicle accidents,8.4
2015,Canada,All ages,Males,Other land transport accidents,0.3
2015,Canada,All ages,Females,Transport accidents,3.4
2015,Canada,All ages,Females,Motor vehicle accidents,3.2
2015,Canada,All ages,Females,Other land transport accidents,0.1
2015,Canada,Under 1 year,Both sexes,Transport accidents,1.6
2015,Canada,Under 1 year,Both sexes,Motor vehicle accidents,1.6
2015,Canada,Under 1 year,Both sexes,Other land transport accidents,0
2015,Canada,Under 1 year,Males,Transport accidents,1
2015,Canada,Under 1 year,Males,Motor vehicle accidents,1
2015,Canada,Under 1 year,Males,Other land transport accidents,0
2015,Canada,Under 1 year,Females,Transport accidents,2.1
2015,Canada,Under 1 year,Females,Motor vehicle accidents,2.1
2015,Canada,Under 1 year,Females,Other land transport accidents,0
2015,Canada,1 to 4 years,Both sexes,Transport accidents,1.6
2015,Canada,1 to 4 years,Both sexes,Motor vehicle accidents,1.6
2015,Canada,1 to 4 years,Both sexes,Other land transport accidents,0.1
2015,Canada,1 to 4 years,Males,Transport accidents,1.8
2015,Canada,1 to 4 years,Males,Motor vehicle accidents,1.8
2015,Canada,1 to 4 years,Males,Other land transport accidents,0
2015,Canada,1 to 4 years,Females,Transport accidents,1.5
2015,Canada,1 to 4 years,Females,Motor vehicle accidents,1.3
2015,Canada,1 to 4 years,Females,Other land transport accidents,0.1
2015,Canada,5 to 9 years,Both sexes,Transport accidents,0.9
2015,Canada,5 to 9 years,Both sexes,Motor vehicle accidents,0.8
2015,Canada,5 to 9 years,Both sexes,Other land transport accidents,0.1
2015,Canada,5 to 9 years,Males,Transport accidents,1.5
2015,Canada,5 to 9 years,Males,Motor vehicle accidents,1.3
2015,Canada,5 to 9 years,Males,Other land transport accidents,0.2
2015,Canada,5 to 9 years,Females,Transport accidents,0.3
2015,Canada,5 to 9 years,Females,Motor vehicle accidents,0.3
2015,Canada,5 to 9 years,Females,Other land transport accidents,0
2015,Canada,10 to 14 years,Both sexes,Transport accidents,1.1
2015,Canada,10 to 14 years,Both sexes,Motor vehicle accidents,1.1
2015,Canada,10 to 14 years,Both sexes,Other land transport accidents,0.1
2015,Canada,10 to 14 years,Males,Transport accidents,1
2015,Canada,10 to 14 years,Males,Motor vehicle accidents,1
2015,Canada,10 to 14 years,Males,Other land transport accidents,0
2015,Canada,10 to 14 years,Females,Transport accidents,1.2
2015,Canada,10 to 14 years,Females,Motor vehicle accidents,1.1
2015,Canada,10 to 14 years,Females,Other land transport accidents,0.1
2015,Canada,15 to 19 years,Both sexes,Transport accidents,7.3
2015,Canada,15 to 19 years,Both sexes,Motor vehicle accidents,7.2
2015,Canada,15 to 19 years,Both sexes,Other land transport accidents,0.1
2015,Canada,15 to 19 years,Males,Transport accidents,9.8
2015,Canada,15 to 19 years,Males,Motor vehicle accidents,9.8
2015,Canada,15 to 19 years,Males,Other land transport accidents,0
2015,Canada,15 to 19 years,Females,Transport accidents,4.6
2015,Canada,15 to 19 years,Females,Motor vehicle accidents,4.4
2015,Canada,15 to 19 years,Females,Other land transport accidents,0.2
2015,Canada,20 to 24 years,Both sexes,Transport accidents,9.7
2015,Canada,20 to 24 years,Both sexes,Motor vehicle accidents,8.9
2015,Canada,20 to 24 years,Both sexes,Other land transport accidents,0.4
2015,Canada,20 to 24 years,Males,Transport accidents,14.3
2015,Canada,20 to 24 years,Males,Motor vehicle accidents,13.2
2015,Canada,20 to 24 years,Males,Other land transport accidents,0.4
2015,Canada,20 to 24 years,Females,Transport accidents,4.8
2015,Canada,20 to 24 years,Females,Motor vehicle accidents,4.4
2015,Canada,20 to 24 years,Females,Other land transport accidents,0.3
2015,Canada,25 to 29 years,Both sexes,Transport accidents,7.7
2015,Canada,25 to 29 years,Both sexes,Motor vehicle accidents,7.1
2015,Canada,25 to 29 years,Both sexes,Other land transport accidents,0.1
2015,Canada,25 to 29 years,Males,Transport accidents,12.4
2015,Canada,25 to 29 years,Males,Motor vehicle accidents,11.4
2015,Canada,25 to 29 years,Males,Other land transport accidents,0.2
2015,Canada,25 to 29 years,Females,Transport accidents,2.9
2015,Canada,25 to 29 years,Females,Motor vehicle accidents,2.9
2015,Canada,25 to 29 years,Females,Other land transport accidents,0
2015,Canada,30 to 34 years,Both sexes,Transport accidents,6
2015,Canada,30 to 34 years,Both sexes,Motor vehicle accidents,5.4
2015,Canada,30 to 34 years,Both sexes,Other land transport accidents,0.3
2015,Canada,30 to 34 years,Males,Transport accidents,9.6
2015,Canada,30 to 34 years,Males,Motor vehicle accidents,8.3
2015,Canada,30 to 34 years,Males,Other land transport accidents,0.6
2015,Canada,30 to 34 years,Females,Transport accidents,2.6
2015,Canada,30 to 34 years,Females,Motor vehicle accidents,2.5
2015,Canada,30 to 34 years,Females,Other land transport accidents,0.1
2015,Canada,35 to 39 years,Both sexes,Transport accidents,4.4
2015,Canada,35 to 39 years,Both sexes,Motor vehicle accidents,4.1
2015,Canada,35 to 39 years,Both sexes,Other land transport accidents,0.2
2015,Canada,35 to 39 years,Males,Transport accidents,6.5
2015,Canada,35 to 39 years,Males,Motor vehicle accidents,5.8
2015,Canada,35 to 39 years,Males,Other land transport accidents,0.3
2015,Canada,35 to 39 years,Females,Transport accidents,2.3
2015,Canada,35 to 39 years,Females,Motor vehicle accidents,2.3
2015,Canada,35 to 39 years,Females,Other land transport accidents,0
2015,Canada,40 to 44 years,Both sexes,Transport accidents,5.9
2015,Canada,40 to 44 years,Both sexes,Motor vehicle accidents,5.2
2015,Canada,40 to 44 years,Both sexes,Other land transport accidents,0.2
2015,Canada,40 to 44 years,Males,Transport accidents,9.2
2015,Canada,40 to 44 years,Males,Motor vehicle accidents,8
2015,Canada,40 to 44 years,Males,Other land transport accidents,0.3
2015,Canada,40 to 44 years,Females,Transport accidents,2.6
2015,Canada,40 to 44 years,Females,Motor vehicle accidents,2.5
2015,Canada,40 to 44 years,Females,Other land transport accidents,0.1
2015,Canada,45 to 49 years,Both sexes,Transport accidents,6.4
2015,Canada,45 to 49 years,Both sexes,Motor vehicle accidents,5.7
2015,Canada,45 to 49 years,Both sexes,Other land transport accidents,0.1
2015,Canada,45 to 49 years,Males,Transport accidents,9.2
2015,Canada,45 to 49 years,Males,Motor vehicle accidents,7.9
2015,Canada,45 to 49 years,Males,Other land transport accidents,0.2
2015,Canada,45 to 49 years,Females,Transport accidents,3.6
2015,Canada,45 to 49 years,Females,Motor vehicle accidents,3.5
2015,Canada,45 to 49 years,Females,Other land transport accidents,0
2015,Canada,50 to 54 years,Both sexes,Transport accidents,6.7
2015,Canada,50 to 54 years,Both sexes,Motor vehicle accidents,5.7
2015,Canada,50 to 54 years,Both sexes,Other land transport accidents,0.1
2015,Canada,50 to 54 years,Males,Transport accidents,10.8
2015,Canada,50 to 54 years,Males,Motor vehicle accidents,9.1
2015,Canada,50 to 54 years,Males,Other land transport accidents,0.1
2015,Canada,50 to 54 years,Females,Transport accidents,2.5
