Year,Sex,Age Group,Tobacco Product,Value
2015,,,,15.5
2017,,,,17.8
2019,,,,14
2020,,,,12.1
2021,,,,11.9
2022,,,,12.9
2015,Both sexes,15-19 years-old,Any tobacco product,13.1
2015,Both sexes,15-19 years-old,Cigarettes,9.8
2015,Both sexes,15-19 years-old,Cigars,1.3
2015,Both sexes,15-19 years-old,E-cigarettes,6.3
2015,Both sexes,15-19 years-old,Little cigars or cigarillos,3
2015,Both sexes,15-19 years-old,Smokeless tobacco,0.9
2015,Both sexes,15-19 years-old,Water pipe with tobacco,1.7
2015,Both sexes,20-24 years-old,Any tobacco product,23.8
2015,Both sexes,20-24 years-old,Cigarettes,18.9
2015,Both sexes,20-24 years-old,Cigars,2.3
2015,Both sexes,20-24 years-old,E-cigarettes,6.3
2015,Both sexes,20-24 years-old,Little cigars or cigarillos,5.7
2015,Both sexes,20-24 years-old,Pipe,1.5
2015,Both sexes,20-24 years-old,Smokeless tobacco,1.8
2015,Both sexes,20-24 years-old,Water pipe with tobacco,2.7
2015,Both sexes,25+ years-old,Any tobacco product,14.9
2015,Both sexes,25+ years-old,Cigarettes,12.9
2015,Both sexes,25+ years-old,Cigars,1.1
2015,Both sexes,25+ years-old,E-cigarettes,2.6
2015,Both sexes,25+ years-old,Little cigars or cigarillos,1.3
2015,Both sexes,25+ years-old,Pipe,0.4
2015,Both sexes,25+ years-old,Smokeless tobacco,0.2
2015,Both sexes,25-44 years-old,Any tobacco product,17.8
2015,Both sexes,25-44 years-old,Cigarettes,15.3
2015,Both sexes,25-44 years-old,Cigars,1.1
2015,Both sexes,25-44 years-old,E-cigarettes,3.4
2015,Both sexes,25-44 years-old,Little cigars or cigarillos,1.7
2015,Both sexes,45+ years-old,Any tobacco product,13
2015,Both sexes,45+ years-old,Cigarettes,11.4
2015,Both sexes,45+ years-old,Cigars,1
2015,Both sexes,45+ years-old,E-cigarettes,2.1
2015,Both sexes,45+ years-old,Little cigars or cigarillos,1
2015,Both sexes,All age groups,Cigarettes,13.2
2015,Both sexes,All age groups,Cigars,1.2
2015,Both sexes,All age groups,E-cigarettes,3.2
2015,Both sexes,All age groups,Little cigars or cigarillos,1.8
2015,Both sexes,All age groups,Pipe,0.5
