"Year","Antigen or vaccine","Target population","Geography","Gender","GeoCode","Value"
"2015","Diphtheria","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,76.9
"2015","Pertussis (whooping cough)","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,77
"2015","Tetanus","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,76.7
"2015","Polio","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,91.2
"2015","Haemophilus influenzae type B (Hib)","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,71.9
"2015","Measles","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,89.2
"2015","Mumps","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,88.9
"2015","Rubella","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,88.9
"2015","Hepatitis B","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,69.2
"2015","Varicella","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,74.8
"2015","Meningococcal type C","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,87.8
"2015","Pneumococcal","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,80.3
"2015","Rotavirus","Recommended vaccines for 2-year-old children","Canada","Total - Gender",11124,75.4
"2015","Diphtheria","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,74.6
"2015","Pertussis (whooping cough)","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,74.9
"2015","Tetanus","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,74.6
"2015","Polio","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,90.2
"2015","Haemophilus influenzae type B (Hib)","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,77.3
"2015","Measles","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,85.8
"2015","Mumps","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,86.2
"2015","Rubella","Recommended vaccines for 7-year-old children","Canada","Total - Gender",11124,93.5
"2015","Human Papillomavirus (HPV)","Recommended vaccines for 14-year-old children","Canada","Women+",11124,74.6
"2015","Diphtheria","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,62.2
"2015","Pertussis (whooping cough)","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,60.2
"2015","Tetanus","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,60.9
"2015","Polio","Recommended vaccines for 17-year-old children","Canada","Total - Gender",11124,87.2
