"Year","Series","Units","Sex","Value"
2015,"Children in Grade 4 achieving at least a minimum proficiency level in mathematics","Percent (%)","Total",92
2019,"Children in Grade 4 achieving at least a minimum proficiency level in mathematics","Percent (%)","Total",92
2019,"Children in Grade 4 achieving at least a minimum proficiency level in mathematics","Percent (%)","Male",94
2019,"Children in Grade 4 achieving at least a minimum proficiency level in mathematics","Percent (%)","Female",91
2016,"Children in Grade 4 achieving at least a minimum proficiency level in reading","Percent (%)","Total",95.6
2016,"Children in Grade 4 achieving at least a minimum proficiency level in reading","Percent (%)","Male",95.3
2016,"Children in Grade 4 achieving at least a minimum proficiency level in reading","Percent (%)","Female",96.3
2018,"Children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading","Percent (%)","Total",86.3
2018,"Children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading","Percent (%)","Female",90.4
2018,"Children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading","Percent (%)","Male",82.1
2018,"Children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics","Percent (%)","Total",83.7
2018,"Children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics","Percent (%)","Female",83.9
2018,"Children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics","Percent (%)","Male",83.6
