"Year","Geography","Sex","Age group","Skill","Proficiency level","GeoCode","Value"
"2012","Canada","Both sexes","Total","Literacy","2 or below",,48.5
"2012","Canada","Both sexes","Total","Literacy","3 or above",,51.5
"2012","Canada","Both sexes","Total","Numeracy","2 or below",,54.7
"2012","Canada","Both sexes","Total","Numeracy","3 or above",,45.3
"2012","Canada","Both sexes","16 to 24 years","Literacy","2 or below",,46.4
"2012","Canada","Both sexes","16 to 24 years","Literacy","3 or above",,53.6
"2012","Canada","Both sexes","16 to 24 years","Numeracy","2 or below",,53.4
"2012","Canada","Both sexes","16 to 24 years","Numeracy","3 or above",,46.6
"2012","Canada","Both sexes","25 to 34 years","Literacy","2 or below",,39.9
"2012","Canada","Both sexes","25 to 34 years","Literacy","3 or above",,60.1
"2012","Canada","Both sexes","25 to 34 years","Numeracy","2 or below",,46.7
"2012","Canada","Both sexes","25 to 34 years","Numeracy","3 or above",,53.3
"2012","Canada","Both sexes","35 to 44 years","Literacy","2 or below",,42.4
"2012","Canada","Both sexes","35 to 44 years","Literacy","3 or above",,57.6
"2012","Canada","Both sexes","35 to 44 years","Numeracy","2 or below",,49
"2012","Canada","Both sexes","35 to 44 years","Numeracy","3 or above",,51
"2012","Canada","Both sexes","45 to 54 years","Literacy","2 or below",,52.9
"2012","Canada","Both sexes","45 to 54 years","Literacy","3 or above",,47.1
"2012","Canada","Both sexes","45 to 54 years","Numeracy","2 or below",,57.6
"2012","Canada","Both sexes","45 to 54 years","Numeracy","3 or above",,42.4
"2012","Canada","Both sexes","55 to 65 years","Literacy","2 or below",,59.7
"2012","Canada","Both sexes","55 to 65 years","Literacy","3 or above",,40.3
"2012","Canada","Both sexes","55 to 65 years","Numeracy","2 or below",,65.8
"2012","Canada","Both sexes","55 to 65 years","Numeracy","3 or above",,34.2
"2012","Canada","Males","Total","Literacy","2 or below",,47.6
"2012","Canada","Males","Total","Literacy","3 or above",,52.4
"2012","Canada","Males","Total","Numeracy","2 or below",,49
"2012","Canada","Males","Total","Numeracy","3 or above",,51
"2012","Canada","Males","16 to 24 years","Literacy","2 or below",,47.1
"2012","Canada","Males","16 to 24 years","Literacy","3 or above",,52.9
"2012","Canada","Males","16 to 24 years","Numeracy","2 or below",,49.9
"2012","Canada","Males","16 to 24 years","Numeracy","3 or above",,50.1
"2012","Canada","Males","25 to 34 years","Literacy","2 or below",,40.2
"2012","Canada","Males","25 to 34 years","Literacy","3 or above",,59.8
"2012","Canada","Males","25 to 34 years","Numeracy","2 or below",,42.2
"2012","Canada","Males","25 to 34 years","Numeracy","3 or above",,57.8
"2012","Canada","Males","35 to 44 years","Literacy","2 or below",,42.2
"2012","Canada","Males","35 to 44 years","Literacy","3 or above",,57.8
"2012","Canada","Males","35 to 44 years","Numeracy","2 or below",,43.1
"2012","Canada","Males","35 to 44 years","Numeracy","3 or above",,56.9
"2012","Canada","Males","45 to 54 years","Literacy","2 or below",,50.7
"2012","Canada","Males","45 to 54 years","Literacy","3 or above",,49.3
"2012","Canada","Males","45 to 54 years","Numeracy","2 or below",,51
"2012","Canada","Males","45 to 54 years","Numeracy","3 or above",,49
"2012","Canada","Males","55 to 65 years","Literacy","2 or below",,57.3
"2012","Canada","Males","55 to 65 years","Literacy","3 or above",,42.7
"2012","Canada","Males","55 to 65 years","Numeracy","2 or below",,58.2
"2012","Canada","Males","55 to 65 years","Numeracy","3 or above",,41.8
"2012","Canada","Females","Total","Literacy","2 or below",,49.4
"2012","Canada","Females","Total","Literacy","3 or above",,50.6
"2012","Canada","Females","Total","Numeracy","2 or below",,60.4
"2012","Canada","Females","Total","Numeracy","3 or above",,39.6
"2012","Canada","Females","16 to 24 years","Literacy","2 or below",,45.6
"2012","Canada","Females","16 to 24 years","Literacy","3 or above",,54.4
"2012","Canada","Females","16 to 24 years","Numeracy","2 or below",,57
"2012","Canada","Females","16 to 24 years","Numeracy","3 or above",,43
"2012","Canada","Females","25 to 34 years","Literacy","2 or below",,39.6
"2012","Canada","Females","25 to 34 years","Literacy","3 or above",,60.4
"2012","Canada","Females","25 to 34 years","Numeracy","2 or below",,51.2
"2012","Canada","Females","25 to 34 years","Numeracy","3 or above",,48.8
"2012","Canada","Females","35 to 44 years","Literacy","2 or below",,42.7
