Year,Series,Characteristics,Value
2001,(a) The proportion (%) of farm operators among the total farm population by sex,Female farm operator,10.9
2006,(a) The proportion (%) of farm operators among the total farm population by sex,Female farm operator,11.9
2011,(a) The proportion (%) of farm operators among the total farm population by sex,Female farm operator,12.4
2016,(a) The proportion (%) of farm operators among the total farm population by sex,Female farm operator,13.1
2021,(a) The proportion (%) of farm operators among the total farm population by sex,Female farm operator,13.5
2001,(a) The proportion (%) of farm operators among the total farm population by sex,Male farm operator,30.4
2006,(a) The proportion (%) of farm operators among the total farm population by sex,Male farm operator,31.0
2011,(a) The proportion (%) of farm operators among the total farm population by sex,Male farm operator,32.8
2016,(a) The proportion (%) of farm operators among the total farm population by sex,Male farm operator,32.7
2021,(a) The proportion (%) of farm operators among the total farm population by sex,Male farm operator,30.9
2001,(a) The proportion (%) of farm operators among the total farm population by sex,,41.2
2006,(a) The proportion (%) of farm operators among the total farm population by sex,,42.9
2011,(a) The proportion (%) of farm operators among the total farm population by sex,,45.2
2016,(a) The proportion (%) of farm operators among the total farm population by sex,,45.9
2021,(a) The proportion (%) of farm operators among the total farm population by sex,,44.4
2001,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area owned,28.6
2006,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area owned,30.2
2011,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area owned,30.1
2016,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area owned,31.4
2021,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area owned,33.0
2001,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area rented or leased from others only,21.4
2006,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area rented or leased from others only,22.7
2011,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area rented or leased from others only,23.7
2016,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area rented or leased from others only,26.0
2021,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms only reporting area rented or leased from others only,28.1
2001,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms reporting area owned and rented or leased from others,23.5
2006,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms reporting area owned and rented or leased from others,24.8
2011,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms reporting area owned and rented or leased from others,24.2
2016,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms reporting area owned and rented or leased from others,25.3
2021,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,Farms reporting area owned and rented or leased from others,27.2
2001,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,,26.3
2006,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,,27.8
2011,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,,27.4
2016,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,,28.7
2021,(b) The proportion (%) of female farm operators among the total farm operators by land tenure,,30.4
