"Year","Series","Reservoir extent","Units","Value"
2020,"Wetlands area",,"Square kilometres",1870536
2000,"River flows","Maximum","m3/s",5794220.58059103
2001,"River flows","Maximum","m3/s",6400420.03297502
2002,"River flows","Maximum","m3/s",6690936.23468771
2003,"River flows","Maximum","m3/s",5830594.5760819
2004,"River flows","Maximum","m3/s",6575288.81353716
2005,"River flows","Maximum","m3/s",6659884.57979052
2006,"River flows","Maximum","m3/s",6172474.69778257
2007,"River flows","Maximum","m3/s",6971150.2139804
2008,"River flows","Maximum","m3/s",6874052.60151282
2009,"River flows","Maximum","m3/s",7001953.28383692
2010,"River flows","Maximum","m3/s",4730583.72233458
2011,"River flows","Maximum","m3/s",6783873.83208776
2012,"River flows","Maximum","m3/s",6561681.06087835
2013,"River flows","Maximum","m3/s",7173895.08387768
2014,"River flows","Maximum","m3/s",7034564.92754887
2015,"River flows","Maximum","m3/s",5921674.82208486
2016,"River flows","Maximum","m3/s",5989895.89970913
2017,"River flows","Maximum","m3/s",6747597.84950536
2018,"River flows","Maximum","m3/s",6748112.73191433
2019,"River flows","Maximum","m3/s",6508511.36904117
2020,"River flows","Maximum","m3/s",7728006.31135033
2021,"River flows","Maximum","m3/s",7181544.78588138
2022,"River flows","Maximum","m3/s",8531776.9722135
2023,"River flows","Maximum","m3/s",5955387.4722006
2024,"River flows","Maximum","m3/s",5123192.103101
2000,"River flows","Minimum","m3/s",1349996.86177095
2001,"River flows","Minimum","m3/s",1333484.90563453
2002,"River flows","Minimum","m3/s",1414108.82456555
2003,"River flows","Minimum","m3/s",1430451.38210973
2004,"River flows","Minimum","m3/s",1443210.05795413
2005,"River flows","Minimum","m3/s",1618471.77955274
2006,"River flows","Minimum","m3/s",1569787.66572578
2007,"River flows","Minimum","m3/s",1231118.33515776
2008,"River flows","Minimum","m3/s",1555274.18113499
2009,"River flows","Minimum","m3/s",1531112.77553897
2010,"River flows","Minimum","m3/s",1358865.01479164
2011,"River flows","Minimum","m3/s",1362974.92784245
2012,"River flows","Minimum","m3/s",1331111.49611329
2013,"River flows","Minimum","m3/s",1375104.1553989
2014,"River flows","Minimum","m3/s",1618191.15825501
2015,"River flows","Minimum","m3/s",1513878.82076329
2016,"River flows","Minimum","m3/s",1449161.69619645
2017,"River flows","Minimum","m3/s",1752299.99549184
2018,"River flows","Minimum","m3/s",1525371.09236087
2019,"River flows","Minimum","m3/s",1747148.30493834
2020,"River flows","Minimum","m3/s",1677967.12249335
2021,"River flows","Minimum","m3/s",1636442.41255796
2022,"River flows","Minimum","m3/s",1509139.94421027
2023,"River flows","Minimum","m3/s",1510459.96731579
2024,"River flows","Minimum","m3/s",1257208.45212129
