"Year","Gender","Age group","Geography","GeoCode","Progress","Value"
"2015","","","",,5,7
"2016","","","",,5.1,7.1
"2017","","","",,4.4,6.4
"2018","","","",,3.8,5.8
"2019","","","",,3.7,5.7
"2020","","","",,7.7,9.7
"2021","","","",,5.5,7.5
"2022","","","",,3.3,5.3
"2023","","","",,3.4,5.4
"2024","","","",,4.3,6.3
"2015","Total - Gender","15 to 24 years","Canada",,10.8,12.8
"2015","Total - Gender","25 years and over","Canada",,4,6
"2015","Total - Gender","25 to 44 years","Canada",,4.2,6.2
"2015","Total - Gender","45 to 64 years","Canada",,3.8,5.8
"2015","Total - Gender","45 years and over","Canada",,3.7,5.7
"2015","Total - Gender","25 to 54 years","Canada",,3.9,5.9
"2015","Total - Gender","55 years and over","Canada",,4,6
"2015","Total - Gender","15 to 64 years","Canada",,5.1,7.1
"2015","Total - Gender","15 to 19 years","Canada",,15.5,17.5
"2015","Total - Gender","20 to 24 years","Canada",,8.1,10.1
"2015","Total - Gender","25 to 29 years","Canada",,5.5,7.5
"2015","Total - Gender","30 to 34 years","Canada",,3.8,5.8
"2015","Total - Gender","35 to 39 years","Canada",,3.8,5.8
"2015","Total - Gender","40 to 44 years","Canada",,3.6,5.6
"2015","Total - Gender","45 to 49 years","Canada",,3.2,5.2
"2015","Total - Gender","50 to 54 years","Canada",,3.7,5.7
"2015","Total - Gender","55 to 59 years","Canada",,4.1,6.1
"2015","Total - Gender","60 to 64 years","Canada",,4.7,6.7
"2015","Total - Gender","65 years and over","Canada",,2.6,4.6
"2015","Total - Gender","65 to 69 years","Canada",,3.4,5.4
"2015","Total - Gender","70 years and over","Canada",,1.1,2.9
"2015","Men+","15 years and over","Canada",,5.5,7.5
"2015","Men+","15 to 24 years","Canada",,12.7,14.7
"2015","Men+","25 years and over","Canada",,4.3,6.3
"2015","Men+","25 to 44 years","Canada",,4.5,6.5
"2015","Men+","45 to 64 years","Canada",,4.3,6.3
"2015","Men+","45 years and over","Canada",,4.1,6.1
"2015","Men+","25 to 54 years","Canada",,4.3,6.3
"2015","Men+","55 years and over","Canada",,4.4,6.4
