"Year","Units","Sex","Value"
2015,"Number of fatality claims, by sex","Male",811
2015,"Number of fatality claims, by sex","Female",40
2015,"Number of fatality claims, by sex","Total",851
2016,"Number of fatality claims, by sex","Male",863
2016,"Number of fatality claims, by sex","Female",41
2016,"Number of fatality claims, by sex","Total",904
2017,"Number of fatality claims, by sex","Male",920
2017,"Number of fatality claims, by sex","Female",31
2017,"Number of fatality claims, by sex","Total",951
2018,"Number of fatality claims, by sex","Male",997
2018,"Number of fatality claims, by sex","Female",30
2018,"Number of fatality claims, by sex","Total",1027
2019,"Number of fatality claims, by sex","Male",882
2019,"Number of fatality claims, by sex","Female",43
2019,"Number of fatality claims, by sex","Total",925
2020,"Number of fatality claims, by sex","Male",878
2020,"Number of fatality claims, by sex","Female",46
2020,"Number of fatality claims, by sex","Total",924
2021,"Number of fatality claims, by sex","Male",1009
2021,"Number of fatality claims, by sex","Female",72
2021,"Number of fatality claims, by sex","Total",1081
2022,"Number of fatality claims, by sex","Male",941
2022,"Number of fatality claims, by sex","Female",50
2022,"Number of fatality claims, by sex","Total",993
2015,"Number of lost time claims, by sex","Male",143478
2015,"Number of lost time claims, by sex","Female",89123
2015,"Number of lost time claims, by sex","Unknown",28
2015,"Number of lost time claims, by sex","Total",232629
2016,"Number of lost time claims, by sex","Male",145401
2016,"Number of lost time claims, by sex","Female",95235
2016,"Number of lost time claims, by sex","Unknown",46
2016,"Number of lost time claims, by sex","Total",240682
2017,"Number of lost time claims, by sex","Male",152240
2017,"Number of lost time claims, by sex","Female",99319
2017,"Number of lost time claims, by sex","Unknown",66
2017,"Number of lost time claims, by sex","Total",251625
2018,"Number of lost time claims, by sex","Male",158969
2018,"Number of lost time claims, by sex","Female",105443
2018,"Number of lost time claims, by sex","Unknown",26
2018,"Number of lost time claims, by sex","Total",264438
2019,"Number of lost time claims, by sex","Male",160801
2019,"Number of lost time claims, by sex","Female",110948
2019,"Number of lost time claims, by sex","Unknown",57
2019,"Number of lost time claims, by sex","Total",271806
2020,"Number of lost time claims, by sex","Male",138776
2020,"Number of lost time claims, by sex","Female",114489
2020,"Number of lost time claims, by sex","Unknown",132
2020,"Number of lost time claims, by sex","Total",253397
2021,"Number of lost time claims, by sex","Male",158600
2021,"Number of lost time claims, by sex","Female",118422
2021,"Number of lost time claims, by sex","Unknown",195
2021,"Number of lost time claims, by sex","Total",277217
2022,"Number of lost time claims, by sex","Male",170809
2022,"Number of lost time claims, by sex","Female",177637
2022,"Number of lost time claims, by sex","Unknown",301
2022,"Number of lost time claims, by sex","Total",348747
