"Year","Series","Units","Value"
2015,"Air freight volume","Metric tonnes",1172780.8
2016,"Air freight volume","Metric tonnes",1223213.3
2017,"Air freight volume","Metric tonnes",1316626.7
2018,"Air freight volume","Metric tonnes",1444698.9
2019,"Air freight volume","Metric tonnes",1377025.8
2020,"Air freight volume","Metric tonnes",1186628.5
2021,"Air freight volume","Metric tonnes",1279816.9
2015,"Air passengers","Number of passengers",133426703
2016,"Air passengers","Number of passengers",140892544
2017,"Air passengers","Number of passengers",150808451
2018,"Air passengers","Number of passengers",160641587
2019,"Air passengers","Number of passengers",162864077
2020,"Air passengers","Number of passengers",46349535
2021,"Air passengers","Number of passengers",46163940
2015,"Rail freight volume","Metric tonnes",304908351
2016,"Rail freight volume","Metric tonnes",292888995
2017,"Rail freight volume","Metric tonnes",311701985
2018,"Rail freight volume","Metric tonnes",328539280
2019,"Rail freight volume","Metric tonnes",330244510
2020,"Rail freight volume","Metric tonnes",321764297
2021,"Rail freight volume","Metric tonnes",321060103
2015,"Rail passengers","Number of passengers",3921000
2016,"Rail passengers","Number of passengers",4080000
2017,"Rail passengers","Number of passengers",4496000
2018,"Rail passengers","Number of passengers",4838000
2019,"Rail passengers","Number of passengers",5102000
2020,"Rail passengers","Number of passengers",1125000
2021,"Rail passengers","Number of passengers",1549000
2015,"Road freight volume","Metric tonnes of cargo",729215433.594
2016,"Road freight volume","Metric tonnes of cargo",755515777.679
2017,"Road freight volume","Metric tonnes of cargo",751948221.713
2018,"Road freight volume","Metric tonnes of cargo",753715221.437
