Year,Geography,Type of employee,Industry,GeoCode,Value
2015,,,,NA,9.49
2016,,,,NA,9.28
2017,,,,NA,9.27
2018,,,,NA,9.33
2019,,,,NA,9.31
2020,,,,NA,9.33
2021,,,,NA,9.19
2015,Canada,All employees,Non-durable goods,NA,3.85
2015,Canada,All employees,Food manufacturing,NA,1.42
2015,Canada,All employees,Animal food manufacturing,NA,0.06
2015,Canada,All employees,Grain and oilseed milling,NA,0.05
2015,Canada,All employees,Sugar and confectionery product manufacturing,NA,0.07
2015,Canada,All employees,Fruit and vegetable preserving and specialty food manufacturing,NA,0.11
2015,Canada,All employees,Dairy product manufacturing,NA,0.15
2015,Canada,All employees,Meat product manufacturing,NA,0.36
2015,Canada,All employees,Seafood product preparation and packaging,NA,0.15
2015,Canada,All employees,Bakeries and tortilla manufacturing,NA,0.28
2015,Canada,All employees,Other food manufacturing,NA,0.2
2015,Canada,All employees,Beverage and tobacco product manufacturing,NA,0.22
2015,Canada,All employees,Beverage manufacturing,NA,0.2
2015,Canada,All employees,Tobacco manufacturing,NA,0.02
2015,Canada,All employees,Cannabis product manufacturing,NA,NA
2015,Canada,All employees,Textile mills,NA,0.05
2015,Canada,All employees,"Fibre, yarn and thread mills",NA,0.01
2015,Canada,All employees,Fabric mills,NA,0.03
2015,Canada,All employees,Textile and fabric finishing and fabric coating,NA,0.01
2015,Canada,All employees,Textile product mills,NA,0.06
2015,Canada,All employees,Textile furnishings mills,NA,0.02
2015,Canada,All employees,Other textile product mills,NA,0.04
2015,Canada,All employees,Clothing manufacturing,NA,0.13
2015,Canada,All employees,Clothing knitting mills,NA,0.01
2015,Canada,All employees,Cut and sew clothing manufacturing,NA,0.1
2015,Canada,All employees,Clothing accessories and other clothing manufacturing,NA,0.01
2015,Canada,All employees,Leather and allied product manufacturing,NA,0.02
2015,Canada,All employees,Leather and hide tanning and finishing,NA,0
2015,Canada,All employees,Footwear manufacturing,NA,0.01
2015,Canada,All employees,Other leather and allied product manufacturing,NA,0.01
2015,Canada,All employees,Paper manufacturing,NA,0.35
2015,Canada,All employees,"Pulp, paper and paperboard mills",NA,0.17
2015,Canada,All employees,Converted paper product manufacturing,NA,0.18
2015,Canada,All employees,Printing and related support activities,NA,0.31
2015,Canada,All employees,Petroleum and coal product manufacturing,NA,0.12
2015,Canada,All employees,Chemical manufacturing,NA,0.56
2015,Canada,All employees,Basic chemical manufacturing,NA,0.08
2015,Canada,All employees,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",NA,0.04
2015,Canada,All employees,"Pesticide, fertilizer and other agricultural chemical manufacturing",NA,0.05
2015,Canada,All employees,Pharmaceutical and medicine manufacturing,NA,0.17
2015,Canada,All employees,"Paint, coating and adhesive manufacturing",NA,0.05
2015,Canada,All employees,"Soap, cleaning compound and toilet preparation manufacturing",NA,0.1
2015,Canada,All employees,Other chemical product manufacturing,NA,0.07
2015,Canada,All employees,Plastics and rubber products manufacturing,NA,0.61
2015,Canada,All employees,Plastic product manufacturing,NA,0.51
2015,Canada,All employees,Rubber product manufacturing,NA,0.1
2015,Canada,All employees,Durable goods,NA,5.64
2015,Canada,All employees,Wood product manufacturing,NA,0.58
2015,Canada,All employees,Sawmills and wood preservation,NA,0.23
2015,Canada,All employees,"Veneer, plywood and engineered wood product manufacturing",NA,0.11
2015,Canada,All employees,Other wood product manufacturing,NA,0.24
2015,Canada,All employees,Non-metallic mineral product manufacturing,NA,0.33
2015,Canada,All employees,Clay product and refractory manufacturing,NA,0.01
2015,Canada,All employees,Glass and glass product manufacturing,NA,0.05
2015,Canada,All employees,Cement and concrete product manufacturing,NA,0.2
2015,Canada,All employees,Lime and gypsum product manufacturing,NA,0.01
2015,Canada,All employees,Other non-metallic mineral product manufacturing,NA,0.06
2015,Canada,All employees,Primary metal manufacturing,NA,0.36
2015,Canada,All employees,Iron and steel mills and ferro-alloy manufacturing,NA,0.11
2015,Canada,All employees,Steel product manufacturing from purchased steel,NA,0.05
2015,Canada,All employees,Alumina and aluminum production and processing,NA,0.06
2015,Canada,All employees,Non-ferrous metal (except aluminum) production and processing,NA,0.09
2015,Canada,All employees,Foundries,NA,0.06
2015,Canada,All employees,Fabricated metal product manufacturing,NA,0.98
2015,Canada,All employees,Forging and stamping,NA,0.04
2015,Canada,All employees,Cutlery and hand tool manufacturing,NA,0.02
2015,Canada,All employees,Architectural and structural metals manufacturing,NA,0.38
2015,Canada,All employees,"Boiler, tank and shipping container manufacturing",NA,0.08
2015,Canada,All employees,Hardware manufacturing,NA,0.03
2015,Canada,All employees,Spring and wire product manufacturing,NA,0.03
2015,Canada,All employees,"Machine shops, turned product, and screw, nut and bolt manufacturing",NA,0.21
2015,Canada,All employees,"Coating, engraving, cold and heat treating and allied activities",NA,0.07
2015,Canada,All employees,Other fabricated metal product manufacturing,NA,0.12
2015,Canada,All employees,Machinery manufacturing,NA,0.84
2015,Canada,All employees,"Agricultural, construction and mining machinery manufacturing",NA,0.2
2015,Canada,All employees,Industrial machinery manufacturing,NA,0.09
2015,Canada,All employees,Commercial and service industry machinery manufacturing,NA,0.09
2015,Canada,All employees,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",NA,0.09
2015,Canada,All employees,Metalworking machinery manufacturing,NA,0.13
2015,Canada,All employees,"Engine, turbine and power transmission equipment manufacturing",NA,0.05
2015,Canada,All employees,Other general-purpose machinery manufacturing,NA,0.19
2015,Canada,All employees,Computer and electronic product manufacturing,NA,0.35
2015,Canada,All employees,Computer and peripheral equipment manufacturing,NA,0.03
2015,Canada,All employees,Communications equipment manufacturing,NA,0.09
2015,Canada,All employees,Audio and video equipment manufacturing,NA,0.01
2015,Canada,All employees,Semiconductor and other electronic component manufacturing,NA,0.08
2015,Canada,All employees,"Navigational, measuring, medical and control instruments manufacturing",NA,0.13
2015,Canada,All employees,Manufacturing and reproducing magnetic and optical media,NA,0.01
2015,Canada,All employees,"Electrical equipment, appliance and component manufacturing",NA,0.21
2015,Canada,All employees,Electric lighting equipment manufacturing,NA,0.03
2015,Canada,All employees,Household appliance manufacturing,NA,0.01
2015,Canada,All employees,Electrical equipment manufacturing,NA,0.1
2015,Canada,All employees,Other electrical equipment and component manufacturing,NA,0.07
2015,Canada,All employees,Transportation equipment manufacturing,NA,1.21
2015,Canada,All employees,Motor vehicle manufacturing,NA,0.26
2015,Canada,All employees,Motor vehicle body and trailer manufacturing,NA,0.08
2015,Canada,All employees,Motor vehicle parts manufacturing,NA,0.45
