Disaggregation,Number of indicators,Number of values
Activity group,1,5
Age at time of death,1,7
Age group,3,12
Age Group,1,6
Age,2,46
Antigen,1,11
Cause of death,1,3
Causes of death,1,7
Disease,1,2
Elected officials,1,4
Function of Government,1,4
Gender,1,3
Geography,17,28
Government,1,2
Indigenous identity,1,3
Marital status,1,3
Occupation,1,5
Persons in low income,1,12
Public sector components,2,1
Selected characteristic,1,9
Sex,10,5
Tobacco Product,1,10
Type of intimate partner violence,1,4
Type of provider,1,33
