Year,Series,Units,Value
1990,Forest area as a proportion of total land area,Percentage (%),40.54335524
1991,Forest area as a proportion of total land area,Percentage (%),40.53742018
1992,Forest area as a proportion of total land area,Percentage (%),40.53137522
1993,Forest area as a proportion of total land area,Percentage (%),40.52587979
1994,Forest area as a proportion of total land area,Percentage (%),40.51741684
1995,Forest area as a proportion of total land area,Percentage (%),40.51302051
1996,Forest area as a proportion of total land area,Percentage (%),40.50917371
1997,Forest area as a proportion of total land area,Percentage (%),40.5051071
1998,Forest area as a proportion of total land area,Percentage (%),40.50104049
1999,Forest area as a proportion of total land area,Percentage (%),40.49642433
2000,Forest area as a proportion of total land area,Percentage (%),40.49147845
2001,Forest area as a proportion of total land area,Percentage (%),40.48719202
2002,Forest area as a proportion of total land area,Percentage (%),40.48290559
2003,Forest area as a proportion of total land area,Percentage (%),40.47719036
2004,Forest area as a proportion of total land area,Percentage (%),40.47180484
2005,Forest area as a proportion of total land area,Percentage (%),40.46652924
2006,Forest area as a proportion of total land area,Percentage (%),40.46169327
2007,Forest area as a proportion of total land area,Percentage (%),40.45334022
2008,Forest area as a proportion of total land area,Percentage (%),40.44817453
2009,Forest area as a proportion of total land area,Percentage (%),40.44311874
2010,Forest area as a proportion of total land area,Percentage (%),40.43850258
2011,Forest area as a proportion of total land area,Percentage (%),40.43410625
2012,Forest area as a proportion of total land area,Percentage (%),40.42949009
2013,Forest area as a proportion of total land area,Percentage (%),40.42476403
2014,Forest area as a proportion of total land area,Percentage (%),40.41893888
2015,Forest area as a proportion of total land area,Percentage (%),40.4126741
2016,Forest area as a proportion of total land area,Percentage (%),40.40651923
2017,Forest area as a proportion of total land area,Percentage (%),40.40036436
2018,Forest area as a proportion of total land area,Percentage (%),40.39464912
2019,Forest area as a proportion of total land area,Percentage (%),40.38915369
2020,Forest area as a proportion of total land area,Percentage (%),40.38354836
2021,Forest area as a proportion of total land area,Percentage (%),40.37805294
2022,Forest area as a proportion of total land area,Percentage (%),40.37266743
1990,Forest area,Hectares,368883000.0
1991,Forest area,Hectares,368829000.0
1992,Forest area,Hectares,368774000.0
1993,Forest area,Hectares,368724000.0
1994,Forest area,Hectares,368647000.0
1995,Forest area,Hectares,368607000.0
1996,Forest area,Hectares,368572000.0
1997,Forest area,Hectares,368535000.0
1998,Forest area,Hectares,368498000.0
1999,Forest area,Hectares,368456000.0
2000,Forest area,Hectares,368411000.0
2001,Forest area,Hectares,368372000.0
2002,Forest area,Hectares,368333000.0
2003,Forest area,Hectares,368281000.0
2004,Forest area,Hectares,368232000.0
2005,Forest area,Hectares,368184000.0
2006,Forest area,Hectares,368140000.0
2007,Forest area,Hectares,368064000.0
2008,Forest area,Hectares,368017000.0
2009,Forest area,Hectares,367971000.0
2010,Forest area,Hectares,367929000.0
2011,Forest area,Hectares,367889000.0
2012,Forest area,Hectares,367847000.0
2013,Forest area,Hectares,367804000.0
2014,Forest area,Hectares,367751000.0
2015,Forest area,Hectares,367694000.0
2016,Forest area,Hectares,367638000.0
2017,Forest area,Hectares,367582000.0
2018,Forest area,Hectares,367530000.0
2019,Forest area,Hectares,367480000.0
2020,Forest area,Hectares,367429000.0
2021,Forest area,Hectares,367379000.0
2022,Forest area,Hectares,367330000.0
1990,Land area,Hectares,909848230.0
1991,Land area,Hectares,909848230.0
1992,Land area,Hectares,909848230.0
1993,Land area,Hectares,909848230.0
1994,Land area,Hectares,909848230.0
1995,Land area,Hectares,909848230.0
1996,Land area,Hectares,909848230.0
1997,Land area,Hectares,909848230.0
1998,Land area,Hectares,909848230.0
1999,Land area,Hectares,909848230.0
2000,Land area,Hectares,909848230.0
2001,Land area,Hectares,909848230.0
2002,Land area,Hectares,909848230.0
2003,Land area,Hectares,909848230.0
2004,Land area,Hectares,909848230.0
2005,Land area,Hectares,909848230.0
2006,Land area,Hectares,909848230.0
2007,Land area,Hectares,909848230.0
2008,Land area,Hectares,909848230.0
2009,Land area,Hectares,909848230.0
2010,Land area,Hectares,909848230.0
2011,Land area,Hectares,909848230.0
2012,Land area,Hectares,909848230.0
2013,Land area,Hectares,909848230.0
2014,Land area,Hectares,909848230.0
2015,Land area,Hectares,909848230.0
2016,Land area,Hectares,909848230.0
2017,Land area,Hectares,909848230.0
2018,Land area,Hectares,909848230.0
2019,Land area,Hectares,909848230.0
2020,Land area,Hectares,909848230.0
2021,Land area,Hectares,909848230.0
2022,Land area,Hectares,909848230.0
