Year,Discrimination Indicators,Geography,Gender,GeoCode,Value
2024 Q1,,,,,35.9
2024 Q2,,,,,36.9
2024 Q3,,,,,30.9
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,64.1
2024 Q1,Discrimination at work,Canada,Total,,39.9
2024 Q1,Discrimination at school,Canada,Total,,17.7
2024 Q1,Discrimination on the Internet,Canada,Total,,18.7
2024 Q1,Discrimination when interacting with the healthcare system,Canada,Total,,16.7
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Canada,Total,,48.0
2024 Q1,Discrimination by or among friends or family,Canada,Total,,22.4
2024 Q1,Discrimination while using public transit,Canada,Total,,17.5
2024 Q1,Discrimination in any other situation,Canada,Total,,20.2
2024 Q1,Experienced discrimination or unfair treatment in Canada,Canada,Men,,32.2
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,67.8
2024 Q1,Discrimination at work,Canada,Men,,38.7
2024 Q1,Discrimination at school,Canada,Men,,19.1
2024 Q1,Discrimination on the Internet,Canada,Men,,20.9
2024 Q1,Discrimination when interacting with the healthcare system,Canada,Men,,12.5
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Canada,Men,,47.4
2024 Q1,Discrimination by or among friends or family,Canada,Men,,21.1
2024 Q1,Discrimination while using public transit,Canada,Men,,17.1
2024 Q1,Discrimination in any other situation,Canada,Men,,22.9
2024 Q1,Experienced discrimination or unfair treatment in Canada,Canada,Women,,39.5
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Canada,Women,,60.5
2024 Q1,Discrimination at work,Canada,Women,,40.8
2024 Q1,Discrimination at school,Canada,Women,,16.5
2024 Q1,Discrimination on the Internet,Canada,Women,,17.0
2024 Q1,Discrimination when interacting with the healthcare system,Canada,Women,,20.0
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Canada,Women,,48.5
2024 Q1,Discrimination by or among friends or family,Canada,Women,,23.5
2024 Q1,Discrimination while using public transit,Canada,Women,,17.8
2024 Q1,Discrimination in any other situation,Canada,Women,,18.0
2024 Q1,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,10,25.2
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Total,10,74.8
2024 Q1,Discrimination at work,Newfoundland and Labrador,Total,10,42.8
2024 Q1,Discrimination at school,Newfoundland and Labrador,Total,10,24.0
2024 Q1,Discrimination on the Internet,Newfoundland and Labrador,Total,10,28.7
2024 Q1,Discrimination when interacting with the healthcare system,Newfoundland and Labrador,Total,10,21.1
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Newfoundland and Labrador,Total,10,39.1
2024 Q1,Discrimination by or among friends or family,Newfoundland and Labrador,Total,10,39.3
2024 Q1,Discrimination while using public transit,Newfoundland and Labrador,Total,10,16.1
2024 Q1,Discrimination in any other situation,Newfoundland and Labrador,Total,10,16.1
2024 Q1,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,10,21.5
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Men,10,78.5
2024 Q1,Discrimination at work,Newfoundland and Labrador,Men,10,35.0
2024 Q1,Discrimination at school,Newfoundland and Labrador,Men,10,24.1
2024 Q1,Discrimination on the Internet,Newfoundland and Labrador,Men,10,35.1
2024 Q1,Discrimination when interacting with the healthcare system,Newfoundland and Labrador,Men,10,11.7
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Newfoundland and Labrador,Men,10,25.2
2024 Q1,Discrimination by or among friends or family,Newfoundland and Labrador,Men,10,31.3
2024 Q1,Discrimination while using public transit,Newfoundland and Labrador,Men,10,12.5
2024 Q1,Discrimination in any other situation,Newfoundland and Labrador,Men,10,13.2
2024 Q1,Experienced discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,10,28.9
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Newfoundland and Labrador,Women,10,71.1
2024 Q1,Discrimination at work,Newfoundland and Labrador,Women,10,48.5
2024 Q1,Discrimination at school,Newfoundland and Labrador,Women,10,23.9
2024 Q1,Discrimination on the Internet,Newfoundland and Labrador,Women,10,24.1
2024 Q1,Discrimination when interacting with the healthcare system,Newfoundland and Labrador,Women,10,27.9
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Newfoundland and Labrador,Women,10,49.1
2024 Q1,Discrimination by or among friends or family,Newfoundland and Labrador,Women,10,45.1
2024 Q1,Discrimination while using public transit,Newfoundland and Labrador,Women,10,18.8
2024 Q1,Discrimination in any other situation,Newfoundland and Labrador,Women,10,18.2
2024 Q1,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Total,11,23.7
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Total,11,76.3
2024 Q1,Discrimination at work,Prince Edward Island,Total,11,36.6
2024 Q1,Discrimination at school,Prince Edward Island,Total,11,25.9
2024 Q1,Discrimination on the Internet,Prince Edward Island,Total,11,20.9
2024 Q1,Discrimination when interacting with the healthcare system,Prince Edward Island,Total,11,23.9
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Prince Edward Island,Total,11,48.3
2024 Q1,Discrimination by or among friends or family,Prince Edward Island,Total,11,29.2
2024 Q1,Discrimination while using public transit,Prince Edward Island,Total,11,11.0
2024 Q1,Discrimination in any other situation,Prince Edward Island,Total,11,20.7
2024 Q1,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Men,11,19.8
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Men,11,80.2
2024 Q1,Experienced discrimination or unfair treatment in Canada,Prince Edward Island,Women,11,27.5
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Prince Edward Island,Women,11,72.5
2024 Q1,Discrimination at work,Prince Edward Island,Women,11,37.9
2024 Q1,Discrimination at school,Prince Edward Island,Women,11,18.9
2024 Q1,Discrimination on the Internet,Prince Edward Island,Women,11,20.7
2024 Q1,Discrimination when interacting with the healthcare system,Prince Edward Island,Women,11,28.4
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Prince Edward Island,Women,11,50.8
2024 Q1,Discrimination by or among friends or family,Prince Edward Island,Women,11,30.7
2024 Q1,Discrimination while using public transit,Prince Edward Island,Women,11,15.4
2024 Q1,Discrimination in any other situation,Prince Edward Island,Women,11,18.1
2024 Q1,Experienced discrimination or unfair treatment in Canada,Nova Scotia,Total,12,30.4
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Nova Scotia,Total,12,69.6
2024 Q1,Discrimination at work,Nova Scotia,Total,12,37.5
2024 Q1,Discrimination at school,Nova Scotia,Total,12,28.4
2024 Q1,Discrimination on the Internet,Nova Scotia,Total,12,22.1
2024 Q1,Discrimination when interacting with the healthcare system,Nova Scotia,Total,12,24.5
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Nova Scotia,Total,12,47.1
2024 Q1,Discrimination by or among friends or family,Nova Scotia,Total,12,32.9
2024 Q1,Discrimination while using public transit,Nova Scotia,Total,12,13.3
2024 Q1,Discrimination in any other situation,Nova Scotia,Total,12,18.9
2024 Q1,Experienced discrimination or unfair treatment in Canada,Nova Scotia,Men,12,23.8
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Nova Scotia,Men,12,76.2
2024 Q1,Discrimination at work,Nova Scotia,Men,12,35.7
2024 Q1,Discrimination at school,Nova Scotia,Men,12,24.2
2024 Q1,Discrimination on the Internet,Nova Scotia,Men,12,24.9
2024 Q1,Discrimination when interacting with the healthcare system,Nova Scotia,Men,12,23.4
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Nova Scotia,Men,12,56.7
2024 Q1,Discrimination by or among friends or family,Nova Scotia,Men,12,28.3
2024 Q1,Discrimination while using public transit,Nova Scotia,Men,12,13.8
2024 Q1,Discrimination in any other situation,Nova Scotia,Men,12,21.6
2024 Q1,Experienced discrimination or unfair treatment in Canada,Nova Scotia,Women,12,36.5
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Nova Scotia,Women,12,63.5
2024 Q1,Discrimination at work,Nova Scotia,Women,12,38.6
2024 Q1,Discrimination at school,Nova Scotia,Women,12,31.1
2024 Q1,Discrimination on the Internet,Nova Scotia,Women,12,20.3
2024 Q1,Discrimination when interacting with the healthcare system,Nova Scotia,Women,12,25.3
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Nova Scotia,Women,12,41.0
2024 Q1,Discrimination by or among friends or family,Nova Scotia,Women,12,35.8
2024 Q1,Discrimination while using public transit,Nova Scotia,Women,12,13.0
2024 Q1,Discrimination in any other situation,Nova Scotia,Women,12,17.2
2024 Q1,Experienced discrimination or unfair treatment in Canada,New Brunswick,Total,13,29.4
2024 Q1,Did not experience discrimination or unfair treatment in Canada,New Brunswick,Total,13,70.6
2024 Q1,Discrimination at work,New Brunswick,Total,13,41.5
2024 Q1,Discrimination at school,New Brunswick,Total,13,19.0
2024 Q1,Discrimination on the Internet,New Brunswick,Total,13,20.8
2024 Q1,Discrimination when interacting with the healthcare system,New Brunswick,Total,13,25.2
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",New Brunswick,Total,13,46.4
2024 Q1,Discrimination by or among friends or family,New Brunswick,Total,13,30.7
2024 Q1,Discrimination while using public transit,New Brunswick,Total,13,4.1
2024 Q1,Discrimination in any other situation,New Brunswick,Total,13,12.5
2024 Q1,Experienced discrimination or unfair treatment in Canada,New Brunswick,Men,13,27.4
2024 Q1,Did not experience discrimination or unfair treatment in Canada,New Brunswick,Men,13,72.6
2024 Q1,Discrimination at work,New Brunswick,Men,13,41.6
2024 Q1,Discrimination at school,New Brunswick,Men,13,15.3
2024 Q1,Discrimination on the Internet,New Brunswick,Men,13,23.0
2024 Q1,Discrimination when interacting with the healthcare system,New Brunswick,Men,13,26.1
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",New Brunswick,Men,13,47.4
2024 Q1,Discrimination by or among friends or family,New Brunswick,Men,13,28.0
2024 Q1,Discrimination while using public transit,New Brunswick,Men,13,5.6
2024 Q1,Discrimination in any other situation,New Brunswick,Men,13,12.4
2024 Q1,Experienced discrimination or unfair treatment in Canada,New Brunswick,Women,13,31.3
2024 Q1,Did not experience discrimination or unfair treatment in Canada,New Brunswick,Women,13,68.7
2024 Q1,Discrimination at work,New Brunswick,Women,13,41.4
2024 Q1,Discrimination at school,New Brunswick,Women,13,22.2
2024 Q1,Discrimination on the Internet,New Brunswick,Women,13,18.8
2024 Q1,Discrimination when interacting with the healthcare system,New Brunswick,Women,13,24.3
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",New Brunswick,Women,13,45.5
2024 Q1,Discrimination by or among friends or family,New Brunswick,Women,13,33.0
2024 Q1,Discrimination in any other situation,New Brunswick,Women,13,12.6
2024 Q1,Experienced discrimination or unfair treatment in Canada,Quebec,Total,24,25.6
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Quebec,Total,24,74.4
2024 Q1,Discrimination at work,Quebec,Total,24,38.0
2024 Q1,Discrimination at school,Quebec,Total,24,16.3
2024 Q1,Discrimination on the Internet,Quebec,Total,24,17.5
2024 Q1,Discrimination when interacting with the healthcare system,Quebec,Total,24,14.3
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Quebec,Total,24,45.6
2024 Q1,Discrimination by or among friends or family,Quebec,Total,24,20.4
2024 Q1,Discrimination while using public transit,Quebec,Total,24,17.8
2024 Q1,Discrimination in any other situation,Quebec,Total,24,21.8
2024 Q1,Experienced discrimination or unfair treatment in Canada,Quebec,Men,24,23.4
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Quebec,Men,24,76.6
2024 Q1,Discrimination at work,Quebec,Men,24,37.3
2024 Q1,Discrimination at school,Quebec,Men,24,20.2
2024 Q1,Discrimination on the Internet,Quebec,Men,24,20.8
2024 Q1,Discrimination when interacting with the healthcare system,Quebec,Men,24,11.0
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Quebec,Men,24,47.1
2024 Q1,Discrimination by or among friends or family,Quebec,Men,24,19.8
2024 Q1,Discrimination while using public transit,Quebec,Men,24,15.4
2024 Q1,Discrimination in any other situation,Quebec,Men,24,27.6
2024 Q1,Experienced discrimination or unfair treatment in Canada,Quebec,Women,24,27.7
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Quebec,Women,24,72.3
2024 Q1,Discrimination at work,Quebec,Women,24,38.6
2024 Q1,Discrimination at school,Quebec,Women,24,13.1
2024 Q1,Discrimination on the Internet,Quebec,Women,24,14.7
2024 Q1,Discrimination when interacting with the healthcare system,Quebec,Women,24,17.0
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Quebec,Women,24,44.3
2024 Q1,Discrimination by or among friends or family,Quebec,Women,24,20.9
2024 Q1,Discrimination while using public transit,Quebec,Women,24,19.8
2024 Q1,Discrimination in any other situation,Quebec,Women,24,17.0
2024 Q1,Experienced discrimination or unfair treatment in Canada,Ontario,Total,35,39.2
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Ontario,Total,35,60.8
2024 Q1,Discrimination at work,Ontario,Total,35,41.4
2024 Q1,Discrimination at school,Ontario,Total,35,17.1
2024 Q1,Discrimination on the Internet,Ontario,Total,35,18.9
2024 Q1,Discrimination when interacting with the healthcare system,Ontario,Total,35,16.0
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Ontario,Total,35,49.0
2024 Q1,Discrimination by or among friends or family,Ontario,Total,35,19.8
2024 Q1,Discrimination while using public transit,Ontario,Total,35,20.6
2024 Q1,Discrimination in any other situation,Ontario,Total,35,20.2
2024 Q1,Experienced discrimination or unfair treatment in Canada,Ontario,Men,35,35.5
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Ontario,Men,35,64.5
2024 Q1,Discrimination at work,Ontario,Men,35,39.6
2024 Q1,Discrimination at school,Ontario,Men,35,18.6
2024 Q1,Discrimination on the Internet,Ontario,Men,35,21.1
2024 Q1,Discrimination when interacting with the healthcare system,Ontario,Men,35,10.7
2024 Q1,"Discrimination in public areas, a store, bank or restaurant",Ontario,Men,35,45.9
2024 Q1,Discrimination by or among friends or family,Ontario,Men,35,18.9
2024 Q1,Discrimination while using public transit,Ontario,Men,35,19.8
2024 Q1,Discrimination in any other situation,Ontario,Men,35,21.0
2024 Q1,Experienced discrimination or unfair treatment in Canada,Ontario,Women,35,42.7
2024 Q1,Did not experience discrimination or unfair treatment in Canada,Ontario,Women,35,57.3
