Year,Size,Characteristics,Value
2001,Small-scale food producers,Total,-4061
2006,Small-scale food producers,Total,-4102
2011,Small-scale food producers,Total,-3879
2016,Small-scale food producers,Total,-2312
2021,Small-scale food producers,Total,-4413
2001,Small-scale food producers,Male,-4121
2006,Small-scale food producers,Male,-4205
2011,Small-scale food producers,Male,-3985
2016,Small-scale food producers,Male,-2201
2021,Small-scale food producers,Male,-4632
2001,Small-scale food producers,Female,-3915
2006,Small-scale food producers,Female,-3869
2011,Small-scale food producers,Female,-3644
2016,Small-scale food producers,Female,-2534
2021,Small-scale food producers,Female,-4004
2001,Small-scale food producers,Under 35 years,-4628
2006,Small-scale food producers,Under 35 years,-4417
2011,Small-scale food producers,Under 35 years,-4093
2016,Small-scale food producers,Under 35 years,-2413
2021,Small-scale food producers,Under 35 years,-4728
2001,Small-scale food producers,35 to 54 years,-4599
2006,Small-scale food producers,35 to 54 years,-4601
2011,Small-scale food producers,35 to 54 years,-4631
2016,Small-scale food producers,35 to 54 years,-2564
2021,Small-scale food producers,35 to 54 years,-5405
2001,Small-scale food producers,55 years and over,-3280
2006,Small-scale food producers,55 years and over,-3568
2011,Small-scale food producers,55 years and over,-3337
2016,Small-scale food producers,55 years and over,-2161
2021,Small-scale food producers,55 years and over,-3972
2001,Medium-Large scale food producers,Total,28388
2006,Medium-Large scale food producers,Total,32863
2011,Medium-Large scale food producers,Total,54147
2016,Medium-Large scale food producers,Total,73305
2021,Medium-Large scale food producers,Total,93175
2001,Medium-Large scale food producers,Male,31346
2006,Medium-Large scale food producers,Male,36072
2011,Medium-Large scale food producers,Male,60539
2016,Medium-Large scale food producers,Male,82047
2021,Medium-Large scale food producers,Male,105401
2001,Medium-Large scale food producers,Female,19168
2006,Medium-Large scale food producers,Female,23567
2011,Medium-Large scale food producers,Female,34925
2016,Medium-Large scale food producers,Female,48390
2021,Medium-Large scale food producers,Female,61546
2001,Medium-Large scale food producers,Under 35 years,23688
2006,Medium-Large scale food producers,Under 35 years,30117
2011,Medium-Large scale food producers,Under 35 years,51790
2016,Medium-Large scale food producers,Under 35 years,65524
2021,Medium-Large scale food producers,Under 35 years,75666
2001,Medium-Large scale food producers,35 to 54 years,31855
2006,Medium-Large scale food producers,35 to 54 years,37185
2011,Medium-Large scale food producers,35 to 54 years,60905
2016,Medium-Large scale food producers,35 to 54 years,81289
2021,Medium-Large scale food producers,35 to 54 years,110210
2001,Medium-Large scale food producers,55 years and over,23827
2006,Medium-Large scale food producers,55 years and over,27215
2011,Medium-Large scale food producers,55 years and over,47298
2016,Medium-Large scale food producers,55 years and over,68818
2021,Medium-Large scale food producers,55 years and over,86102
2001,,,14701
2006,,,17400
2011,,,30296
2016,,,45467
2021,,,57919
2001,Total,Male,16956
2006,Total,Male,19909
2011,Total,Male,35320
2016,Total,Male,53046
2021,Total,Male,68205
2001,Total,Female,8393
2006,Total,Female,10877
2011,Total,Female,17012
2016,Total,Female,26615
2021,Total,Female,34372
2001,Total,Under 35 years,13205
2006,Total,Under 35 years,17851
2011,Total,Under 35 years,34081
2016,Total,Under 35 years,44103
2021,Total,Under 35 years,52791
2001,Total,35 to 54 years,17825
2006,Total,35 to 54 years,21404
2011,Total,35 to 54 years,37230
2016,Total,35 to 54 years,53693
2021,Total,35 to 54 years,74781
2001,Total,55 years and over,10392
2006,Total,55 years and over,12356
2011,Total,55 years and over,23404
2016,Total,55 years and over,40212
2021,Total,55 years and over,50044
