Year,Units,Sector,Value
2015,"US dollar, Millions, 2024 constant prices",,0.586365
2016,"US dollar, Millions, 2024 constant prices",,2.271176
2017,"US dollar, Millions, 2024 constant prices",,141.716557
2018,"US dollar, Millions, 2024 constant prices",,183.474525
2019,"US dollar, Millions, 2024 constant prices",,89.791898
2020,"US dollar, Millions, 2024 constant prices",,219.012828
2021,"US dollar, Millions, 2024 constant prices",,291.54617
2022,"US dollar, Millions, 2024 constant prices",,290.792843
2023,"US dollar, Millions, 2024 constant prices",,290.043991
2024,"US dollar, Millions, 2024 constant prices",,139.598416
2015,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",0.48135
2015,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,0.105015
2016,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",0.676362
2016,"US dollar, Millions, 2024 constant prices",Energy research,0.092417
2016,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,0.079038
2016,"US dollar, Millions, 2024 constant prices",Solar energy for centralised grids,1.423359
2017,"US dollar, Millions, 2024 constant prices",Biofuel-fired power plants,27.493914
2017,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",28.537299
2017,"US dollar, Millions, 2024 constant prices",Energy research,0.025033
2017,"US dollar, Millions, 2024 constant prices",Geothermal energy,27.493914
2017,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,0.000822
2017,"US dollar, Millions, 2024 constant prices",Solar energy for centralised grids,30.671661
2017,"US dollar, Millions, 2024 constant prices",Wind energy,27.493914
2018,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",136.629304
2018,"US dollar, Millions, 2024 constant prices",Energy research,0.045534
2018,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,44.056836
2018,"US dollar, Millions, 2024 constant prices",Solar energy for centralised grids,2.742851
2019,"US dollar, Millions, 2024 constant prices",Biofuel-fired power plants,5.411868
2019,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",12.490461
2019,"US dollar, Millions, 2024 constant prices",Geothermal energy,3.698944
2019,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,4.282311
2019,"US dollar, Millions, 2024 constant prices",Solar energy for centralised grids,47.362437
2019,"US dollar, Millions, 2024 constant prices",Wind energy,16.545877
2020,"US dollar, Millions, 2024 constant prices",Biofuel-fired power plants,7.055763
2020,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",153.281328
2020,"US dollar, Millions, 2024 constant prices",Geothermal energy,5.508494
2020,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,2.945335
2020,"US dollar, Millions, 2024 constant prices",Solar energy - thermal applications,0.00275
2020,"US dollar, Millions, 2024 constant prices",Solar energy for centralised grids,35.955105
2020,"US dollar, Millions, 2024 constant prices",Wind energy,14.264053
2021,"US dollar, Millions, 2024 constant prices",Biofuel-fired power plants,21.397463
2021,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",145.072183
2021,"US dollar, Millions, 2024 constant prices",Geothermal energy,20.234938
2021,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,2.55478
2021,"US dollar, Millions, 2024 constant prices",Solar energy for centralised grids,66.184153
2021,"US dollar, Millions, 2024 constant prices",Solar energy for isolated grids and standalone systems,7.800083
2021,"US dollar, Millions, 2024 constant prices",Wind energy,28.30257
2022,"US dollar, Millions, 2024 constant prices",Biofuel-fired power plants,0.109753
2022,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",287.357713
2022,"US dollar, Millions, 2024 constant prices",Energy research,0.192227
2022,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,0.006412
2022,"US dollar, Millions, 2024 constant prices",Solar energy for centralised grids,3.126738
2023,"US dollar, Millions, 2024 constant prices",Biofuel-fired power plants,0.186536
2023,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",287.161337
2023,"US dollar, Millions, 2024 constant prices",Energy research,0.126841
2023,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,0.009867
2023,"US dollar, Millions, 2024 constant prices",Solar energy for centralised grids,1.669981
2023,"US dollar, Millions, 2024 constant prices",Solar energy for isolated grids and standalone systems,0.889429
2024,"US dollar, Millions, 2024 constant prices","Energy generation, renewable sources - multiple technologies",136.361294
2024,"US dollar, Millions, 2024 constant prices",Energy research,0.021897
2024,"US dollar, Millions, 2024 constant prices",Hydro-electric power plants,0.003458
2024,"US dollar, Millions, 2024 constant prices",Solar energy for centralised grids,2.643607
2024,"US dollar, Millions, 2024 constant prices",Solar energy for isolated grids and standalone systems,0.56816
