Year,Units,Value
2015,"US dollar, Millions, 2024 constant prices",7.611514
2016,"US dollar, Millions, 2024 constant prices",4.983644
2017,"US dollar, Millions, 2024 constant prices",6.897621
2018,"US dollar, Millions, 2024 constant prices",9.38466
2019,"US dollar, Millions, 2024 constant prices",6.564332
2020,"US dollar, Millions, 2024 constant prices",3.075683
2021,"US dollar, Millions, 2024 constant prices",5.475397
2022,"US dollar, Millions, 2024 constant prices",2.875986
2023,"US dollar, Millions, 2024 constant prices",3.225222
2024,"US dollar, Millions, 2024 constant prices",4.724331
