Year,Series,Units,Value
2015,Agriculture orientation index for government expenditures [2.a.1],Index,0.5
2016,Agriculture orientation index for government expenditures [2.a.1],Index,0.58
2017,Agriculture orientation index for government expenditures [2.a.1],Index,0.52
2018,Agriculture orientation index for government expenditures [2.a.1],Index,0.63
2019,Agriculture orientation index for government expenditures [2.a.1],Index,0.65
2020,Agriculture orientation index for government expenditures [2.a.1],Index,0.47
2021,Agriculture orientation index for government expenditures [2.a.1],Index,0.85
2022,Agriculture orientation index for government expenditures [2.a.1],Index,0.69
2015,Agriculture value added share of GDP,Percentage (%),1.87
2016,Agriculture value added share of GDP,Percentage (%),1.86
2017,Agriculture value added share of GDP,Percentage (%),1.89
2018,Agriculture value added share of GDP,Percentage (%),1.7
2019,Agriculture value added share of GDP,Percentage (%),1.82
2020,Agriculture value added share of GDP,Percentage (%),1.8
2021,Agriculture value added share of GDP,Percentage (%),1.78
2022,Agriculture value added share of GDP,Percentage (%),1.67
2015,Agriculture share of Government Expenditure,Percentage (%),0.93
2016,Agriculture share of Government Expenditure,Percentage (%),1.08
2017,Agriculture share of Government Expenditure,Percentage (%),0.99
2018,Agriculture share of Government Expenditure,Percentage (%),1.08
2019,Agriculture share of Government Expenditure,Percentage (%),1.17
2020,Agriculture share of Government Expenditure,Percentage (%),0.86
2021,Agriculture share of Government Expenditure,Percentage (%),1.52
2022,Agriculture share of Government Expenditure,Percentage (%),1.16
