Year,Geography,Cause of death,Value
2015,,,264333
2016,,,267213
2017,,,276689
2018,,,283706
2019,,,284082
2015,Canada,"Total, all causes of death",264333
2016,Canada,"Total, all causes of death",267213
2017,Canada,"Total, all causes of death",276689
2018,Canada,"Total, all causes of death",283706
2019,Canada,"Total, all causes of death",284082
2015,Canada,"Chapter XV: Pregnancy, childbirth and the puerperium [O00-O99]",27
2016,Canada,"Chapter XV: Pregnancy, childbirth and the puerperium [O00-O99]",24
2017,Canada,"Chapter XV: Pregnancy, childbirth and the puerperium [O00-O99]",25
2018,Canada,"Chapter XV: Pregnancy, childbirth and the puerperium [O00-O99]",32
2019,Canada,"Chapter XV: Pregnancy, childbirth and the puerperium [O00-O99]",28
2015,Canada,Pregnancy with abortive outcome [O00-O08],1
2016,Canada,Pregnancy with abortive outcome [O00-O08],3
2017,Canada,Pregnancy with abortive outcome [O00-O08],1
2018,Canada,Pregnancy with abortive outcome [O00-O08],3
2019,Canada,Pregnancy with abortive outcome [O00-O08],2
2015,Canada,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium [O10-O16]",3
2016,Canada,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium [O10-O16]",1
2017,Canada,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium [O10-O16]",3
2018,Canada,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium [O10-O16]",1
2019,Canada,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium [O10-O16]",4
2015,Canada,Other maternal disorders predominantly related to pregnancy [O20-O29],2
2016,Canada,Other maternal disorders predominantly related to pregnancy [O20-O29],1
2017,Canada,Other maternal disorders predominantly related to pregnancy [O20-O29],0
2018,Canada,Other maternal disorders predominantly related to pregnancy [O20-O29],1
2019,Canada,Other maternal disorders predominantly related to pregnancy [O20-O29],1
2015,Canada,Maternal care related to fetus and amniotic cavity and possible delivery problems [O30-O48],0
2016,Canada,Maternal care related to fetus and amniotic cavity and possible delivery problems [O30-O48],2
2017,Canada,Maternal care related to fetus and amniotic cavity and possible delivery problems [O30-O48],0
2018,Canada,Maternal care related to fetus and amniotic cavity and possible delivery problems [O30-O48],2
2019,Canada,Maternal care related to fetus and amniotic cavity and possible delivery problems [O30-O48],2
2015,Canada,Complications of labour and delivery [O60-O75],4
2016,Canada,Complications of labour and delivery [O60-O75],1
2017,Canada,Complications of labour and delivery [O60-O75],3
2018,Canada,Complications of labour and delivery [O60-O75],8
2019,Canada,Complications of labour and delivery [O60-O75],5
2015,Canada,Complications predominantly related to the puerperium [O85-O92],6
2016,Canada,Complications predominantly related to the puerperium [O85-O92],9
2017,Canada,Complications predominantly related to the puerperium [O85-O92],10
2018,Canada,Complications predominantly related to the puerperium [O85-O92],10
2019,Canada,Complications predominantly related to the puerperium [O85-O92],7
2015,Canada,"Other obstetric conditions, not elsewhere classified [O95-O99]",11
2016,Canada,"Other obstetric conditions, not elsewhere classified [O95-O99]",7
2017,Canada,"Other obstetric conditions, not elsewhere classified [O95-O99]",8
2018,Canada,"Other obstetric conditions, not elsewhere classified [O95-O99]",7
2019,Canada,"Other obstetric conditions, not elsewhere classified [O95-O99]",7
