Year,Sex,Units,Value
2015,,"Mortality rate per 1,000 live births",3.5
2016,,"Mortality rate per 1,000 live births",3.4
2017,,"Mortality rate per 1,000 live births",3.5
2018,,"Mortality rate per 1,000 live births",3.6
2019,,"Mortality rate per 1,000 live births",3.4
2020,,"Mortality rate per 1,000 live births",3.5
2021,,"Mortality rate per 1,000 live births",3.3
2022,,"Mortality rate per 1,000 live births",3.5
2015,,Number of deaths,1353.0
2016,,Number of deaths,1291.0
2017,,Number of deaths,1323.0
2018,,Number of deaths,1333.0
2019,,Number of deaths,1257.0
2020,,Number of deaths,1241.0
2021,,Number of deaths,1230.0
2022,,Number of deaths,1237.0
2015,Males,"Mortality rate per 1,000 live births",3.7
2015,Females,"Mortality rate per 1,000 live births",3.4
2016,Males,"Mortality rate per 1,000 live births",3.4
2016,Females,"Mortality rate per 1,000 live births",3.3
2017,Males,"Mortality rate per 1,000 live births",3.7
2017,Females,"Mortality rate per 1,000 live births",3.3
2018,Males,"Mortality rate per 1,000 live births",3.8
2018,Females,"Mortality rate per 1,000 live births",3.3
2019,Males,"Mortality rate per 1,000 live births",3.8
2019,Females,"Mortality rate per 1,000 live births",2.9
2020,Males,"Mortality rate per 1,000 live births",3.8
2020,Females,"Mortality rate per 1,000 live births",3.1
2021,Males,"Mortality rate per 1,000 live births",3.7
2021,Females,"Mortality rate per 1,000 live births",3.0
2022,Males,"Mortality rate per 1,000 live births",3.7
2022,Females,"Mortality rate per 1,000 live births",3.3
2015,Males,Number of deaths,721.0
2015,Females,Number of deaths,632.0
2016,Males,Number of deaths,670.0
2016,Females,Number of deaths,621.0
2017,Males,Number of deaths,722.0
2017,Females,Number of deaths,601.0
2018,Males,Number of deaths,730.0
2018,Females,Number of deaths,603.0
2019,Males,Number of deaths,725.0
2019,Females,Number of deaths,532.0
2020,Males,Number of deaths,694.0
2020,Females,Number of deaths,547.0
2021,Males,Number of deaths,689.0
2021,Females,Number of deaths,541.0
2022,Males,Number of deaths,673.0
2022,Females,Number of deaths,564.0
