Year,Geography,GeoCode,Sex,Value
2015,Alberta,48,Both sexes,15.8
2015,Alberta,48,Males,22.9
2015,Alberta,48,Females,8.4
2016,Alberta,48,Both sexes,13.9
2016,Alberta,48,Males,20.3
2016,Alberta,48,Females,7.4
2017,Alberta,48,Both sexes,15.2
2017,Alberta,48,Males,23.6
2017,Alberta,48,Females,6.6
2018,Alberta,48,Both sexes,14.4
2018,Alberta,48,Males,21.3
2018,Alberta,48,Females,7.5
2019,Alberta,48,Both sexes,13.7
2019,Alberta,48,Males,20.7
2019,Alberta,48,Females,6.6
2020,Alberta,48,Both sexes,13.3
2020,Alberta,48,Males,20.2
2020,Alberta,48,Females,6.4
2015,British Columbia,59,Both sexes,11.6
2015,British Columbia,59,Males,18.1
2015,British Columbia,59,Females,5.2
2016,British Columbia,59,Both sexes,10.1
2016,British Columbia,59,Males,15.2
2016,British Columbia,59,Females,5.1
2017,British Columbia,59,Both sexes,10.4
2017,British Columbia,59,Males,15.9
2017,British Columbia,59,Females,5.0
2018,British Columbia,59,Both sexes,10.4
2018,British Columbia,59,Males,15.5
2018,British Columbia,59,Females,5.5
2019,British Columbia,59,Both sexes,10.8
2019,British Columbia,59,Males,16.4
2019,British Columbia,59,Females,5.2
2020,British Columbia,59,Both sexes,7.0
2020,British Columbia,59,Males,10.3
2020,British Columbia,59,Females,3.8
2015,Canada,,Males,18.4
2015,Canada,,Females,6.3
2016,Canada,,Males,16.3
2016,Canada,,Females,5.7
2017,Canada,,Males,18.4
2017,Canada,,Females,6.2
2018,Canada,,Males,18.7
2018,Canada,,Females,6.0
2019,Canada,,Males,18.4
2019,Canada,,Females,5.8
2020,Canada,,Males,15.2
2020,Canada,,Females,5.0
2015,Manitoba,46,Both sexes,13.8
2015,Manitoba,46,Males,18.5
2015,Manitoba,46,Females,9.2
2016,Manitoba,46,Both sexes,15.2
2016,Manitoba,46,Males,21.5
2016,Manitoba,46,Females,8.9
2017,Manitoba,46,Both sexes,15.5
2017,Manitoba,46,Males,20.6
2017,Manitoba,46,Females,10.5
2018,Manitoba,46,Both sexes,14.2
2018,Manitoba,46,Males,20.7
2018,Manitoba,46,Females,7.7
2019,Manitoba,46,Both sexes,15.7
2019,Manitoba,46,Males,23.1
2019,Manitoba,46,Females,8.3
2020,Manitoba,46,Both sexes,12.9
2020,Manitoba,46,Males,18.7
2020,Manitoba,46,Females,7.1
2015,New Brunswick,13,Both sexes,16.7
2015,New Brunswick,13,Males,26.6
2015,New Brunswick,13,Females,7.1
2016,New Brunswick,13,Both sexes,15.8
2016,New Brunswick,13,Males,25.4
