Year,Series,Educational indicator,Level of education,Age group,Sex,Area,Value
2015,Gender Parity Index,Completion rate,Primary education,,,,1.0
2016,Gender Parity Index,Completion rate,Primary education,,,,1.0
2015,Gender Parity Index,Completion rate,Lower secondary education,,,,1.01
2016,Gender Parity Index,Completion rate,Lower secondary education,,,,1.01
2015,Gender Parity Index,Completion rate,Upper secondary education,,,,1.01
2016,Gender Parity Index,Completion rate,Upper secondary education,,,,1.05
2017,Gender Parity Index,Completion rate,Upper secondary education,,,,1.01
2015,Gender Parity Index,Educational attainment rate,Completed primary education or higher,25 years and over,,,0.99
2016,Gender Parity Index,Educational attainment rate,Completed primary education or higher,25 years and over,,,1.0
2017,Gender Parity Index,Educational attainment rate,Completed primary education or higher,25 years and over,,,1.0
2018,Gender Parity Index,Educational attainment rate,Completed primary education or higher,25 years and over,,,0.99
2019,Gender Parity Index,Educational attainment rate,Completed primary education or higher,25 years and over,,,0.99
2020,Gender Parity Index,Educational attainment rate,Completed primary education or higher,25 years and over,,,0.99
2021,Gender Parity Index,Educational attainment rate,Completed primary education or higher,25 years and over,,,0.99
2022,Gender Parity Index,Educational attainment rate,Completed primary education or higher,25 years and over,,,1.0
2023,Gender Parity Index,Educational attainment rate,Completed primary education or higher,25 years and over,,,1.0
2015,Gender Parity Index,Educational attainment rate,Completed lower secondary education or higher,25 years and over,,,0.99
2016,Gender Parity Index,Educational attainment rate,Completed lower secondary education or higher,25 years and over,,,1.0
2017,Gender Parity Index,Educational attainment rate,Completed lower secondary education or higher,25 years and over,,,1.0
2018,Gender Parity Index,Educational attainment rate,Completed lower secondary education or higher,25 years and over,,,0.99
2019,Gender Parity Index,Educational attainment rate,Completed lower secondary education or higher,25 years and over,,,0.99
2020,Gender Parity Index,Educational attainment rate,Completed lower secondary education or higher,25 years and over,,,0.99
2021,Gender Parity Index,Educational attainment rate,Completed lower secondary education or higher,25 years and over,,,0.99
2022,Gender Parity Index,Educational attainment rate,Completed lower secondary education or higher,25 years and over,,,1.0
2023,Gender Parity Index,Educational attainment rate,Completed lower secondary education or higher,25 years and over,,,1.0
2015,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,,1.0
2016,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,,1.01
2017,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,,1.01
2018,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,,1.01
2019,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,,1.01
2020,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,,1.01
2021,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,,1.01
2022,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,,1.01
2023,Gender Parity Index,Educational attainment rate,Completed upper secondary education or higher,25 years and over,,,1.01
2015,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,,1.0
2016,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,,1.0
2017,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,,1.02
2018,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,,1.02
2019,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,,1.02
2020,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,,1.03
2021,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,,1.02
2022,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,,1.04
2023,Gender Parity Index,Educational attainment rate,Completed post-secondary non-tertiary education or higher,25 years and over,,,1.03
2015,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,,1.0
2016,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,,1.16
2017,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,,1.02
2018,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,,1.02
2019,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,,1.02
2020,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,,1.03
2021,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,,1.14
2022,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,,1.04
2023,Gender Parity Index,Educational attainment rate,Completed short-cycle tertiary education or higher,25 years and over,,,1.03
2015,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,,1.05
2016,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,,1.07
2017,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,,1.07
2018,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,,1.07
2019,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,,1.07
2020,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,,1.08
2021,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,,1.1
2022,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,,1.09
2023,Gender Parity Index,Educational attainment rate,Completed Bachelor's or equivalent education or higher,25 years and over,,,1.09
2015,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,,0.92
2016,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,,0.89
2017,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,,0.92
2018,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,,0.95
2019,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,,0.96
2020,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,,0.95
2021,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,,0.97
2022,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,,0.99
2023,Gender Parity Index,Educational attainment rate,Completed Master's or equivalent education or higher,25 years and over,,,1.04
2015,Gender Parity Index,Educational attainment rate,At least some primary (ISCED 1),25 years and over,,,1.0
2016,Gender Parity Index,Educational attainment rate,At least some primary (ISCED 1),25 years and over,,,1.0
2017,Gender Parity Index,Educational attainment rate,At least some primary (ISCED 1),25 years and over,,,1.0
2018,Gender Parity Index,Educational attainment rate,At least some primary (ISCED 1),25 years and over,,,1.0
2019,Gender Parity Index,Educational attainment rate,At least some primary (ISCED 1),25 years and over,,,1.0
2020,Gender Parity Index,Educational attainment rate,At least some primary (ISCED 1),25 years and over,,,1.0
2021,Gender Parity Index,Educational attainment rate,At least some primary (ISCED 1),25 years and over,,,1.0
2022,Gender Parity Index,Educational attainment rate,At least some primary (ISCED 1),25 years and over,,,1.0
2023,Gender Parity Index,Educational attainment rate,At least some primary (ISCED 1),25 years and over,,,1.0
2015,Gender Parity Index,Proficiency in knowledge of environmental science and geoscience - Cognitive dimension,Lower secondary education,,,,0.9
2015,Gender Parity Index,Proficiency in knowledge of environmental science and geoscience,Lower secondary education,,,,0.78
2019,Gender Parity Index,Proficiency in knowledge of environmental science and geoscience,Lower secondary education,,,,0.87
2015,Gender Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Confidence,Lower secondary education,,,,0.81
2019,Gender Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Confidence,Lower secondary education,,,,0.88
2015,Gender Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Enjoyment,Lower secondary education,,,,0.78
2019,Gender Parity Index,Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Confidence,Lower secondary education,,,,0.92
2015,Gender Parity Index,Percentage of students in early grades who have their first or home language as language of instruction,,,,,0.96
2016,Gender Parity Index,Percentage of students in early grades who have their first or home language as language of instruction,,,,,0.97
2019,Gender Parity Index,Percentage of students in early grades who have their first or home language as language of instruction,,,,,0.99
2015,Gender Parity Index,Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,,,,,1.0
2018,Gender Parity Index,Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,,,,,1.0
2022,Gender Parity Index,Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,,,,,0.98
2015,Gender Parity Index,Gross enrolment ratio for tertiary education,,,,,1.28
2016,Gender Parity Index,Gross enrolment ratio for tertiary education,,,,,1.27
2017,Gender Parity Index,Gross enrolment ratio for tertiary education,,,,,1.27
2018,Gender Parity Index,Gross enrolment ratio for tertiary education,,,,,1.27
2019,Gender Parity Index,Gross enrolment ratio for tertiary education,,,,,1.27
2020,Gender Parity Index,Gross enrolment ratio for tertiary education,,,,,1.27
2021,Gender Parity Index,Gross enrolment ratio for tertiary education,,,,,1.28
2022,Gender Parity Index,Gross enrolment ratio for tertiary education,,,,,1.28
2015,Gender Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics,,,,,0.99
2018,Gender Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics,,,,,1.0
2022,Gender Parity Index,Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics,,,,,0.99
2015,Gender Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics,,,,,0.95
2019,Gender Parity Index,Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics,,,,,1.11
2015,Gender Parity Index,Proportion of children/young people at the age of primary education prepared for the future in mathematics,,,,,0.96
2015,Gender Parity Index,Proportion of children/young people at the age of lower secondary education prepared for the future in mathematics,,,,,1.0
2015,Gender Parity Index,Proportion of children/young people at the age of lower secondary education prepared for the future in reading,,,,,1.08
2015,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-24 years old,,,1.1
2016,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-24 years old,,,1.1
2017,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-24 years old,,,1.1
2018,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-24 years old,,,1.1
2019,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-24 years old,,,1.11
2020,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-24 years old,,,1.14
2021,Gender Parity Index,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,,15-24 years old,,,1.14
