Year,Value,Units
2015,0.571817,"US dollar, Millions, 2024 constant prices"
2016,1.839163,"US dollar, Millions, 2024 constant prices"
2017,0.03152,"US dollar, Millions, 2024 constant prices"
2018,0.652937,"US dollar, Millions, 2024 constant prices"
2019,1.97085,"US dollar, Millions, 2024 constant prices"
2020,4.033104,"US dollar, Millions, 2024 constant prices"
2021,5.912476,"US dollar, Millions, 2024 constant prices"
2022,6.069935,"US dollar, Millions, 2024 constant prices"
2023,35.392284,"US dollar, Millions, 2024 constant prices"
2024,42.116327,"US dollar, Millions, 2024 constant prices"
