Year,Value,Units,Series
2015,0.5,Index,Agriculture orientation index for government expenditures
2016,0.58,Index,Agriculture orientation index for government expenditures
2017,0.52,Index,Agriculture orientation index for government expenditures
2018,0.63,Index,Agriculture orientation index for government expenditures
2019,0.65,Index,Agriculture orientation index for government expenditures
2020,0.47,Index,Agriculture orientation index for government expenditures
2021,0.85,Index,Agriculture orientation index for government expenditures
2022,0.69,Index,Agriculture orientation index for government expenditures
2015,1.87,Percentage (%),Agriculture value added share of GDP
2016,1.86,Percentage (%),Agriculture value added share of GDP
2017,1.89,Percentage (%),Agriculture value added share of GDP
2018,1.7,Percentage (%),Agriculture value added share of GDP
2019,1.82,Percentage (%),Agriculture value added share of GDP
2020,1.8,Percentage (%),Agriculture value added share of GDP
2021,1.78,Percentage (%),Agriculture value added share of GDP
2022,1.67,Percentage (%),Agriculture value added share of GDP
2015,0.93,Percentage (%),Agriculture share of Government Expenditure
2016,1.08,Percentage (%),Agriculture share of Government Expenditure
2017,0.99,Percentage (%),Agriculture share of Government Expenditure
2018,1.08,Percentage (%),Agriculture share of Government Expenditure
2019,1.17,Percentage (%),Agriculture share of Government Expenditure
2020,0.86,Percentage (%),Agriculture share of Government Expenditure
2021,1.52,Percentage (%),Agriculture share of Government Expenditure
2022,1.16,Percentage (%),Agriculture share of Government Expenditure
