Year,Value,Series
2001,41.2,(a) The proportion (%) of farm operators among the total farm population by sex
2006,42.9,(a) The proportion (%) of farm operators among the total farm population by sex
2011,45.2,(a) The proportion (%) of farm operators among the total farm population by sex
2016,45.9,(a) The proportion (%) of farm operators among the total farm population by sex
2021,44.4,(a) The proportion (%) of farm operators among the total farm population by sex
2001,26.3,(b) The proportion (%) of female farm operators among the total farm operators by land tenure
2006,27.8,(b) The proportion (%) of female farm operators among the total farm operators by land tenure
2011,27.4,(b) The proportion (%) of female farm operators among the total farm operators by land tenure
2016,28.7,(b) The proportion (%) of female farm operators among the total farm operators by land tenure
2021,30.4,(b) The proportion (%) of female farm operators among the total farm operators by land tenure
