Year,Value,Units,Series
2020,4.0,Percentage,Number of (shared) basins showing high surface-water extent changes
2015,1.0,Percentage,Number of (shared) basins showing high surface-water extent changes
2020,57.0,Number,Number of (shared) basins showing high surface-water extent changes
2015,18.0,Number,Number of (shared) basins showing high surface-water extent changes
2015,916917.6,Square kilometers,Permanent water
2016,914878.3,Square kilometers,Permanent water
2017,916342.4,Square kilometers,Permanent water
2018,914773.6,Square kilometers,Permanent water
2019,914479.7,Square kilometers,Permanent water
2020,919584.5,Square kilometers,Permanent water
2015,81623.6,Square kilometers,Seasonal water
2016,95379.5,Square kilometers,Seasonal water
2017,98646.4,Square kilometers,Seasonal water
2018,92557.1,Square kilometers,Seasonal water
2019,94042.2,Square kilometers,Seasonal water
2020,103943.7,Square kilometers,Seasonal water
2015,91380.6,Square kilometers,"Reservoirs, maximum water extent"
2016,91729.2,Square kilometers,"Reservoirs, maximum water extent"
2017,91837.1,Square kilometers,"Reservoirs, maximum water extent"
2018,91694.7,Square kilometers,"Reservoirs, maximum water extent"
2019,91754.4,Square kilometers,"Reservoirs, maximum water extent"
2020,91730.5,Square kilometers,"Reservoirs, maximum water extent"
2021,91630.4,Square kilometers,"Reservoirs, maximum water extent"
2015,89658.9,Square kilometers,"Reservoirs, minimum water extent"
2016,89908.0,Square kilometers,"Reservoirs, minimum water extent"
2017,90119.3,Square kilometers,"Reservoirs, minimum water extent"
2018,90112.9,Square kilometers,"Reservoirs, minimum water extent"
2019,90124.0,Square kilometers,"Reservoirs, minimum water extent"
2020,90059.8,Square kilometers,"Reservoirs, minimum water extent"
2021,89872.9,Square kilometers,"Reservoirs, minimum water extent"
2016/18 (baseline),806938.0,Square kilometers,Wetlands area
2016/18 (baseline),8.17,Percentage,Wetlands area
