Year,Value,Units
2015,125.239385,"US dollar, Millions, 2024 constant prices"
2016,119.715933,"US dollar, Millions, 2024 constant prices"
2017,265.18351,"US dollar, Millions, 2024 constant prices"
2018,376.205455,"US dollar, Millions, 2024 constant prices"
2019,229.779927,"US dollar, Millions, 2024 constant prices"
2020,360.11918,"US dollar, Millions, 2024 constant prices"
2021,535.528142,"US dollar, Millions, 2024 constant prices"
2022,525.081928,"US dollar, Millions, 2024 constant prices"
2023,395.520972,"US dollar, Millions, 2024 constant prices"
2024,416.800494,"US dollar, Millions, 2024 constant prices"
