Year,Value,Units,Series
2016,98.6,Percentage (%),Long-Term Evolution (LTE)
2017,99.1,Percentage (%),Long-Term Evolution (LTE)
2018,99.3,Percentage (%),Long-Term Evolution (LTE)
2019,99.5,Percentage (%),Long-Term Evolution (LTE)
2020,99.5,Percentage (%),Long-Term Evolution (LTE)
2021,99.4,Percentage (%),Long-Term Evolution (LTE)
2022,99.5,Percentage (%),Long-Term Evolution (LTE)
2023,99.5,Percentage (%),Long-Term Evolution (LTE)
2024,99.5,Percentage (%),Long-Term Evolution (LTE)
2016,83.4,Percentage (%),Long-Term Evolution - A (LTE-A)
2017,92.4,Percentage (%),Long-Term Evolution - A (LTE-A)
2018,94.9,Percentage (%),Long-Term Evolution - A (LTE-A)
2019,95.9,Percentage (%),Long-Term Evolution - A (LTE-A)
2020,97.5,Percentage (%),Long-Term Evolution - A (LTE-A)
2021,97.8,Percentage (%),Long-Term Evolution - A (LTE-A)
2022,97.8,Percentage (%),Long-Term Evolution - A (LTE-A)
2023,97.9,Percentage (%),Long-Term Evolution - A (LTE-A)
2024,98.0,Percentage (%),Long-Term Evolution - A (LTE-A)
2020,53.3,Percentage (%),5G
2021,87.8,Percentage (%),5G
2022,91.4,Percentage (%),5G
2023,93.3,Percentage (%),5G
2024,94.3,Percentage (%),5G
2016,99.5,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2017,99.5,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2018,99.5,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2019,99.5,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2020,99.5,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2021,99.5,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2022,99.6,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2023,99.5,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2024,99.5,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
