Year,Personnes à faible revenu,Géographie,GeoCode,Value
2015,,,,14.5
2016,,,,12.9
2017,,,,11.9
2018,,,,11.2
2019,,,,10.5
2020,,,,6.5
2021,,,,7.6
2022,,,,10.3
2023,,,,10.4
2015,Toutes les personnes,Alberta,48,9.4
2016,Toutes les personnes,Alberta,48,10.1
2017,Toutes les personnes,Alberta,48,8.5
2018,Toutes les personnes,Alberta,48,9.4
2019,Toutes les personnes,Alberta,48,8.3
2020,Toutes les personnes,Alberta,48,6.0
2021,Toutes les personnes,Alberta,48,8.5
2022,Toutes les personnes,Alberta,48,10.7
2023,Toutes les personnes,Alberta,48,10.0
2015,Personnes de 18 à 64 ans,Alberta,48,9.5
2016,Personnes de 18 à 64 ans,Alberta,48,10.9
2017,Personnes de 18 à 64 ans,Alberta,48,9.8
2018,Personnes de 18 à 64 ans,Alberta,48,10.6
2019,Personnes de 18 à 64 ans,Alberta,48,9.7
2020,Personnes de 18 à 64 ans,Alberta,48,7.1
2021,Personnes de 18 à 64 ans,Alberta,48,9.2
2022,Personnes de 18 à 64 ans,Alberta,48,11.1
2023,Personnes de 18 à 64 ans,Alberta,48,10.5
2015,Personnes de 65 ans et plus,Alberta,48,3.1
2016,Personnes de 65 ans et plus,Alberta,48,4.3
2017,Personnes de 65 ans et plus,Alberta,48,2.9
2018,Personnes de 65 ans et plus,Alberta,48,3.5
2019,Personnes de 65 ans et plus,Alberta,48,3.7
2020,Personnes de 65 ans et plus,Alberta,48,3.0
2021,Personnes de 65 ans et plus,Alberta,48,6.2
2022,Personnes de 65 ans et plus,Alberta,48,6.3
2023,Personnes de 65 ans et plus,Alberta,48,5.2
2015,Personnes de moins de 18 ans,Alberta,48,12.3
2016,Personnes de moins de 18 ans,Alberta,48,10.8
2017,Personnes de moins de 18 ans,Alberta,48,7.8
2018,Personnes de moins de 18 ans,Alberta,48,9.2
2019,Personnes de moins de 18 ans,Alberta,48,7.0
2020,Personnes de moins de 18 ans,Alberta,48,4.6
2021,Personnes de moins de 18 ans,Alberta,48,8.2
2022,Personnes de moins de 18 ans,Alberta,48,12.3
2023,Personnes de moins de 18 ans,Alberta,48,11.7
2015,Toutes les personnes,Provinces de l'Atlantique,,15.7
2016,Toutes les personnes,Provinces de l'Atlantique,,14.5
2017,Toutes les personnes,Provinces de l'Atlantique,,13.5
2018,Toutes les personnes,Provinces de l'Atlantique,,12.3
2019,Toutes les personnes,Provinces de l'Atlantique,,11.3
2020,Toutes les personnes,Provinces de l'Atlantique,,7.7
2021,Toutes les personnes,Provinces de l'Atlantique,,8.1
2022,Toutes les personnes,Provinces de l'Atlantique,,11.8
2023,Toutes les personnes,Provinces de l'Atlantique,,12.4
2015,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,16.3
2016,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,15.6
2017,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,14.7
2018,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,13.8
2019,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,12.4
2020,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,9.3
2021,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,8.8
2022,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,12.7
2023,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,13.4
2015,Personnes de 65 ans et plus,Provinces de l'Atlantique,,10.5
2016,Personnes de 65 ans et plus,Provinces de l'Atlantique,,8.6
2017,Personnes de 65 ans et plus,Provinces de l'Atlantique,,7.0
2018,Personnes de 65 ans et plus,Provinces de l'Atlantique,,7.1
2019,Personnes de 65 ans et plus,Provinces de l'Atlantique,,7.0
2020,Personnes de 65 ans et plus,Provinces de l'Atlantique,,4.6
2021,Personnes de 65 ans et plus,Provinces de l'Atlantique,,7.0
2022,Personnes de 65 ans et plus,Provinces de l'Atlantique,,9.0
2023,Personnes de 65 ans et plus,Provinces de l'Atlantique,,7.6
2015,Personnes de moins de 18 ans,Provinces de l'Atlantique,,19.0
2016,Personnes de moins de 18 ans,Provinces de l'Atlantique,,17.2
2017,Personnes de moins de 18 ans,Provinces de l'Atlantique,,16.5
2018,Personnes de moins de 18 ans,Provinces de l'Atlantique,,13.3
2019,Personnes de moins de 18 ans,Provinces de l'Atlantique,,12.5
2020,Personnes de moins de 18 ans,Provinces de l'Atlantique,,6.3
2021,Personnes de moins de 18 ans,Provinces de l'Atlantique,,7.2
2022,Personnes de moins de 18 ans,Provinces de l'Atlantique,,12.4
2023,Personnes de moins de 18 ans,Provinces de l'Atlantique,,15.2
2015,Toutes les personnes,Colombie-Britannique,59,18.6
2016,Toutes les personnes,Colombie-Britannique,59,16.0
2017,Toutes les personnes,Colombie-Britannique,59,14.6
2018,Toutes les personnes,Colombie-Britannique,59,13.3
2019,Toutes les personnes,Colombie-Britannique,59,12.2
2020,Toutes les personnes,Colombie-Britannique,59,7.8
2021,Toutes les personnes,Colombie-Britannique,59,8.9
2022,Toutes les personnes,Colombie-Britannique,59,11.8
2023,Toutes les personnes,Colombie-Britannique,59,11.5
2015,Personnes de 18 à 64 ans,Colombie-Britannique,59,20.8
2016,Personnes de 18 à 64 ans,Colombie-Britannique,59,17.4
2017,Personnes de 18 à 64 ans,Colombie-Britannique,59,16.3
2018,Personnes de 18 à 64 ans,Colombie-Britannique,59,15.3
2019,Personnes de 18 à 64 ans,Colombie-Britannique,59,15.1
2020,Personnes de 18 à 64 ans,Colombie-Britannique,59,9.7
2021,Personnes de 18 à 64 ans,Colombie-Britannique,59,9.7
2022,Personnes de 18 à 64 ans,Colombie-Britannique,59,12.8
2023,Personnes de 18 à 64 ans,Colombie-Britannique,59,12.8
2015,Personnes de 65 ans et plus,Colombie-Britannique,59,11.7
2016,Personnes de 65 ans et plus,Colombie-Britannique,59,9.1
2017,Personnes de 65 ans et plus,Colombie-Britannique,59,9.7
2018,Personnes de 65 ans et plus,Colombie-Britannique,59,8.5
2019,Personnes de 65 ans et plus,Colombie-Britannique,59,6.6
2020,Personnes de 65 ans et plus,Colombie-Britannique,59,3.8
2021,Personnes de 65 ans et plus,Colombie-Britannique,59,7.1
2022,Personnes de 65 ans et plus,Colombie-Britannique,59,9.1
2023,Personnes de 65 ans et plus,Colombie-Britannique,59,7.5
2015,Personnes de moins de 18 ans,Colombie-Britannique,59,16.8
2016,Personnes de moins de 18 ans,Colombie-Britannique,59,17.4
2017,Personnes de moins de 18 ans,Colombie-Britannique,59,13.4
2018,Personnes de moins de 18 ans,Colombie-Britannique,59,11.1
2019,Personnes de moins de 18 ans,Colombie-Britannique,59,7.3
2020,Personnes de moins de 18 ans,Colombie-Britannique,59,5.0
2021,Personnes de moins de 18 ans,Colombie-Britannique,59,8.0
2022,Personnes de moins de 18 ans,Colombie-Britannique,59,11.2
2023,Personnes de moins de 18 ans,Colombie-Britannique,59,11.2
2015,Toutes les personnes,"Calgary, Alberta",,11.5
2016,Toutes les personnes,"Calgary, Alberta",,11.1
2017,Toutes les personnes,"Calgary, Alberta",,8.0
2018,Toutes les personnes,"Calgary, Alberta",,12.0
2019,Toutes les personnes,"Calgary, Alberta",,6.0
2020,Toutes les personnes,"Calgary, Alberta",,7.4
2021,Toutes les personnes,"Calgary, Alberta",,8.9
2022,Toutes les personnes,"Calgary, Alberta",,10.8
2023,Toutes les personnes,"Calgary, Alberta",,10.3
2015,Personnes de 18 à 64 ans,"Calgary, Alberta",,11.5
2016,Personnes de 18 à 64 ans,"Calgary, Alberta",,12.0
2017,Personnes de 18 à 64 ans,"Calgary, Alberta",,9.0
2018,Personnes de 18 à 64 ans,"Calgary, Alberta",,13.3
2019,Personnes de 18 à 64 ans,"Calgary, Alberta",,6.9
2020,Personnes de 18 à 64 ans,"Calgary, Alberta",,8.5
2021,Personnes de 18 à 64 ans,"Calgary, Alberta",,8.7
2022,Personnes de 18 à 64 ans,"Calgary, Alberta",,11.1
2023,Personnes de 18 à 64 ans,"Calgary, Alberta",,10.4
2021,Personnes de 65 ans et plus,"Calgary, Alberta",,8.0
2022,Personnes de 65 ans et plus,"Calgary, Alberta",,6.6
2023,Personnes de 65 ans et plus,"Calgary, Alberta",,6.8
2015,Personnes de moins de 18 ans,"Calgary, Alberta",,15.4
2016,Personnes de moins de 18 ans,"Calgary, Alberta",,11.7
2017,Personnes de moins de 18 ans,"Calgary, Alberta",,8.0
2018,Personnes de moins de 18 ans,"Calgary, Alberta",,12.5
2020,Personnes de moins de 18 ans,"Calgary, Alberta",,6.8
2021,Personnes de moins de 18 ans,"Calgary, Alberta",,10.0
2022,Personnes de moins de 18 ans,"Calgary, Alberta",,12.3
2023,Personnes de moins de 18 ans,"Calgary, Alberta",,12.4
2015,Personnes de 18 à 64 ans,Canada,,15.7
2016,Personnes de 18 à 64 ans,Canada,,14.0
2017,Personnes de 18 à 64 ans,Canada,,13.4
2018,Personnes de 18 à 64 ans,Canada,,12.8
2019,Personnes de 18 à 64 ans,Canada,,12.1
2020,Personnes de 18 à 64 ans,Canada,,8.0
2021,Personnes de 18 à 64 ans,Canada,,8.5
2022,Personnes de 18 à 64 ans,Canada,,11.4
2023,Personnes de 18 à 64 ans,Canada,,11.8
2015,Personnes de 65 ans et plus,Canada,,7.1
2016,Personnes de 65 ans et plus,Canada,,7.1
2017,Personnes de 65 ans et plus,Canada,,6.1
2018,Personnes de 65 ans et plus,Canada,,6.0
2019,Personnes de 65 ans et plus,Canada,,5.8
2020,Personnes de 65 ans et plus,Canada,,3.2
2021,Personnes de 65 ans et plus,Canada,,5.6
2022,Personnes de 65 ans et plus,Canada,,6.4
2023,Personnes de 65 ans et plus,Canada,,5.4
2015,Personnes de moins de 18 ans,Canada,,16.3
2016,Personnes de moins de 18 ans,Canada,,13.9
2017,Personnes de moins de 18 ans,Canada,,11.7
2018,Personnes de moins de 18 ans,Canada,,10.6
2019,Personnes de moins de 18 ans,Canada,,9.4
2020,Personnes de moins de 18 ans,Canada,,4.8
2021,Personnes de moins de 18 ans,Canada,,6.6
2022,Personnes de moins de 18 ans,Canada,,10.3
2023,Personnes de moins de 18 ans,Canada,,10.9
