Year,Géographie,Fonctions des administrations publiques,Value
2015,,,57.781
2016,,,58.964
2017,,,58.478
2018,,,57.637
2019,,,56.184
2020,,,56.624
2021,,,58.847
2015,Alberta,,74.022
2015,Colombie-Britannique,,75.654
2015,Canada,,57.781
2015,Manitoba,,74.61
2015,Nouveau-Brunswick,,70.78
2015,Terre-Neuve-et-Labrador,,72.6
2015,Territoires du Nord-Ouest,,56.625
2015,Nouvelle-Écosse,,74.239
2015,Nunavut,,50.217
2015,Ontario,,75.195
2015,Île-du-Prince-Édouard,,74.841
2015,Québec,,71.828
2015,Saskatchewan,,75.657
2015,Yukon,,49.511
2016,Alberta,,71.854
2016,Colombie-Britannique,,75.452
2016,Canada,,58.964
2016,Manitoba,,74.876
2016,Nouveau-Brunswick,,69.305
2016,Terre-Neuve-et-Labrador,,71.196
2016,Territoires du Nord-Ouest,,58.8
2016,Nouvelle-Écosse,,72.51
2016,Nunavut,,49.443
2016,Ontario,,75.284
2016,Île-du-Prince-Édouard,,74.853
2016,Québec,,72.028
2016,Saskatchewan,,74.423
2016,Yukon,,52.433
2017,Alberta,,71.505
2017,Colombie-Britannique,,75.563
2017,Canada,,58.478
2017,Manitoba,,75.184
2017,Nouveau-Brunswick,,69.022
2017,Terre-Neuve-et-Labrador,,72.257
2017,Territoires du Nord-Ouest,,58.104
2017,Nouvelle-Écosse,,71.737
2017,Nunavut,,50.462
2017,Ontario,,75.359
2017,Île-du-Prince-Édouard,,74.541
2017,Québec,,71.33
2017,Saskatchewan,,75.912
2017,Yukon,,53.252
2018,Alberta,,71.908
2018,Colombie-Britannique,,75.765
2018,Canada,,57.637
2018,Manitoba,,75.811
2018,Nouveau-Brunswick,,69.411
2018,Terre-Neuve-et-Labrador,,73.319
2018,Territoires du Nord-Ouest,,58.124
2018,Nouvelle-Écosse,,72.994
2018,Nunavut,,50.431
2018,Ontario,,74.17
2018,Île-du-Prince-Édouard,,74.03
2018,Québec,,71.345
2018,Saskatchewan,,75.52
2018,Yukon,,50.0
2019,Alberta,,70.669
2019,Colombie-Britannique,,76.055
2019,Canada,,56.184
2019,Manitoba,,74.892
2019,Nouveau-Brunswick,,69.649
2019,Terre-Neuve-et-Labrador,,73.194
2019,Territoires du Nord-Ouest,,57.721
2019,Nouvelle-Écosse,,72.661
2019,Nunavut,,50.397
2019,Ontario,,74.28
2019,Île-du-Prince-Édouard,,73.245
2019,Québec,,71.502
2019,Saskatchewan,,75.25
2019,Yukon,,50.361
2020,Alberta,,71.758
2020,Colombie-Britannique,,76.761
2020,Canada,,56.624
2020,Manitoba,,74.735
2020,Nouveau-Brunswick,,69.656
2020,Terre-Neuve-et-Labrador,,72.279
2020,Territoires du Nord-Ouest,,58.985
2020,Nouvelle-Écosse,,73.134
2020,Nunavut,,50.132
2020,Ontario,,74.633
2020,Île-du-Prince-Édouard,,71.961
2020,Québec,,72.306
2020,Saskatchewan,,74.923
2020,Yukon,,49.513
2021,Alberta,,70.025
2021,Colombie-Britannique,,75.998
2021,Canada,,58.847
2021,Manitoba,,75.012
2021,Nouveau-Brunswick,,69.976
2021,Terre-Neuve-et-Labrador,,73.231
2021,Territoires du Nord-Ouest,,58.282
2021,Nouvelle-Écosse,,72.383
2021,Nunavut,,50.112
2021,Ontario,,74.961
2021,Île-du-Prince-Édouard,,70.8
2021,Québec,,73.808
2021,Saskatchewan,,68.914
2021,Yukon,,48.185
2015,Alberta,Enseignement,27.241
2015,Alberta,Santé,38.901
2015,Alberta,Autres dépenses,25.978
2015,Alberta,Protection sociale,7.88
2015,Colombie-Britannique,Enseignement,22.725
2015,Colombie-Britannique,Santé,43.504
2015,Colombie-Britannique,Autres dépenses,24.346
2015,Colombie-Britannique,Protection sociale,9.426
2015,Canada,Enseignement,1.343
2015,Canada,Santé,11.972
2015,Canada,Autres dépenses,42.219
2015,Canada,Protection sociale,44.466
2015,Manitoba,Enseignement,22.516
2015,Manitoba,Santé,42.597
2015,Manitoba,Autres dépenses,25.39
2015,Manitoba,Protection sociale,9.497
2015,Nouveau-Brunswick,Enseignement,17.373
2015,Nouveau-Brunswick,Santé,46.438
2015,Nouveau-Brunswick,Autres dépenses,29.22
2015,Nouveau-Brunswick,Protection sociale,6.969
2015,Terre-Neuve-et-Labrador,Enseignement,23.318
2015,Terre-Neuve-et-Labrador,Santé,43.44
2015,Terre-Neuve-et-Labrador,Autres dépenses,27.4
2015,Terre-Neuve-et-Labrador,Protection sociale,5.842
2015,Territoires du Nord-Ouest,Enseignement,14.187
2015,Territoires du Nord-Ouest,Santé,30.779
2015,Territoires du Nord-Ouest,Autres dépenses,43.375
2015,Territoires du Nord-Ouest,Protection sociale,11.659
2015,Nouvelle-Écosse,Enseignement,23.707
2015,Nouvelle-Écosse,Santé,42.287
2015,Nouvelle-Écosse,Autres dépenses,25.761
2015,Nouvelle-Écosse,Protection sociale,8.246
2015,Nunavut,Enseignement,14.829
2015,Nunavut,Santé,20.221
2015,Nunavut,Autres dépenses,49.783
2015,Nunavut,Protection sociale,15.166
2015,Ontario,Enseignement,24.663
2015,Ontario,Santé,37.564
2015,Ontario,Autres dépenses,24.805
2015,Ontario,Protection sociale,12.968
2015,Île-du-Prince-Édouard,Enseignement,25.053
2015,Île-du-Prince-Édouard,Santé,44.118
2015,Île-du-Prince-Édouard,Autres dépenses,25.159
2015,Île-du-Prince-Édouard,Protection sociale,5.67
2015,Québec,Enseignement,18.983
2015,Québec,Santé,33.347
2015,Québec,Autres dépenses,28.172
2015,Québec,Protection sociale,19.497
2015,Saskatchewan,Enseignement,26.193
2015,Saskatchewan,Santé,38.236
2015,Saskatchewan,Autres dépenses,24.343
2015,Saskatchewan,Protection sociale,11.228
2015,Yukon,Enseignement,15.014
2015,Yukon,Santé,24.93
2015,Yukon,Autres dépenses,50.489
2015,Yukon,Protection sociale,9.567
2016,Alberta,Enseignement,26.613
2016,Alberta,Santé,37.103
2016,Alberta,Autres dépenses,28.146
2016,Alberta,Protection sociale,8.137
2016,Colombie-Britannique,Enseignement,22.589
2016,Colombie-Britannique,Santé,43.501
2016,Colombie-Britannique,Autres dépenses,24.548
2016,Colombie-Britannique,Protection sociale,9.362
2016,Canada,Enseignement,1.523
2016,Canada,Santé,11.839
2016,Canada,Autres dépenses,41.036
2016,Canada,Protection sociale,45.602
2016,Manitoba,Enseignement,22.241
2016,Manitoba,Santé,43.656
2016,Manitoba,Autres dépenses,25.124
2016,Manitoba,Protection sociale,8.979
2016,Nouveau-Brunswick,Enseignement,16.659
2016,Nouveau-Brunswick,Santé,45.284
2016,Nouveau-Brunswick,Autres dépenses,30.695
2016,Nouveau-Brunswick,Protection sociale,7.362
2016,Terre-Neuve-et-Labrador,Enseignement,22.938
2016,Terre-Neuve-et-Labrador,Santé,42.588
2016,Terre-Neuve-et-Labrador,Autres dépenses,28.804
2016,Terre-Neuve-et-Labrador,Protection sociale,5.67
2016,Territoires du Nord-Ouest,Enseignement,14.064
2016,Territoires du Nord-Ouest,Santé,32.499
2016,Territoires du Nord-Ouest,Autres dépenses,41.2
2016,Territoires du Nord-Ouest,Protection sociale,12.237
2016,Nouvelle-Écosse,Enseignement,22.462
2016,Nouvelle-Écosse,Santé,41.795
2016,Nouvelle-Écosse,Autres dépenses,27.49
2016,Nouvelle-Écosse,Protection sociale,8.253
2016,Nunavut,Enseignement,14.578
2016,Nunavut,Santé,22.377
2016,Nunavut,Autres dépenses,50.557
2016,Nunavut,Protection sociale,12.488
2016,Ontario,Enseignement,24.742
2016,Ontario,Santé,37.623
2016,Ontario,Autres dépenses,24.716
2016,Ontario,Protection sociale,12.919
2016,Île-du-Prince-Édouard,Enseignement,25.251
2016,Île-du-Prince-Édouard,Santé,44.033
2016,Île-du-Prince-Édouard,Autres dépenses,25.147
2016,Île-du-Prince-Édouard,Protection sociale,5.569
2016,Québec,Enseignement,19.233
2016,Québec,Santé,33.449
2016,Québec,Autres dépenses,27.972
2016,Québec,Protection sociale,19.346
2016,Saskatchewan,Enseignement,26.334
2016,Saskatchewan,Santé,37.309
2016,Saskatchewan,Autres dépenses,25.577
2016,Saskatchewan,Protection sociale,10.779
2016,Yukon,Enseignement,16.518
2016,Yukon,Santé,27.073
2016,Yukon,Autres dépenses,47.567
2016,Yukon,Protection sociale,8.842
2017,Alberta,Enseignement,26.178
2017,Alberta,Santé,37.019
2017,Alberta,Autres dépenses,28.495
2017,Alberta,Protection sociale,8.307
2017,Colombie-Britannique,Enseignement,23.181
2017,Colombie-Britannique,Santé,42.836
2017,Colombie-Britannique,Autres dépenses,24.437
2017,Colombie-Britannique,Protection sociale,9.545
2017,Canada,Enseignement,1.64
2017,Canada,Santé,11.65
2017,Canada,Autres dépenses,41.522
2017,Canada,Protection sociale,45.189
2017,Manitoba,Enseignement,22.789
2017,Manitoba,Santé,43.152
2017,Manitoba,Autres dépenses,24.816
2017,Manitoba,Protection sociale,9.244
2017,Nouveau-Brunswick,Enseignement,16.54
2017,Nouveau-Brunswick,Santé,43.616
2017,Nouveau-Brunswick,Autres dépenses,30.978
2017,Nouveau-Brunswick,Protection sociale,8.865
2017,Terre-Neuve-et-Labrador,Enseignement,22.108
2017,Terre-Neuve-et-Labrador,Santé,44.08
2017,Terre-Neuve-et-Labrador,Autres dépenses,27.743
2017,Terre-Neuve-et-Labrador,Protection sociale,6.068
2017,Territoires du Nord-Ouest,Enseignement,13.849
2017,Territoires du Nord-Ouest,Santé,32.224
2017,Territoires du Nord-Ouest,Autres dépenses,41.896
2017,Territoires du Nord-Ouest,Protection sociale,12.031
2017,Nouvelle-Écosse,Enseignement,22.757
2017,Nouvelle-Écosse,Santé,41.097
2017,Nouvelle-Écosse,Autres dépenses,28.263
2017,Nouvelle-Écosse,Protection sociale,7.884
2017,Nunavut,Enseignement,14.298
2017,Nunavut,Santé,24.197
2017,Nunavut,Autres dépenses,49.538
2017,Nunavut,Protection sociale,11.967
2017,Ontario,Enseignement,25.766
2017,Ontario,Santé,36.795
2017,Ontario,Autres dépenses,24.641
2017,Ontario,Protection sociale,12.798
2017,Île-du-Prince-Édouard,Enseignement,24.77
2017,Île-du-Prince-Édouard,Santé,44.39
2017,Île-du-Prince-Édouard,Autres dépenses,25.459
2017,Île-du-Prince-Édouard,Protection sociale,5.381
2017,Québec,Enseignement,19.312
2017,Québec,Santé,33.201
2017,Québec,Autres dépenses,28.67
2017,Québec,Protection sociale,18.818
2017,Saskatchewan,Enseignement,26.014
2017,Saskatchewan,Santé,38.787
2017,Saskatchewan,Autres dépenses,24.088
2017,Saskatchewan,Protection sociale,11.112
2017,Yukon,Enseignement,16.531
2017,Yukon,Santé,27.236
2017,Yukon,Autres dépenses,46.748
2017,Yukon,Protection sociale,9.485
2018,Alberta,Enseignement,25.131
2018,Alberta,Santé,37.805
2018,Alberta,Autres dépenses,28.092
2018,Alberta,Protection sociale,8.971
2018,Colombie-Britannique,Enseignement,22.756
2018,Colombie-Britannique,Santé,42.573
2018,Colombie-Britannique,Autres dépenses,24.235
2018,Colombie-Britannique,Protection sociale,10.435
2018,Canada,Enseignement,1.992
2018,Canada,Santé,11.576
2018,Canada,Autres dépenses,42.363
2018,Canada,Protection sociale,44.069
2018,Manitoba,Enseignement,23.231
2018,Manitoba,Santé,43.09
2018,Manitoba,Autres dépenses,24.189
2018,Manitoba,Protection sociale,9.49
2018,Nouveau-Brunswick,Enseignement,16.716
2018,Nouveau-Brunswick,Santé,43.786
2018,Nouveau-Brunswick,Autres dépenses,30.589
2018,Nouveau-Brunswick,Protection sociale,8.909
2018,Terre-Neuve-et-Labrador,Enseignement,22.366
2018,Terre-Neuve-et-Labrador,Santé,45.346
2018,Terre-Neuve-et-Labrador,Autres dépenses,26.681
2018,Terre-Neuve-et-Labrador,Protection sociale,5.607
2018,Territoires du Nord-Ouest,Enseignement,13.479
2018,Territoires du Nord-Ouest,Santé,32.422
2018,Territoires du Nord-Ouest,Autres dépenses,41.876
2018,Territoires du Nord-Ouest,Protection sociale,12.223
2018,Nouvelle-Écosse,Enseignement,23.317
2018,Nouvelle-Écosse,Santé,42.035
2018,Nouvelle-Écosse,Autres dépenses,27.006
2018,Nouvelle-Écosse,Protection sociale,7.642
2018,Nunavut,Enseignement,14.022
2018,Nunavut,Santé,24.149
2018,Nunavut,Autres dépenses,49.569
2018,Nunavut,Protection sociale,12.259
2018,Ontario,Enseignement,25.58
2018,Ontario,Santé,35.849
2018,Ontario,Autres dépenses,25.83
2018,Ontario,Protection sociale,12.741
2018,Île-du-Prince-Édouard,Enseignement,25.031
2018,Île-du-Prince-Édouard,Santé,43.273
2018,Île-du-Prince-Édouard,Autres dépenses,25.97
2018,Île-du-Prince-Édouard,Protection sociale,5.726
2018,Québec,Enseignement,19.541
2018,Québec,Santé,33.121
2018,Québec,Autres dépenses,28.655
2018,Québec,Protection sociale,18.683
2018,Saskatchewan,Enseignement,26.615
2018,Saskatchewan,Santé,38.023
