Year,Méthode,Région de destination,Montant d'argent envoyé lors du dernier transfert de fonds,Value
2017,,,,5.5
2017,Méthodes traditionnelles,Toutes les régions,,5.8
2017,Méthodes électroniques,Toutes les régions,,4.1
2017,Toutes les méthodes,Amériques,,8.5
2017,Méthodes traditionnelles,Amériques,,8.8
2017,Méthodes électroniques,Amériques,,5.7
2017,Toutes les méthodes,Europe de l'Est et Europe du Sud,,7.9
2017,Méthodes traditionnelles,Europe de l'Est et Europe du Sud,,8.4
2017,Méthodes électroniques,Europe de l'Est et Europe du Sud,,5.2
2017,Toutes les méthodes,Afrique subsaharienne,,7.2
2017,Méthodes traditionnelles,Afrique subsaharienne,,7.6
2017,Méthodes électroniques,Afrique subsaharienne,,5.2
2017,Toutes les méthodes,Afrique du Nord,,6.1
2017,Méthodes traditionnelles,Afrique du Nord,,6.5
2017,Méthodes électroniques,Afrique du Nord,,4.3
2017,Toutes les méthodes,Asie de l'Ouest et centrale et Moyen-Orient,,6.2
2017,Méthodes traditionnelles,Asie de l'Ouest et centrale et Moyen-Orient,,6.3
2017,Méthodes électroniques,Asie de l'Ouest et centrale et Moyen-Orient,,4.7
2017,Toutes les méthodes,Asie de l'Est,,2.1
2017,Méthodes traditionnelles,Asie de l'Est,,2.2
2017,Méthodes électroniques,Asie de l'Est,,1.3
2017,Toutes les méthodes,Asie du Sud-Est et Océanie,,4.4
2017,Méthodes traditionnelles,Asie du Sud-Est et Océanie,,4.5
2017,Méthodes électroniques,Asie du Sud-Est et Océanie,,3.5
2017,Toutes les méthodes,Asie due Sud,,3.6
2017,Méthodes traditionnelles,Asie due Sud,,3.7
2017,Méthodes électroniques,Asie due Sud,,3.0
2017,Toutes les méthodes,Pays non admissibles à l'aide publique au développement,,5.8
2017,Méthodes traditionnelles,Pays non admissibles à l'aide publique au développement,,6.2
2017,Méthodes électroniques,Pays non admissibles à l'aide publique au développement,,4.6
2017,Toutes les méthodes,,100 $ ou moins,12.6
2017,Méthodes traditionnelles,,100 $ ou moins,13.0
2017,Méthodes électroniques,,100 $ ou moins,9.2
2017,Toutes les méthodes,,101 $ à 200 $,7.0
2017,Méthodes traditionnelles,,101 $ à 200 $,7.1
2017,Méthodes électroniques,,101 $ à 200 $,6.1
2017,Toutes les méthodes,,201 $ à 300 $,5.1
2017,Méthodes traditionnelles,,201 $ à 300 $,5.3
2017,Méthodes électroniques,,201 $ à 300 $,4.2
2017,Toutes les méthodes,,301 $ à 500 $,3.5
2017,Méthodes traditionnelles,,301 $ à 500 $,3.7
2017,Méthodes électroniques,,301 $ à 500 $,2.6
2017,Toutes les méthodes,,501 $ à 1 000 $,2.6
2017,Méthodes traditionnelles,,501 $ à 1 000 $,2.8
2017,Méthodes électroniques,,501 $ à 1 000 $,2.0
2017,Toutes les méthodes,,1 001 $ ou plus,1.3
2017,Méthodes traditionnelles,,1 001 $ ou plus,1.3
2017,Méthodes électroniques,,1 001 $ ou plus,1.0
