Year,Géographie,GeoCode,Value
2016,Terre-Neuve-et-Labrador,10,26.7
2016,"St. John's, Terre-Neuve-et-Labrador",001,59.9
2016,Île-du-Prince-Édouard,11,16.9
2016,Nouvelle-Écosse,12,37.6
2016,"Halifax, Nouvelle-Écosse",205,70.9
2016,Nouveau-Brunswick,13,28.8
2016,"Moncton, Nouveau-Brunswick",305,65.4
2016,"Saint John, Nouveau-Brunswick",310,49.1
2016,Québec,24,66.6
2016,"Montréal, Québec",462,91.6
2016,"Ottawa - Gatineau (partie du Québec), Québec",24505,77.2
2016,"Québec, Québec",421,83.1
2016,"Saguenay, Québec",408,75.4
2016,"Sherbrooke, Québec",433,76.4
2016,"Trois-Rivières, Québec",442,75.4
2016,Ontario,35,75.2
2016,"Barrie, Ontario",568,66.8
2016,"Belleville, Ontario",522,57.1
2016,"Brantford, Ontario",543,69.6
2016,"Grand Sudbury, Ontario",580,66.5
2016,"Guelph, Ontario",550,83.5
2016,"Hamilton, Ontario",537,81.1
2016,"Kingston, Ontario",521,69.4
2016,"Kitchener - Cambridge - Waterloo, Ontario",541,86.2
2016,"London, Ontario",555,77.7
2016,"Oshawa, Ontario",532,88.7
2016,"Ottawa - Gatineau (partie de l'Ontario), Ontario",35505,85.0
2016,"Peterborough, Ontario",529,62.7
2016,"St. Catharines - Niagara, Ontario",539,80.9
2016,"Thunder Bay, Ontario",595,76.3
2016,"Toronto, Ontario",535,93.0
2016,"Windsor, Ontario",559,67.1
2016,Manitoba,46,57.4
2016,"Winnipeg, Manitoba",602,88.2
2016,Saskatchewan,47,50.3
2016,"Regina, Saskatchewan",705,90.4
2016,"Saskatoon, Saskatchewan",725,82.6
2016,Alberta,48,67.9
2016,"Calgary, Alberta",825,88.9
2016,"Edmonton, Alberta",835,82.7
2016,"Lethbridge, Alberta",810,71.6
2016,Colombie-Britannique,59,78.4
2016,"Abbotsford - Mission, Colombie-Britannique",932,79.3
2016,"Kelowna, Colombie-Britannique",915,73.7
2016,"Vancouver, Colombie-Britannique",933,92.7
2016,"Victoria, Colombie-Britannique",935,90.4
2016,Yukon,60,56.3
2016,Territoires du Nord-Ouest,61,41.4
2016,Nunavut,62,0.0
2023,,,75.1
2023,Terre-Neuve-et-Labrador,10,54.5
2023,"St. John's, Terre-Neuve-et-Labrador",001,54.7
2023,Île-du-Prince-Édouard,11,40.4
2023,Nouvelle-Écosse,12,58.3
2023,"Halifax, Nouvelle-Écosse",205,65.0
2023,Nouveau-Brunswick,13,51.1
2023,"Moncton, Nouveau-Brunswick",305,62.7
2023,"Saint John, Nouveau-Brunswick",310,42.3
2023,Québec,24,79.2
2023,"Montréal, Québec",462,87.1
2023,"Ottawa - Gatineau (partie du Québec), Québec",24505,76.8
2023,"Québec, Québec",421,80.0
2023,"Saguenay, Québec",408,79.2
2023,"Sherbrooke, Québec",433,72.7
2023,"Trois-Rivières, Québec",442,75.5
2023,Ontario,35,73.8
2023,"Barrie, Ontario",568,56.3
2023,"Belleville, Ontario",522,55.9
2023,"Brantford, Ontario",543,65.2
2023,"Grand Sudbury, Ontario",580,67.5
2023,"Guelph, Ontario",550,76.7
2023,"Hamilton, Ontario",537,71.5
2023,"Kingston, Ontario",521,67.0
2023,"Kitchener - Cambridge - Waterloo, Ontario",541,76.7
2023,"London, Ontario",555,69.5
2023,"Oshawa, Ontario",532,62.5
2023,"Ottawa - Gatineau (partie de l'Ontario), Ontario",35505,76.4
2023,"Peterborough, Ontario",529,61.3
2023,"St. Catharines - Niagara, Ontario",539,60.6
2023,"Thunder Bay, Ontario",595,74.8
2023,"Toronto, Ontario",535,82.9
2023,"Windsor, Ontario",559,50.1
2023,Manitoba,46,82.7
2023,"Winnipeg, Manitoba",602,83.2
2023,Saskatchewan,47,79.7
2023,"Regina, Saskatchewan",705,86.4
2023,"Saskatoon, Saskatchewan",725,79.8
2023,Alberta,48,76.4
2023,"Calgary, Alberta",825,80.1
2023,"Edmonton, Alberta",835,75.2
2023,"Lethbridge, Alberta",810,55.7
2023,Colombie-Britannique,59,75.9
2023,"Abbotsford - Mission, Colombie-Britannique",932,74.0
2023,"Kelowna, Colombie-Britannique",915,64.2
2023,"Vancouver, Colombie-Britannique",933,84.0
2023,"Victoria, Colombie-Britannique",935,84.8
2023,Yukon,60,75.5
2023,Territoires du Nord-Ouest,61,87.9
