Year,Géographie,Level of government,Type de patrimoine,Value
2015,Canada,Administration publique générale canadienne consolidée,Préservation de la diversité biologique et protection de la nature,5.25167305699581e-05
2015,Canada,Administration publique générale canadienne consolidée,Services culturels,0.000149707693278
2015,Canada,Administration publique générale canadienne consolidée,"Services de radiodiffusion, de television et d'édition
",9.8115257166167e-05
2015,Canada,Administration publique générale canadienne consolidée,"Loisirs, culture et religion non classés ailleurs",5.52896139440518e-05
2015,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,4.05009026155517e-05
2015,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001009721673091
2015,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",4.14251970735829e-05
2015,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.23486770321342e-05
2015,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.70416782644755e-05
2015,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8.89954309367053e-05
2015,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2015,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",4.16574357576067e-05
2015,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.38364257744939e-05
2015,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8.99367675342106e-05
2015,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2015,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6.91821288724697e-06
2015,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2.88299831825098e-05
2015,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001185232641947
2015,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2015,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6.08632978297429e-05
2015,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2.89915423764104e-05
2015,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8.17034376062474e-05
2015,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2015,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",1.44957711882052e-05
2015,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,6.48296472582197e-06
2015,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001270905726439
