Year,Source,Géographie,GeoCode,Value
1990,,,,607.907
1991,,,,603.23
1992,,,,621.376
1993,,,,626.533
1994,,,,648.617
1995,,,,666.95
1996,,,,688.359
1997,,,,704.827
1998,,,,711.291
1999,,,,721.214
2000,,,,748.696
2001,,,,741.534
2002,,,,748.752
2003,,,,767.211
2004,,,,767.348
2005,,,,763.017
2006,,,,759.131
2007,,,,778.556
2008,,,,761.206
2009,,,,717.107
2010,,,,732.333
2011,,,,740.2
2012,,,,744.212
2013,,,,751.357
2014,,,,748.409
2015,,,,743.371
2016,,,,726.808
2017,,,,738.815
2018,,,,749.308
2019,,,,748.008
2020,,,,680.926
2021,,,,691.322
2022,,,,695.853
2023,,,,686.881
2024,,,,684.704
1990,Inventaire provincial,Alberta,48,176.606
1990,Exploitation pétrolière et gazière,Alberta,48,72.556
1990,Transports,Alberta,48,15.292
1990,Industrie lourde,Alberta,48,12.792
1990,"Fabrication légère, construction et ressources forestières",Alberta,48,6.268
1990,Bâtiments,Alberta,48,12.194
1990,Déchets et autres,Alberta,48,2.146
1990,Agriculture,Alberta,48,14.7
1990,Inventaire provincial,Colombie-Britannique,59,50.721
1990,Exploitation pétrolière et gazière,Colombie-Britannique,59,7.954
1990,Transports,Colombie-Britannique,59,15.174
1990,Industrie lourde,Colombie-Britannique,59,8.904
1990,"Fabrication légère, construction et ressources forestières",Colombie-Britannique,59,3.327
1990,Bâtiments,Colombie-Britannique,59,7.55
1990,Déchets et autres,Colombie-Britannique,59,2.654
1990,Agriculture,Colombie-Britannique,59,2.476
1990,Exploitation pétrolière et gazière,Canada,,118.231
1990,Transports,Canada,,117.749
1990,Industrie lourde,Canada,,97.624
1990,"Fabrication légère, construction et ressources forestières",Canada,,31.456
1990,Bâtiments,Canada,,71.574
1990,Déchets et autres,Canada,,21.288
1990,Agriculture,Canada,,50.958
1990,Inventaire provincial,Manitoba,46,18.349
1990,Exploitation pétrolière et gazière,Manitoba,46,1.562
1990,Transports,Manitoba,46,4.959
1990,Industrie lourde,Manitoba,46,1.452
1990,"Fabrication légère, construction et ressources forestières",Manitoba,46,0.772
1990,Bâtiments,Manitoba,46,3.109
1990,Déchets et autres,Manitoba,46,0.891
1990,Agriculture,Manitoba,46,5.08
1990,Inventaire provincial,Nouveau-Brunswick,13,16.17
1990,Exploitation pétrolière et gazière,Nouveau-Brunswick,13,1.28
1990,Transports,Nouveau-Brunswick,13,3.498
1990,Industrie lourde,Nouveau-Brunswick,13,1.812
