Year,Units,Value
2015,"Dollar américain, millions, prix constants de 2024",0.571817
2016,"Dollar américain, millions, prix constants de 2024",1.839163
2017,"Dollar américain, millions, prix constants de 2024",0.03152
2018,"Dollar américain, millions, prix constants de 2024",0.652937
2019,"Dollar américain, millions, prix constants de 2024",1.97085
2020,"Dollar américain, millions, prix constants de 2024",4.033104
2021,"Dollar américain, millions, prix constants de 2024",5.912476
2022,"Dollar américain, millions, prix constants de 2024",6.069935
2023,"Dollar américain, millions, prix constants de 2024",35.392284
2024,"Dollar américain, millions, prix constants de 2024",42.116327
