Year,Géographie,Composantes du secteur public,GeoCode,Value
2015,,,,78.16
2016,,,,78.52
2017,,,,78.69
2018,,,,78.27
2019,,,,78.35
2020,,,,79.43
2021,,,,79.57
2015,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,60.99
2015,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,56.77
2015,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,52.03
2015,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,54.23
2015,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,51.08
2015,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,62.23
2015,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,65.97
2015,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,58.53
2015,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,55.12
2015,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,56.66
2015,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,58.12
2015,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,11.68
2015,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,14.88
2015,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,5.72
2016,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,60.83
2016,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,55.85
2016,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,49.76
2016,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,53.92
2016,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,51.02
2016,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,61.81
2016,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,66.12
2016,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,57.67
2016,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,52.9
2016,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,54.66
2016,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,59.87
2016,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,12.65
2016,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,17.01
2016,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,5.64
2017,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,61.12
2017,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,58.27
2017,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,51.78
2017,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,52.17
2017,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,51.27
2017,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,61.2
2017,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,67.5
2017,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,58.11
2017,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,54.28
2017,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,53.54
2017,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,59.7
2017,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,12.42
2017,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,14.34
2017,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,5.52
2018,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,60.45
2018,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,54.48
2018,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,50.73
2018,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,52.4
