Year,Size,Value
2001,Petits producteurs alimentaires, 331 
2006,Petits producteurs alimentaires, 332 
2011,Petits producteurs alimentaires, 296 
2016,Petits producteurs alimentaires, 388 
2001,Producteurs alimentaires de moyenne à grande échelle," 26,562 "
2006,Producteurs alimentaires de moyenne à grande échelle," 25,701 "
2011,Producteurs alimentaires de moyenne à grande échelle," 31,116 "
2016,Producteurs alimentaires de moyenne à grande échelle," 43,757 "
2001,," 9,027 "
2006,," 9,947 "
2011,," 11,688 "
2016,," 16,414 "
