Year,Taille,Caractéristiques,Value
2001,Petits producteurs alimentaires,Total,"-5,671"
2006,Petits producteurs alimentaires,Total,"-5,571"
2011,Petits producteurs alimentaires,Total,"-5,220"
2016,Petits producteurs alimentaires,Total,"-3,030"
2021,Petits producteurs alimentaires,Total,"-5,138"
2001,Petits producteurs alimentaires,Homme,"-6,022"
2006,Petits producteurs alimentaires,Homme,"-5,952"
2011,Petits producteurs alimentaires,Homme,"-5,575"
2016,Petits producteurs alimentaires,Homme,"-3,060"
2021,Petits producteurs alimentaires,Homme,"-5,523"
2001,Petits producteurs alimentaires,Femme,"-4,824"
2006,Petits producteurs alimentaires,Femme,"-4,718"
2011,Petits producteurs alimentaires,Femme,"-4,433"
2016,Petits producteurs alimentaires,Femme,"-2,971"
2021,Petits producteurs alimentaires,Femme,"-4,406"
2001,Petits producteurs alimentaires,Moins de 35 ans,"-6,125"
2006,Petits producteurs alimentaires,Moins de 35 ans,"-5,720"
2011,Petits producteurs alimentaires,Moins de 35 ans,"-5,263"
2016,Petits producteurs alimentaires,Moins de 35 ans,"-3,128"
2021,Petits producteurs alimentaires,Moins de 35 ans,"-5,460"
2001,Petits producteurs alimentaires,35 à 54 ans,"-6,300"
2006,Petits producteurs alimentaires,35 à 54 ans,"-6,173"
2011,Petits producteurs alimentaires,35 à 54 ans,"-6,086"
2016,Petits producteurs alimentaires,35 à 54 ans,"-3,358"
2021,Petits producteurs alimentaires,35 à 54 ans,"-6,397"
2001,Petits producteurs alimentaires,55 ans et plus,"-4,798"
2006,Petits producteurs alimentaires,55 ans et plus,"-4,960"
2011,Petits producteurs alimentaires,55 ans et plus,"-4,617"
2016,Petits producteurs alimentaires,55 ans et plus,"-2,840"
2021,Petits producteurs alimentaires,55 ans et plus,"-4,586"
2001,Producteurs alimentaires de moyenne à grande échelle,Total,"32,717"
2006,Producteurs alimentaires de moyenne à grande échelle,Total,"39,161"
2011,Producteurs alimentaires de moyenne à grande échelle,Total,"66,051"
2016,Producteurs alimentaires de moyenne à grande échelle,Total,"93,995"
2021,Producteurs alimentaires de moyenne à grande échelle,Total,"122,075"
2001,Producteurs alimentaires de moyenne à grande échelle,Homme,"37,249"
2006,Producteurs alimentaires de moyenne à grande échelle,Homme,"44,557"
2011,Producteurs alimentaires de moyenne à grande échelle,Homme,"76,164"
2016,Producteurs alimentaires de moyenne à grande échelle,Homme,"108,019"
2021,Producteurs alimentaires de moyenne à grande échelle,Homme,"139,323"
2001,Producteurs alimentaires de moyenne à grande échelle,Femme,"18,739"
2006,Producteurs alimentaires de moyenne à grande échelle,Femme,"23,682"
2011,Producteurs alimentaires de moyenne à grande échelle,Femme,"35,968"
2016,Producteurs alimentaires de moyenne à grande échelle,Femme,"53,796"
2021,Producteurs alimentaires de moyenne à grande échelle,Femme,"76,733"
2001,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,"26,068"
2006,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,"33,589"
2011,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,"59,650"
2016,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,"78,230"
2021,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,"93,309"
2001,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,"36,671"
2006,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,"43,947"
2011,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,"73,600"
2016,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,"101,835"
2021,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,"138,315"
2001,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,"28,241"
2006,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,"33,788"
2011,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,"59,374"
2016,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,"91,115"
2021,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,"117,204"
2001,,,"18,056"
2006,,,"22,019"
2011,,,"38,751"
2016,,,"56,466"
2021,,,"69,694"
2001,Total,Homme,"21,396"
2006,Total,Homme,"26,031"
2011,Total,Homme,"46,442"
2016,Total,Homme,"67,737"
2021,Total,Homme,"83,177"
2001,Total,Femme,"8,715"
2006,Total,Femme,"11,585"
2011,Total,Femme,"18,417"
2016,Total,Femme,"28,429"
2021,Total,Femme,"38,832"
2001,Total,Moins de 35 ans,"15,383"
2006,Total,Moins de 35 ans,"20,917"
2011,Total,Moins de 35 ans,"40,784"
2016,Total,Moins de 35 ans,"51,416"
2021,Total,Moins de 35 ans,"60,115"
2001,Total,35 à 54 ans,"21,600"
2006,Total,35 à 54 ans,"26,522"
2011,Total,35 à 54 ans,"46,740"
2016,Total,35 à 54 ans,"65,629"
2021,Total,35 à 54 ans,"87,649"
2001,Total,55 ans et plus,"13,491"
2006,Total,55 ans et plus,"16,707"
2011,Total,55 ans et plus,"31,206"
2016,Total,55 ans et plus,"51,204"
2021,Total,55 ans et plus,"61,896"
