Year,Sexe,Units,Value
2015,,Nombre,1353.0
2015,,"Rate per 1,000 live births",3.5
2016,,Nombre,1291.0
2016,,"Rate per 1,000 live births",3.4
2017,,Nombre,1323.0
2017,,"Rate per 1,000 live births",3.5
2018,,Nombre,1333.0
2018,,"Rate per 1,000 live births",3.6
2019,,Nombre,1257.0
2019,,"Rate per 1,000 live births",3.4
2020,,Nombre,1241.0
2020,,"Rate per 1,000 live births",3.5
2021,,Nombre,1230.0
2021,,"Rate per 1,000 live births",3.3
2022,,Nombre,1237.0
2022,,"Rate per 1,000 live births",3.5
2015,Hommes,Nombre,721.0
2015,Hommes,"Rate per 1,000 live births",3.7
2015,Femmes,Nombre,632.0
2015,Femmes,"Rate per 1,000 live births",3.4
2016,Hommes,Nombre,670.0
2016,Hommes,"Rate per 1,000 live births",3.4
2016,Femmes,Nombre,621.0
2016,Femmes,"Rate per 1,000 live births",3.3
2017,Hommes,Nombre,722.0
2017,Hommes,"Rate per 1,000 live births",3.7
2017,Femmes,Nombre,601.0
2017,Femmes,"Rate per 1,000 live births",3.3
2018,Hommes,Nombre,730.0
2018,Hommes,"Rate per 1,000 live births",3.8
2018,Femmes,Nombre,603.0
2018,Femmes,"Rate per 1,000 live births",3.3
2019,Hommes,Nombre,725.0
2019,Hommes,"Rate per 1,000 live births",3.8
2019,Femmes,Nombre,532.0
2019,Femmes,"Rate per 1,000 live births",2.9
2020,Hommes,Nombre,694.0
2020,Hommes,"Rate per 1,000 live births",3.8
2020,Femmes,Nombre,547.0
2020,Femmes,"Rate per 1,000 live births",3.1
2021,Hommes,Nombre,689.0
2021,Hommes,"Rate per 1,000 live births",3.7
2021,Femmes,Nombre,541.0
2021,Femmes,"Rate per 1,000 live births",3.0
2022,Hommes,Nombre,673.0
2022,Hommes,"Rate per 1,000 live births",3.7
2022,Femmes,Nombre,564.0
2022,Femmes,"Rate per 1,000 live births",3.3
