Year,Géographie,Âge,Sexe,Cause of death,Value
2015,,,,,6.4
2016,,,,,5.9
2017,,,,,5.4
2018,,,,,5.0
2019,,,,,4.8
2015,Canada,All ages,Les deux sexes,Transport accidents,6.4
2015,Canada,All ages,Les deux sexes,Motor vehicle accidents,5.8
2015,Canada,All ages,Les deux sexes,Other land transport accidents,0.2
2015,Canada,All ages,Hommes,Transport accidents,9.5
2015,Canada,All ages,Hommes,Motor vehicle accidents,8.4
2015,Canada,All ages,Hommes,Other land transport accidents,0.3
2015,Canada,All ages,Femmes,Transport accidents,3.4
2015,Canada,All ages,Femmes,Motor vehicle accidents,3.2
2015,Canada,All ages,Femmes,Other land transport accidents,0.1
2015,Canada,Under 1 year,Les deux sexes,Transport accidents,1.6
2015,Canada,Under 1 year,Les deux sexes,Motor vehicle accidents,1.6
2015,Canada,Under 1 year,Les deux sexes,Other land transport accidents,0.0
2015,Canada,Under 1 year,Hommes,Transport accidents,1.0
2015,Canada,Under 1 year,Hommes,Motor vehicle accidents,1.0
2015,Canada,Under 1 year,Hommes,Other land transport accidents,0.0
2015,Canada,Under 1 year,Femmes,Transport accidents,2.1
2015,Canada,Under 1 year,Femmes,Motor vehicle accidents,2.1
2015,Canada,Under 1 year,Femmes,Other land transport accidents,0.0
2015,Canada,1 to 4 years,Les deux sexes,Transport accidents,1.6
2015,Canada,1 to 4 years,Les deux sexes,Motor vehicle accidents,1.6
2015,Canada,1 to 4 years,Les deux sexes,Other land transport accidents,0.1
2015,Canada,1 to 4 years,Hommes,Transport accidents,1.8
2015,Canada,1 to 4 years,Hommes,Motor vehicle accidents,1.8
2015,Canada,1 to 4 years,Hommes,Other land transport accidents,0.0
2015,Canada,1 to 4 years,Femmes,Transport accidents,1.5
2015,Canada,1 to 4 years,Femmes,Motor vehicle accidents,1.3
2015,Canada,1 to 4 years,Femmes,Other land transport accidents,0.1
2015,Canada,5 to 9 years,Les deux sexes,Transport accidents,0.9
2015,Canada,5 to 9 years,Les deux sexes,Motor vehicle accidents,0.8
2015,Canada,5 to 9 years,Les deux sexes,Other land transport accidents,0.1
2015,Canada,5 to 9 years,Hommes,Transport accidents,1.5
2015,Canada,5 to 9 years,Hommes,Motor vehicle accidents,1.3
2015,Canada,5 to 9 years,Hommes,Other land transport accidents,0.2
2015,Canada,5 to 9 years,Femmes,Transport accidents,0.3
2015,Canada,5 to 9 years,Femmes,Motor vehicle accidents,0.3
2015,Canada,5 to 9 years,Femmes,Other land transport accidents,0.0
2015,Canada,10 to 14 years,Les deux sexes,Transport accidents,1.1
2015,Canada,10 to 14 years,Les deux sexes,Motor vehicle accidents,1.1
2015,Canada,10 to 14 years,Les deux sexes,Other land transport accidents,0.1
2015,Canada,10 to 14 years,Hommes,Transport accidents,1.0
2015,Canada,10 to 14 years,Hommes,Motor vehicle accidents,1.0
2015,Canada,10 to 14 years,Hommes,Other land transport accidents,0.0
2015,Canada,10 to 14 years,Femmes,Transport accidents,1.2
2015,Canada,10 to 14 years,Femmes,Motor vehicle accidents,1.1
2015,Canada,10 to 14 years,Femmes,Other land transport accidents,0.1
2015,Canada,15 à 19 ans,Les deux sexes,Transport accidents,7.3
2015,Canada,15 à 19 ans,Les deux sexes,Motor vehicle accidents,7.2
2015,Canada,15 à 19 ans,Les deux sexes,Other land transport accidents,0.1
2015,Canada,15 à 19 ans,Hommes,Transport accidents,9.8
2015,Canada,15 à 19 ans,Hommes,Motor vehicle accidents,9.8
2015,Canada,15 à 19 ans,Hommes,Other land transport accidents,0.0
2015,Canada,15 à 19 ans,Femmes,Transport accidents,4.6
2015,Canada,15 à 19 ans,Femmes,Motor vehicle accidents,4.4
2015,Canada,15 à 19 ans,Femmes,Other land transport accidents,0.2
2015,Canada,20 à 24 ans,Les deux sexes,Transport accidents,9.7
2015,Canada,20 à 24 ans,Les deux sexes,Motor vehicle accidents,8.9
2015,Canada,20 à 24 ans,Les deux sexes,Other land transport accidents,0.4
2015,Canada,20 à 24 ans,Hommes,Transport accidents,14.3
2015,Canada,20 à 24 ans,Hommes,Motor vehicle accidents,13.2
2015,Canada,20 à 24 ans,Hommes,Other land transport accidents,0.4
2015,Canada,20 à 24 ans,Femmes,Transport accidents,4.8
2015,Canada,20 à 24 ans,Femmes,Motor vehicle accidents,4.4
2015,Canada,20 à 24 ans,Femmes,Other land transport accidents,0.3
2015,Canada,25 à 29 ans,Les deux sexes,Transport accidents,7.7
2015,Canada,25 à 29 ans,Les deux sexes,Motor vehicle accidents,7.1
2015,Canada,25 à 29 ans,Les deux sexes,Other land transport accidents,0.1
2015,Canada,25 à 29 ans,Hommes,Transport accidents,12.4
2015,Canada,25 à 29 ans,Hommes,Motor vehicle accidents,11.4
2015,Canada,25 à 29 ans,Hommes,Other land transport accidents,0.2
2015,Canada,25 à 29 ans,Femmes,Transport accidents,2.9
2015,Canada,25 à 29 ans,Femmes,Motor vehicle accidents,2.9
2015,Canada,25 à 29 ans,Femmes,Other land transport accidents,0.0
2015,Canada,30 à 34 ans,Les deux sexes,Transport accidents,6.0
2015,Canada,30 à 34 ans,Les deux sexes,Motor vehicle accidents,5.4
2015,Canada,30 à 34 ans,Les deux sexes,Other land transport accidents,0.3
2015,Canada,30 à 34 ans,Hommes,Transport accidents,9.6
2015,Canada,30 à 34 ans,Hommes,Motor vehicle accidents,8.3
2015,Canada,30 à 34 ans,Hommes,Other land transport accidents,0.6
2015,Canada,30 à 34 ans,Femmes,Transport accidents,2.6
2015,Canada,30 à 34 ans,Femmes,Motor vehicle accidents,2.5
2015,Canada,30 à 34 ans,Femmes,Other land transport accidents,0.1
2015,Canada,35 à 39 ans,Les deux sexes,Transport accidents,4.4
2015,Canada,35 à 39 ans,Les deux sexes,Motor vehicle accidents,4.1
2015,Canada,35 à 39 ans,Les deux sexes,Other land transport accidents,0.2
2015,Canada,35 à 39 ans,Hommes,Transport accidents,6.5
2015,Canada,35 à 39 ans,Hommes,Motor vehicle accidents,5.8
2015,Canada,35 à 39 ans,Hommes,Other land transport accidents,0.3
2015,Canada,35 à 39 ans,Femmes,Transport accidents,2.3
2015,Canada,35 à 39 ans,Femmes,Motor vehicle accidents,2.3
2015,Canada,35 à 39 ans,Femmes,Other land transport accidents,0.0
2015,Canada,40 à 44 ans,Les deux sexes,Transport accidents,5.9
2015,Canada,40 à 44 ans,Les deux sexes,Motor vehicle accidents,5.2
2015,Canada,40 à 44 ans,Les deux sexes,Other land transport accidents,0.2
2015,Canada,40 à 44 ans,Hommes,Transport accidents,9.2
2015,Canada,40 à 44 ans,Hommes,Motor vehicle accidents,8.0
2015,Canada,40 à 44 ans,Hommes,Other land transport accidents,0.3
2015,Canada,40 à 44 ans,Femmes,Transport accidents,2.6
2015,Canada,40 à 44 ans,Femmes,Motor vehicle accidents,2.5
2015,Canada,40 à 44 ans,Femmes,Other land transport accidents,0.1
2015,Canada,45 à 49 ans,Les deux sexes,Transport accidents,6.4
2015,Canada,45 à 49 ans,Les deux sexes,Motor vehicle accidents,5.7
2015,Canada,45 à 49 ans,Les deux sexes,Other land transport accidents,0.1
2015,Canada,45 à 49 ans,Hommes,Transport accidents,9.2
2015,Canada,45 à 49 ans,Hommes,Motor vehicle accidents,7.9
2015,Canada,45 à 49 ans,Hommes,Other land transport accidents,0.2
