Year,Géographie,Series,Units,Type de profession,Sexe,GeoCode,Value
2021,Canada,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,,19.42867788
2021,Terre-Neuve-et-Labrador,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,10,0.244509238
2021,Île-du-Prince-Édouard,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,11,0.064069266
2021,Nouvelle-Écosse,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,12,0.503401372
2021,Nouveau-Brunswick,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,13,0.356957336
2021,Québec,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,24,4.88887722
2021,Ontario,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,35,7.34312235
2021,Manitoba,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,46,0.600159038
2021,Saskatchewan,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,47,0.502093836
2021,Alberta,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,48,2.197968068
2021,Colombie-Britannique,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,59,2.693524224
2021,Yukon,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,60,0.01307536
2021,Territoires du Nord-Ouest,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,61,0.01307536
2021,Nunavut,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Médecins,,62,0.003922608
2021,Canada,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Personnel infirmier et sages-femmes,,,93.11356337
2021,Terre-Neuve-et-Labrador,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Personnel infirmier et sages-femmes,,10,1.640957719
2021,Île-du-Prince-Édouard,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Personnel infirmier et sages-femmes,,11,0.489018476
2021,Nouvelle-Écosse,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Personnel infirmier et sages-femmes,,12,3.032176056
2021,Nouveau-Brunswick,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Personnel infirmier et sages-femmes,,13,2.230656469
2021,Québec,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Personnel infirmier et sages-femmes,,24,20.02229924
2021,Ontario,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,Personnel infirmier et sages-femmes,,35,33.67166787
