Year,Series,Value
2020,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%),17
2021,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%),17
2022,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%),17
2023,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%),19
2024,Pourcentage d’infections sanguines à Staphylococcus aureus résistant à la méthicilline (SARM) (%),20
2020,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%),15
2021,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%),14
2022,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%),18
2023,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%),20
2024,Pourcentage d’infections sanguines à Escherichia coli résistantes aux céphalosporines de troisième génération (%),28
