Year,Géographie,GeoCode,Sexe,Groupe d'âge,Skill,Niveau de compétence,Value
2012,Canada,,Les deux sexes,Total age groups,Literacy,2 or below,48.5
2012,Canada,,Les deux sexes,Total age groups,Numeracy,2 or below,54.7
2012,Canada,,Les deux sexes,16 to 24 years,Literacy,2 or below,46.4
2012,Canada,,Les deux sexes,16 to 24 years,Numeracy,2 or below,53.4
2012,Canada,,Les deux sexes,25 à 34 ans,Literacy,2 or below,39.9
2012,Canada,,Les deux sexes,25 à 34 ans,Numeracy,2 or below,46.7
2012,Canada,,Les deux sexes,35 à 44 ans,Literacy,2 or below,42.4
2012,Canada,,Les deux sexes,35 à 44 ans,Numeracy,2 or below,49.0
2012,Canada,,Les deux sexes,45 à 54 ans,Literacy,2 or below,52.9
2012,Canada,,Les deux sexes,45 à 54 ans,Numeracy,2 or below,57.6
2012,Canada,,Les deux sexes,55 to 65 years,Literacy,2 or below,59.7
2012,Canada,,Les deux sexes,55 to 65 years,Numeracy,2 or below,65.8
2012,Canada,,Hommes,Total age groups,Literacy,2 or below,47.6
2012,Canada,,Hommes,Total age groups,Numeracy,2 or below,49.0
2012,Canada,,Hommes,16 to 24 years,Literacy,2 or below,47.1
2012,Canada,,Hommes,16 to 24 years,Numeracy,2 or below,49.9
2012,Canada,,Hommes,25 à 34 ans,Literacy,2 or below,40.2
2012,Canada,,Hommes,25 à 34 ans,Numeracy,2 or below,42.2
2012,Canada,,Hommes,35 à 44 ans,Literacy,2 or below,42.2
2012,Canada,,Hommes,35 à 44 ans,Numeracy,2 or below,43.1
2012,Canada,,Hommes,45 à 54 ans,Literacy,2 or below,50.7
2012,Canada,,Hommes,45 à 54 ans,Numeracy,2 or below,51.0
2012,Canada,,Hommes,55 to 65 years,Literacy,2 or below,57.3
2012,Canada,,Hommes,55 to 65 years,Numeracy,2 or below,58.2
2012,Canada,,Femmes,Total age groups,Literacy,2 or below,49.4
2012,Canada,,Femmes,Total age groups,Numeracy,2 or below,60.4
2012,Canada,,Femmes,16 to 24 years,Literacy,2 or below,45.6
2012,Canada,,Femmes,16 to 24 years,Numeracy,2 or below,57.0
2012,Canada,,Femmes,25 à 34 ans,Literacy,2 or below,39.6
2012,Canada,,Femmes,25 à 34 ans,Numeracy,2 or below,51.2
2012,Canada,,Femmes,35 à 44 ans,Literacy,2 or below,42.7
2012,Canada,,Femmes,35 à 44 ans,Numeracy,2 or below,55.0
2012,Canada,,Femmes,45 à 54 ans,Literacy,2 or below,55.2
2012,Canada,,Femmes,45 à 54 ans,Numeracy,2 or below,64.3
2012,Canada,,Femmes,55 to 65 years,Literacy,2 or below,62.1
2012,Canada,,Femmes,55 to 65 years,Numeracy,2 or below,73.1
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,Total age groups,Literacy,2 or below,56.8
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,Total age groups,Numeracy,2 or below,65.5
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,16 to 24 years,Literacy,2 or below,48.5
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,16 to 24 years,Numeracy,2 or below,54.6
