Year,Series,Caractéristiques,Value
2001,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (femme),10.9
2006,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (femme),11.9
2011,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (femme),12.4
2016,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (femme),13.1
2021,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (femme),13.5
2001,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (homme),30.4
2006,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (homme),31.0
2011,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (homme),32.8
2016,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (homme),32.7
2021,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",Population agricole (homme),30.9
2001,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",,41.2
2006,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",,42.9
2011,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",,45.2
2016,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",,45.9
2021,"a) Proportion de la population agricole totale ayant des droits de propriété ou des droits garantis sur des terres agricoles, par sexe",,44.4
2001,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement la superficie qu'elles possèdent,28.6
2006,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement la superficie qu'elles possèdent,30.2
2011,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement la superficie qu'elles possèdent,30.1
2016,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement la superficie qu'elles possèdent,31.4
2021,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement la superficie qu'elles possèdent,33.0
2001,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement les superficies louées à des tiers,21.4
2006,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement les superficies louées à des tiers,22.7
2011,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement les superficies louées à des tiers,23.7
2016,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement les superficies louées à des tiers,26.0
2021,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant uniquement les superficies louées à des tiers,28.1
2001,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant la superficie qu'elles possèdent et les superficies louées à des tiers,23.5
2006,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant la superficie qu'elles possèdent et les superficies louées à des tiers,24.8
2011,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant la superficie qu'elles possèdent et les superficies louées à des tiers,24.2
2016,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant la superficie qu'elles possèdent et les superficies louées à des tiers,25.3
2021,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",Fermes déclarant la superficie qu'elles possèdent et les superficies louées à des tiers,27.2
2001,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",,26.3
2006,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",,27.8
2011,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",,27.4
2016,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",,28.7
2021,"b) proportion de femmes parmi les titulaires de droits de propriété ou de droits garantis sur des terrains agricoles, par type de droit",,30.4
