Year,Series,Units,Activité économique,Value
2000,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",
2000,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,9.93
2000,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,134.66
2000,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,
2001,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,
2001,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",
2001,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,9.66
2001,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,138.49
2002,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,
2002,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",
2002,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,9.54
2002,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,142.43
2003,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",
2003,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,143.67
2003,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,9.74
2003,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,
2004,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,
2004,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",
2004,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,10.21
2004,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,145.34
2005,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,
2005,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",
2005,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,10.79
2005,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,147.89
2006,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.4
2006,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,151.81
2006,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,10.89
2006,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,30.18
2007,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.4
2007,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,10.95
2007,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,154.56
2007,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,30.78
2008,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,32.17
