Year,Series,Units,Qualité de l'eau,Value
2020,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Pourcentage,,4.0
2015,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Pourcentage,,1.0
2020,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Nombre,,57.0
2015,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Nombre,,18.0
2015,Eau permanente,Kilomètres carrés,,916917.6
2016,Eau permanente,Kilomètres carrés,,914878.3
2017,Eau permanente,Kilomètres carrés,,916342.4
2018,Eau permanente,Kilomètres carrés,,914773.6
2019,Eau permanente,Kilomètres carrés,,914479.7
2020,Eau permanente,Kilomètres carrés,,919584.5
2015,Eau saisonnière,Kilomètres carrés,,81623.6
2016,Eau saisonnière,Kilomètres carrés,,95379.5
2017,Eau saisonnière,Kilomètres carrés,,98646.4
2018,Eau saisonnière,Kilomètres carrés,,92557.1
2019,Eau saisonnière,Kilomètres carrés,,94042.2
2020,Eau saisonnière,Kilomètres carrés,,103943.7
2015,"Réservoirs, étendue maximale de l’eau",Kilomètres carrés,,91380.6
2016,"Réservoirs, étendue maximale de l’eau",Kilomètres carrés,,91729.2
2017,"Réservoirs, étendue maximale de l’eau",Kilomètres carrés,,91837.1
2018,"Réservoirs, étendue maximale de l’eau",Kilomètres carrés,,91694.7
2019,"Réservoirs, étendue maximale de l’eau",Kilomètres carrés,,91754.4
2020,"Réservoirs, étendue maximale de l’eau",Kilomètres carrés,,91730.5
2021,"Réservoirs, étendue maximale de l’eau",Kilomètres carrés,,91630.4
2015,"Réservoirs, étendue minimale d’eau",Kilomètres carrés,,89658.9
2016,"Réservoirs, étendue minimale d’eau",Kilomètres carrés,,89908.0
2017,"Réservoirs, étendue minimale d’eau",Kilomètres carrés,,90119.3
2018,"Réservoirs, étendue minimale d’eau",Kilomètres carrés,,90112.9
2019,"Réservoirs, étendue minimale d’eau",Kilomètres carrés,,90124.0
2020,"Réservoirs, étendue minimale d’eau",Kilomètres carrés,,90059.8
2021,"Réservoirs, étendue minimale d’eau",Kilomètres carrés,,89872.9
2016/18 (baseline),Étendue des millieux humides,Kilomètres carrés,,806938.0
2016/18 (baseline),Étendue des millieux humides,Pourcentage,,8.17
2017,Lake water quality,Pourcentage,Low turbidity,58.1
2017,Lake water quality,Pourcentage,Medium turbidity,15.7
2017,Lake water quality,Pourcentage,High turbidity,15.0
2017,Lake water quality,Pourcentage,Extreme turbidity,11.2
2018,Lake water quality,Pourcentage,Low turbidity,55.2
2018,Lake water quality,Pourcentage,Medium turbidity,14.9
2018,Lake water quality,Pourcentage,High turbidity,15.7
2018,Lake water quality,Pourcentage,Extreme turbidity,14.3
2019,Lake water quality,Pourcentage,Low turbidity,49.7
2019,Lake water quality,Pourcentage,Medium turbidity,15.3
2019,Lake water quality,Pourcentage,High turbidity,18.9
2019,Lake water quality,Pourcentage,Extreme turbidity,16.2
2020,Lake water quality,Pourcentage,Low turbidity,58.5
2020,Lake water quality,Pourcentage,Medium turbidity,13.2
2020,Lake water quality,Pourcentage,High turbidity,12.6
2020,Lake water quality,Pourcentage,Extreme turbidity,15.8
2021,Lake water quality,Pourcentage,Low turbidity,56.7
2021,Lake water quality,Pourcentage,Medium turbidity,14.6
2021,Lake water quality,Pourcentage,High turbidity,14.8
2021,Lake water quality,Pourcentage,Extreme turbidity,13.9
2017,Lake water quality,Pourcentage,Low trophic,73.1
2017,Lake water quality,Pourcentage,Medium trophic,18.4
2017,Lake water quality,Pourcentage,High trophic,7.3
2017,Lake water quality,Pourcentage,Extreme trophic,1.3
2018,Lake water quality,Pourcentage,Low trophic,72.9
2018,Lake water quality,Pourcentage,Medium trophic,16.8
2018,Lake water quality,Pourcentage,High trophic,8.1
2018,Lake water quality,Pourcentage,Extreme trophic,2.2
2019,Lake water quality,Pourcentage,Low trophic,88.6
2019,Lake water quality,Pourcentage,Medium trophic,8.1
2019,Lake water quality,Pourcentage,High trophic,2.5
2019,Lake water quality,Pourcentage,Extreme trophic,0.7
2020,Lake water quality,Pourcentage,Low trophic,85.8
2020,Lake water quality,Pourcentage,Medium trophic,10.0
2020,Lake water quality,Pourcentage,High trophic,3.4
2020,Lake water quality,Pourcentage,Extreme trophic,0.9
2021,Lake water quality,Pourcentage,Low trophic,86.7
2021,Lake water quality,Pourcentage,Medium trophic,8.2
2021,Lake water quality,Pourcentage,High trophic,3.7
2021,Lake water quality,Pourcentage,Extreme trophic,1.3
