Year,Units,Sexe,Value
2015,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Homme,811
2015,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Femme,40
2015,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Total,851
2016,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Homme,863
2016,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Femme,41
2016,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Total,904
2017,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Homme,920
2017,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Femme,31
2017,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Total,951
2018,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Homme,997
2018,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Femme,30
2018,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Total,1027
2019,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Homme,882
2019,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Femme,43
2019,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Total,925
2020,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Homme,878
2020,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Femme,46
2020,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Total,924
2021,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Homme,1009
2021,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Femme,72
2021,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Total,1081
2022,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Homme,941
2022,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Femme,50
2022,"Nombre de demandes d’indemnisation pour décès, selon le sexe",Total,993
2015,"Nombre de réclamations avec perte de temps, selon le sexe",Homme,143478
2015,"Nombre de réclamations avec perte de temps, selon le sexe",Femme,89123
2015,"Nombre de réclamations avec perte de temps, selon le sexe",Unknown,28
2015,"Nombre de réclamations avec perte de temps, selon le sexe",Total,232629
2016,"Nombre de réclamations avec perte de temps, selon le sexe",Homme,145401
2016,"Nombre de réclamations avec perte de temps, selon le sexe",Femme,95235
2016,"Nombre de réclamations avec perte de temps, selon le sexe",Unknown,46
2016,"Nombre de réclamations avec perte de temps, selon le sexe",Total,240682
2017,"Nombre de réclamations avec perte de temps, selon le sexe",Homme,152240
2017,"Nombre de réclamations avec perte de temps, selon le sexe",Femme,99319
2017,"Nombre de réclamations avec perte de temps, selon le sexe",Unknown,66
2017,"Nombre de réclamations avec perte de temps, selon le sexe",Total,251625
2018,"Nombre de réclamations avec perte de temps, selon le sexe",Homme,158969
2018,"Nombre de réclamations avec perte de temps, selon le sexe",Femme,105443
2018,"Nombre de réclamations avec perte de temps, selon le sexe",Unknown,26
2018,"Nombre de réclamations avec perte de temps, selon le sexe",Total,264438
2019,"Nombre de réclamations avec perte de temps, selon le sexe",Homme,160801
2019,"Nombre de réclamations avec perte de temps, selon le sexe",Femme,110948
2019,"Nombre de réclamations avec perte de temps, selon le sexe",Unknown,57
2019,"Nombre de réclamations avec perte de temps, selon le sexe",Total,271806
2020,"Nombre de réclamations avec perte de temps, selon le sexe",Homme,138776
2020,"Nombre de réclamations avec perte de temps, selon le sexe",Femme,114489
2020,"Nombre de réclamations avec perte de temps, selon le sexe",Unknown,132
2020,"Nombre de réclamations avec perte de temps, selon le sexe",Total,253397
2021,"Nombre de réclamations avec perte de temps, selon le sexe",Homme,158600
2021,"Nombre de réclamations avec perte de temps, selon le sexe",Femme,118422
2021,"Nombre de réclamations avec perte de temps, selon le sexe",Unknown,195
2021,"Nombre de réclamations avec perte de temps, selon le sexe",Total,277217
2022,"Nombre de réclamations avec perte de temps, selon le sexe",Homme,170809
2022,"Nombre de réclamations avec perte de temps, selon le sexe",Femme,177637
2022,"Nombre de réclamations avec perte de temps, selon le sexe",Unknown,301
2022,"Nombre de réclamations avec perte de temps, selon le sexe",Total,348747
