Year,Series,Units,Technology,Value
2016,Évolution à long terme (LTE),Pourcentage (%),,98.6
2017,Évolution à long terme (LTE),Pourcentage (%),,99.1
2018,Évolution à long terme (LTE),Pourcentage (%),,99.3
2019,Évolution à long terme (LTE),Pourcentage (%),,99.5
2020,Évolution à long terme (LTE),Pourcentage (%),,99.5
2021,Évolution à long terme (LTE),Pourcentage (%),,99.4
2022,Évolution à long terme (LTE),Pourcentage (%),,99.5
2023,Évolution à long terme (LTE),Pourcentage (%),,99.5
2024,Évolution à long terme (LTE),Pourcentage (%),,99.5
2016,Évolution à long terme - A (LTE-A),Pourcentage (%),,83.4
2017,Évolution à long terme - A (LTE-A),Pourcentage (%),,92.4
2018,Évolution à long terme - A (LTE-A),Pourcentage (%),,94.9
2019,Évolution à long terme - A (LTE-A),Pourcentage (%),,95.9
2020,Évolution à long terme - A (LTE-A),Pourcentage (%),,97.5
2021,Évolution à long terme - A (LTE-A),Pourcentage (%),,97.8
2022,Évolution à long terme - A (LTE-A),Pourcentage (%),,97.8
2023,Évolution à long terme - A (LTE-A),Pourcentage (%),,97.9
2024,Évolution à long terme - A (LTE-A),Pourcentage (%),,98.0
2020,5G,Pourcentage (%),,53.3
2021,5G,Pourcentage (%),,87.8
2022,5G,Pourcentage (%),,91.4
2023,5G,Pourcentage (%),,93.3
2024,5G,Pourcentage (%),,94.3
2016,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.5
2017,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.5
2018,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.5
2019,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.5
2020,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.5
2021,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.5
2022,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.6
2023,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.5
2024,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.5
2024,,,Accès haute vitesse évolué par paquets (HSPA+),
2024,,,5G,
2024,,,Évolution à long terme - A (LTE-A),
2024,,,Évolution à long terme (LTE),
