Year,Personnes à faible revenu,Géographie,GeoCode,Value
2015,,,,14.3
2016,,,,13.0
2017,,,,12.6
2018,,,,12.4
2019,,,,12.2
2020,,,,9.3
2021,,,,10.6
2022,,,,12.0
2023,,,,12.1
2024,,,,12.5
2015,Personnes de moins de 18 ans,Canada,,15.3
2015,Personnes de 18 à 64 ans,Canada,,13.9
2015,Personnes de 65 ans et plus,Canada,,14.6
2015,Hommes+,Canada,,13.7
2015,"Men+, under 18 years",Canada,,15.2
2015,"Men+, 18 to 64 years",Canada,,13.6
2015,"Men+, 65 years and over",Canada,,12.2
2015,Femmes+,Canada,,14.8
2015,"Women+, under 18 years",Canada,,15.5
2015,"Women+, 18 to 64 years",Canada,,14.1
2015,"Women+, 65 years and over",Canada,,16.6
2015,Toutes les personnes,Provinces de l'Atlantique,,16.9
2015,Personnes de moins de 18 ans,Provinces de l'Atlantique,,17.8
2015,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,15.0
2015,Personnes de 65 ans et plus,Provinces de l'Atlantique,,22.3
2015,Hommes+,Provinces de l'Atlantique,,15.7
2015,"Men+, under 18 years",Provinces de l'Atlantique,,17.1
2015,"Men+, 18 to 64 years",Provinces de l'Atlantique,,14.5
2015,"Men+, 65 years and over",Provinces de l'Atlantique,,18.3
2015,Femmes+,Provinces de l'Atlantique,,18.0
2015,"Women+, under 18 years",Provinces de l'Atlantique,,18.5
2015,"Women+, 18 to 64 years",Provinces de l'Atlantique,,15.5
2015,"Women+, 65 years and over",Provinces de l'Atlantique,,25.8
2015,Toutes les personnes,Terre-Neuve-et-Labrador,10,15.9
2015,Personnes de moins de 18 ans,Terre-Neuve-et-Labrador,,16.5
2015,Personnes de 18 à 64 ans,Terre-Neuve-et-Labrador,,12.3
2015,Personnes de 65 ans et plus,Terre-Neuve-et-Labrador,,27.8
2015,Hommes+,Terre-Neuve-et-Labrador,,13.6
2015,"Men+, under 18 years",Terre-Neuve-et-Labrador,,15.6
2015,"Men+, 18 to 64 years",Terre-Neuve-et-Labrador,,10.5
2015,"Men+, 65 years and over",Terre-Neuve-et-Labrador,,23.1
2015,Femmes+,Terre-Neuve-et-Labrador,,18.1
2015,"Women+, under 18 years",Terre-Neuve-et-Labrador,,17.6
2015,"Women+, 18 to 64 years",Terre-Neuve-et-Labrador,,14.1
2015,"Women+, 65 years and over",Terre-Neuve-et-Labrador,,32.0
2015,Toutes les personnes,Île-du-Prince-Édouard,11,16.8
2015,Personnes de moins de 18 ans,Île-du-Prince-Édouard,,18.0
2015,Personnes de 18 à 64 ans,Île-du-Prince-Édouard,,15.1
2015,Personnes de 65 ans et plus,Île-du-Prince-Édouard,,21.3
2015,Hommes+,Île-du-Prince-Édouard,,15.2
2015,"Men+, under 18 years",Île-du-Prince-Édouard,,16.0
2015,"Men+, 18 to 64 years",Île-du-Prince-Édouard,,15.4
2015,"Men+, 65 years and over",Île-du-Prince-Édouard,,13.9
2015,Femmes+,Île-du-Prince-Édouard,,18.3
2015,"Women+, under 18 years",Île-du-Prince-Édouard,,19.9
2015,"Women+, 18 to 64 years",Île-du-Prince-Édouard,,14.9
2015,"Women+, 65 years and over",Île-du-Prince-Édouard,,27.7
2015,Toutes les personnes,Nouvelle-Écosse,12,17.3
2015,Personnes de moins de 18 ans,Nouvelle-Écosse,,18.1
2015,Personnes de 18 à 64 ans,Nouvelle-Écosse,,16.0
2015,Personnes de 65 ans et plus,Nouvelle-Écosse,,20.8
2015,Hommes+,Nouvelle-Écosse,,16.2
2015,"Men+, under 18 years",Nouvelle-Écosse,,16.4
2015,"Men+, 18 to 64 years",Nouvelle-Écosse,,15.8
2015,"Men+, 65 years and over",Nouvelle-Écosse,,17.1
2015,Femmes+,Nouvelle-Écosse,,18.4
2015,"Women+, under 18 years",Nouvelle-Écosse,,20.0
2015,"Women+, 18 to 64 years",Nouvelle-Écosse,,16.3
2015,"Women+, 65 years and over",Nouvelle-Écosse,,24.0
2015,Toutes les personnes,Nouveau-Brunswick,13,17.1
2015,Personnes de moins de 18 ans,Nouveau-Brunswick,,18.2
2015,Personnes de 18 à 64 ans,Nouveau-Brunswick,,15.7
2015,Personnes de 65 ans et plus,Nouveau-Brunswick,,20.5
2015,Hommes+,Nouveau-Brunswick,,16.7
2015,"Men+, under 18 years",Nouveau-Brunswick,,19.3
2015,"Men+, 18 to 64 years",Nouveau-Brunswick,,15.8
2015,"Men+, 65 years and over",Nouveau-Brunswick,,17.2
2015,Femmes+,Nouveau-Brunswick,,17.5
2015,"Women+, under 18 years",Nouveau-Brunswick,,16.9
2015,"Women+, 18 to 64 years",Nouveau-Brunswick,,15.7
2015,"Women+, 65 years and over",Nouveau-Brunswick,,23.4
2015,Toutes les personnes,Québec,24,16.1
2015,Personnes de moins de 18 ans,Québec,,16.0
2015,Personnes de 18 à 64 ans,Québec,,15.5
2015,Personnes de 65 ans et plus,Québec,,18.5
2015,Hommes+,Québec,,15.3
2015,"Men+, under 18 years",Québec,,15.4
2015,"Men+, 18 to 64 years",Québec,,15.1
2015,"Men+, 65 years and over",Québec,,15.8
2015,Femmes+,Québec,,16.9
2015,"Women+, under 18 years",Québec,,16.5
2015,"Women+, 18 to 64 years",Québec,,15.9
2015,"Women+, 65 years and over",Québec,,20.8
2015,Toutes les personnes,Ontario,35,14.2
2015,Personnes de moins de 18 ans,Ontario,,15.6
2015,Personnes de 18 à 64 ans,Ontario,,14.1
2015,Personnes de 65 ans et plus,Ontario,,12.7
2015,Hommes+,Ontario,,13.7
2015,"Men+, under 18 years",Ontario,,16.5
2015,"Men+, 18 to 64 years",Ontario,,13.7
2015,"Men+, 65 years and over",Ontario,,10.2
2015,Femmes+,Ontario,,14.6
2015,"Women+, under 18 years",Ontario,,14.6
2015,"Women+, 18 to 64 years",Ontario,,14.5
2015,"Women+, 65 years and over",Ontario,,14.8
2015,Toutes les personnes,Provinces des Prairies,,9.5
2015,Personnes de moins de 18 ans,Provinces des Prairies,,14.1
2015,Personnes de 18 à 64 ans,Provinces des Prairies,,8.3
2015,Personnes de 65 ans et plus,Provinces des Prairies,,8.0
2015,Hommes+,Provinces des Prairies,,9.1
2015,"Men+, under 18 years",Provinces des Prairies,,13.4
2015,"Men+, 18 to 64 years",Provinces des Prairies,,8.1
2015,"Men+, 65 years and over",Provinces des Prairies,,6.3
2015,Femmes+,Provinces des Prairies,,9.9
2015,"Women+, under 18 years",Provinces des Prairies,,15.0
2015,"Women+, 18 to 64 years",Provinces des Prairies,,8.4
2015,"Women+, 65 years and over",Provinces des Prairies,,9.4
2015,Toutes les personnes,Manitoba,46,16.0
2015,Personnes de moins de 18 ans,Manitoba,,23.1
2015,Personnes de 18 à 64 ans,Manitoba,,14.1
2015,Personnes de 65 ans et plus,Manitoba,,13.4
2015,Hommes+,Manitoba,,16.4
2015,"Men+, under 18 years",Manitoba,,26.9
2015,"Men+, 18 to 64 years",Manitoba,,14.3
2015,"Men+, 65 years and over",Manitoba,,8.9
2015,Femmes+,Manitoba,,15.6
2015,"Women+, under 18 years",Manitoba,,19.3
2015,"Women+, 18 to 64 years",Manitoba,,13.9
2015,"Women+, 65 years and over",Manitoba,,17.2
2015,Toutes les personnes,Saskatchewan,47,12.4
2015,Personnes de moins de 18 ans,Saskatchewan,,17.8
2015,Personnes de 18 à 64 ans,Saskatchewan,,10.4
2015,Personnes de 65 ans et plus,Saskatchewan,,12.6
2015,Hommes+,Saskatchewan,,10.9
2015,"Men+, under 18 years",Saskatchewan,,16.9
2015,"Men+, 18 to 64 years",Saskatchewan,,8.9
2015,"Men+, 65 years and over",Saskatchewan,,10.3
2015,Femmes+,Saskatchewan,,13.9
2015,"Women+, under 18 years",Saskatchewan,,18.6
2015,"Women+, 18 to 64 years",Saskatchewan,,12.0
2015,"Women+, 65 years and over",Saskatchewan,,14.6
2015,Toutes les personnes,Alberta,48,6.9
2015,Personnes de moins de 18 ans,Alberta,,10.5
2015,Personnes de 18 à 64 ans,Alberta,,6.1
2015,Personnes de 65 ans et plus,Alberta,,4.3
2015,Hommes+,Alberta,,6.5
2015,"Men+, under 18 years",Alberta,,8.6
2015,"Men+, 18 to 64 years",Alberta,,6.2
2015,"Men+, 65 years and over",Alberta,,4.0
2015,Femmes+,Alberta,,7.2
2015,"Women+, under 18 years",Alberta,,12.6
2015,"Women+, 18 to 64 years",Alberta,,5.9
2015,"Women+, 65 years and over",Alberta,,4.6
2015,Toutes les personnes,Colombie-Britannique,59,16.6
2015,Personnes de moins de 18 ans,Colombie-Britannique,,14.1
2015,Personnes de 18 à 64 ans,Colombie-Britannique,,17.7
2015,Personnes de 65 ans et plus,Colombie-Britannique,,15.0
2015,Hommes+,Colombie-Britannique,,16.4
2015,"Men+, under 18 years",Colombie-Britannique,,12.6
2015,"Men+, 18 to 64 years",Colombie-Britannique,,18.2
2015,"Men+, 65 years and over",Colombie-Britannique,,13.5
2015,Femmes+,Colombie-Britannique,,16.8
2015,"Women+, under 18 years",Colombie-Britannique,,15.7
2015,"Women+, 18 to 64 years",Colombie-Britannique,,17.3
2015,"Women+, 65 years and over",Colombie-Britannique,,16.4
2015,Toutes les personnes,"Québec, Québec",,10.2
2015,Personnes de moins de 18 ans,"Québec, Québec",,
2015,Personnes de 18 à 64 ans,"Québec, Québec",,9.2
2015,Personnes de 65 ans et plus,"Québec, Québec",,17.8
2015,Hommes+,"Québec, Québec",,10.6
2015,"Men+, under 18 years","Québec, Québec",,
2015,"Men+, 18 to 64 years","Québec, Québec",,10.0
2015,"Men+, 65 years and over","Québec, Québec",,15.6
2015,Femmes+,"Québec, Québec",,9.8
2015,"Women+, under 18 years","Québec, Québec",,
2015,"Women+, 18 to 64 years","Québec, Québec",,8.5
2015,"Women+, 65 years and over","Québec, Québec",,19.5
2015,Toutes les personnes,"Montréal, Québec",,18.6
2015,Personnes de moins de 18 ans,"Montréal, Québec",,21.1
2015,Personnes de 18 à 64 ans,"Montréal, Québec",,18.6
2015,Personnes de 65 ans et plus,"Montréal, Québec",,15.9
2015,Hommes+,"Montréal, Québec",,17.9
2015,"Men+, under 18 years","Montréal, Québec",,20.6
2015,"Men+, 18 to 64 years","Montréal, Québec",,17.9
2015,"Men+, 65 years and over","Montréal, Québec",,14.3
2015,Femmes+,"Montréal, Québec",,19.3
2015,"Women+, under 18 years","Montréal, Québec",,21.4
2015,"Women+, 18 to 64 years","Montréal, Québec",,19.2
2015,"Women+, 65 years and over","Montréal, Québec",,17.3
2015,Toutes les personnes,"Ottawa-Gatineau, Ontario/Québec",,10.7
2015,Personnes de moins de 18 ans,"Ottawa-Gatineau, Ontario/Québec",,10.5
2015,Personnes de 18 à 64 ans,"Ottawa-Gatineau, Ontario/Québec",,11.3
2015,Personnes de 65 ans et plus,"Ottawa-Gatineau, Ontario/Québec",,8.3
2015,Hommes+,"Ottawa-Gatineau, Ontario/Québec",,9.8
2015,"Men+, under 18 years","Ottawa-Gatineau, Ontario/Québec",,
2015,"Men+, 18 to 64 years","Ottawa-Gatineau, Ontario/Québec",,10.5
2015,"Men+, 65 years and over","Ottawa-Gatineau, Ontario/Québec",,
2015,Femmes+,"Ottawa-Gatineau, Ontario/Québec",,11.6
2015,"Women+, under 18 years","Ottawa-Gatineau, Ontario/Québec",,
2015,"Women+, 18 to 64 years","Ottawa-Gatineau, Ontario/Québec",,12.0
2015,"Women+, 65 years and over","Ottawa-Gatineau, Ontario/Québec",,8.8
2015,Toutes les personnes,"Toronto, Ontario",,16.3
2015,Personnes de moins de 18 ans,"Toronto, Ontario",,18.5
2015,Personnes de 18 à 64 ans,"Toronto, Ontario",,15.6
2015,Personnes de 65 ans et plus,"Toronto, Ontario",,16.0
2015,Hommes+,"Toronto, Ontario",,15.9
2015,"Men+, under 18 years","Toronto, Ontario",,20.1
2015,"Men+, 18 to 64 years","Toronto, Ontario",,15.0
2015,"Men+, 65 years and over","Toronto, Ontario",,13.1
2015,Femmes+,"Toronto, Ontario",,16.6
2015,"Women+, under 18 years","Toronto, Ontario",,16.9
2015,"Women+, 18 to 64 years","Toronto, Ontario",,16.1
2015,"Women+, 65 years and over","Toronto, Ontario",,18.4
2015,Toutes les personnes,"Winnipeg, Manitoba",,16.4
2015,Personnes de moins de 18 ans,"Winnipeg, Manitoba",,23.9
